,first_obs,last_obs,n_obs,pct_missing
AGG,2017-07-01,2026-04-01,106,0.0
ALU,2022-01-01,2022-06-01,6,94.3
BRICK,2017-07-01,2026-04-01,106,0.0
CEM,2017-07-01,2026-04-01,100,5.7
CIPI_ALL,2017-07-01,2026-04-01,100,5.7
CIPI_BLDG,2022-01-01,2022-06-01,6,94.3
CIPI_CIVIL,2022-01-01,2022-06-01,6,94.3
CIPI_MAT,2017-07-01,2026-04-01,106,0.0
CLAY,2017-07-01,2026-04-01,106,0.0
DIESEL,2017-07-01,2026-04-01,106,0.0
IRON,2017-07-01,2026-04-01,106,0.0
IRONSTEEL,2022-01-01,2022-06-01,6,94.3
LABOUR,2017-07-01,2026-04-01,106,0.0
LIME,2017-07-01,2026-04-01,106,0.0
MURRAM,2020-01-01,2020-06-01,6,94.3
NAILS,2022-01-01,2022-06-01,6,94.3
PAINT,2017-07-01,2026-04-01,100,5.7
PIPES,2017-07-01,2026-04-01,106,0.0
SAND,2017-07-01,2026-04-01,100,5.7
STEEL,2017-07-01,2026-04-01,106,0.0
TILES,2017-07-01,2026-04-01,106,0.0
TIMBER,2017-07-01,2026-04-01,106,0.0
activity_indicator,2017-07-01,2026-04-01,106,0.0
central_bank_rate,2017-07-01,2026-04-01,106,0.0
cpi,2017-07-01,2026-04-01,106,0.0
exchange_rate,2017-07-01,2026-04-01,106,0.0
lending_rate,2017-07-01,2026-04-01,106,0.0
ppi_manufacturing,2017-07-01,2026-04-01,106,0.0
private_credit,2017-07-01,2026-04-01,106,0.0
