series,n,selected_breaks,break_dates,bic,rss,method
AGG,106,3,2018-06-01;2021-01-01;2022-09-01,224.3475199083074,738.001824812304,dynp_l2_bic (Bai-Perron-style)
BRICK,106,3,2020-12-01;2022-05-01;2025-02-01,60.001230985964526,156.57100439550524,dynp_l2_bic (Bai-Perron-style)
CEM,100,3,2018-08-01;2021-12-01;2022-12-01,233.28387639901882,857.3121967687337,dynp_l2_bic (Bai-Perron-style)
CIPI_ALL,100,3,2019-11-01;2022-02-01;2023-08-01,143.28698579534003,348.5679663227494,dynp_l2_bic (Bai-Perron-style)
CIPI_MAT,106,3,2018-06-01;2021-03-01;2022-03-01,172.92721567606864,454.34148618020987,dynp_l2_bic (Bai-Perron-style)
CLAY,106,3,2018-12-01;2020-03-01;2022-11-01,257.05309916467706,1004.7454429117421,dynp_l2_bic (Bai-Perron-style)
DIESEL,106,3,2018-06-01;2021-03-01;2022-03-01,406.10610829814476,4099.621622743237,dynp_l2_bic (Bai-Perron-style)
IRON,106,3,2020-04-01;2021-10-01;2024-02-01,167.82599582685876,432.9942168662155,dynp_l2_bic (Bai-Perron-style)
LABOUR,106,3,2020-12-01;2022-12-01;2024-02-01,90.69951935052663,209.16347082597952,dynp_l2_bic (Bai-Perron-style)
LIME,106,3,2021-10-01;2022-10-01;2024-02-01,284.61370639023994,1303.0920591501376,dynp_l2_bic (Bai-Perron-style)
MURRAM,106,3,2018-06-01;2021-03-01;2022-03-01,160.2019803292563,402.94484737829026,dynp_l2_bic (Bai-Perron-style)
NAILS,106,3,2019-06-01;2020-06-01;2022-03-01,155.15824684345134,384.22076877297707,dynp_l2_bic (Bai-Perron-style)
PAINT,100,3,2018-06-01;2021-05-01;2022-06-01,150.43855047852426,374.40903764973,dynp_l2_bic (Bai-Perron-style)
PIPES,106,3,2019-12-01;2021-06-01;2024-05-01,126.70878260325448,293.77851526440594,dynp_l2_bic (Bai-Perron-style)
SAND,100,3,2018-06-01;2019-11-01;2022-02-01,221.52956432076002,762.2381363478022,dynp_l2_bic (Bai-Perron-style)
STEEL,106,3,2018-06-01;2020-02-01;2022-03-01,299.08114879341036,1493.653680620669,dynp_l2_bic (Bai-Perron-style)
TILES,106,3,2018-12-01;2020-07-01;2021-10-01,280.66231514815235,1255.4105762440377,dynp_l2_bic (Bai-Perron-style)
TIMBER,106,3,2019-08-01;2022-03-01;2024-02-01,138.35307370793123,327.88991821739955,dynp_l2_bic (Bai-Perron-style)
activity_indicator,106,3,2020-06-01;2023-03-01;2025-02-01,341.10806363293716,2220.4404602014747,dynp_l2_bic (Bai-Perron-style)
central_bank_rate,106,3,2020-03-01;2021-05-01;2022-06-01,-190.0040819791827,14.805058618917311,dynp_l2_bic (Bai-Perron-style)
cpi,106,3,2020-03-01;2022-05-01;2024-03-01,200.68079803243643,590.3262417222384,dynp_l2_bic (Bai-Perron-style)
exchange_rate,106,3,2021-03-01;2022-05-01;2024-09-01,873.1623143677427,335991.31305091165,dynp_l2_bic (Bai-Perron-style)
ppi_manufacturing,106,3,2019-11-01;2021-02-01;2022-03-01,111.7929918263885,255.21622490373255,dynp_l2_bic (Bai-Perron-style)
private_credit,106,3,2020-03-01;2022-04-01;2024-10-01,24.170197172602016,111.662506631351,dynp_l2_bic (Bai-Perron-style)
ALU,106,2,2019-06-01;2020-06-01,143.64198079201938,360.1670656840062,dynp_l2_bic (Bai-Perron-style)
CIPI_BLDG,106,2,2019-12-01;2020-12-01,193.14415020171901,574.5399268753953,dynp_l2_bic (Bai-Perron-style)
CIPI_CIVIL,106,2,2019-06-01;2020-06-01,199.7064992132064,611.2331942185243,dynp_l2_bic (Bai-Perron-style)
IRONSTEEL,106,2,2019-12-01;2020-12-01,203.43189409764855,633.0970836308676,dynp_l2_bic (Bai-Perron-style)
lending_rate,106,2,2019-10-01;2020-11-01,7.9072273076022,100.08816552826283,dynp_l2_bic (Bai-Perron-style)
