,first_obs,last_obs,n_obs,pct_missing
PAINT,2017-07-01,2026-04-01,100,5.660377358490567
CEM,2017-07-01,2026-04-01,100,5.660377358490567
CIPI_ALL,2017-07-01,2026-04-01,100,5.660377358490567
SAND,2017-07-01,2026-04-01,100,5.660377358490567
AGG,2017-07-01,2026-04-01,106,0.0
ppi_manufacturing,2017-07-01,2026-04-01,106,0.0
lending_rate,2017-07-01,2026-04-01,106,0.0
exchange_rate,2017-07-01,2026-04-01,106,0.0
cpi,2017-07-01,2026-04-01,106,0.0
central_bank_rate,2017-07-01,2026-04-01,106,0.0
activity_indicator,2017-07-01,2026-04-01,106,0.0
TIMBER,2017-07-01,2026-04-01,106,0.0
TILES,2017-07-01,2026-04-01,106,0.0
STEEL,2017-07-01,2026-04-01,106,0.0
PIPES,2017-07-01,2026-04-01,106,0.0
MURRAM,2017-07-01,2026-04-01,106,0.0
NAILS,2017-07-01,2026-04-01,106,0.0
ALU,2017-07-01,2026-04-01,106,0.0
LIME,2017-07-01,2026-04-01,106,0.0
LABOUR,2017-07-01,2026-04-01,106,0.0
IRONSTEEL,2017-07-01,2026-04-01,106,0.0
IRON,2017-07-01,2026-04-01,106,0.0
DIESEL,2017-07-01,2026-04-01,106,0.0
CLAY,2017-07-01,2026-04-01,106,0.0
CIPI_MAT,2017-07-01,2026-04-01,106,0.0
CIPI_CIVIL,2017-07-01,2026-04-01,106,0.0
CIPI_BLDG,2017-07-01,2026-04-01,106,0.0
BRICK,2017-07-01,2026-04-01,106,0.0
private_credit,2017-07-01,2026-04-01,106,0.0
