series_code,n_links,n_no_overlap,min_splice_factor,max_splice_factor,median_overlap
ALU,1,1,,,
CEM,9,1,0.8769859263907382,1.0,101.5
CIPI_ALL,9,1,0.9320172099598534,1.0,101.5
IRONSTEEL,1,1,,,
PAINT,9,1,0.823481699849094,1.0,101.5
SAND,9,1,1.0,1.0323826764997683,101.5
AGG,7,0,1.0,1.0,102.0
BRICK,7,0,1.0,1.0,102.0
CIPI_MAT,8,0,0.8334504785150313,1.0,101.5
CLAY,8,0,1.0,1.0258357416551598,101.5
DIESEL,7,0,1.0,1.0,102.0
IRON,7,0,1.0,1.0,102.0
LABOUR,8,0,0.8231464630079321,1.0,101.5
LIME,7,0,1.0,1.0,102.0
PIPES,7,0,1.0,1.0,102.0
STEEL,7,0,1.0,1.0,102.0
TILES,7,0,1.0,1.0,102.0
TIMBER,8,0,1.0,1.0590516588744432,101.5
