series_code,older,newer,splice_factor,note
AGG,05_2026CIPI_MARCH_2026_PIN_UPS.xlsx,06_2026CIPI_APRIL_2026_PIN_UPS.xlsx,1.0,overlap=105
AGG,03_2026CIPI_FEBRUARY_2026_EXCEL_TABLES.xlsx,05_2026CIPI_MARCH_2026_PIN_UPS.xlsx,1.0,overlap=104
AGG,03_2026CIPI_JANUARY_2026_EXCEL_TABLES.xlsx,03_2026CIPI_FEBRUARY_2026_EXCEL_TABLES.xlsx,1.0,overlap=103
AGG,01_2026CIPI_DECEMBER_2025_PIN_UPS.xlsx,03_2026CIPI_JANUARY_2026_EXCEL_TABLES.xlsx,1.0,overlap=102
AGG,CIPI-NOVEMBER-2025-EXCEL-TABLES.xlsx,01_2026CIPI_DECEMBER_2025_PIN_UPS.xlsx,1.0,overlap=101
AGG,CIPI-OCTOBER-2025-PIN-UPS.xlsx,CIPI-NOVEMBER-2025-EXCEL-TABLES.xlsx,1.0,overlap=100
AGG,CIPI-September-2025-PIN-UPS.xlsx,CIPI-OCTOBER-2025-PIN-UPS.xlsx,1.0,overlap=99
ALU,CIPI_2020_06.xlsx,CIPI_2022_06_rebased.xlsx,,"NO OVERLAP - segment kept separate, break flagged"
BRICK,05_2026CIPI_MARCH_2026_PIN_UPS.xlsx,06_2026CIPI_APRIL_2026_PIN_UPS.xlsx,1.0,overlap=105
BRICK,03_2026CIPI_FEBRUARY_2026_EXCEL_TABLES.xlsx,05_2026CIPI_MARCH_2026_PIN_UPS.xlsx,1.0,overlap=104
BRICK,03_2026CIPI_JANUARY_2026_EXCEL_TABLES.xlsx,03_2026CIPI_FEBRUARY_2026_EXCEL_TABLES.xlsx,1.0,overlap=103
BRICK,01_2026CIPI_DECEMBER_2025_PIN_UPS.xlsx,03_2026CIPI_JANUARY_2026_EXCEL_TABLES.xlsx,1.0,overlap=102
BRICK,CIPI-NOVEMBER-2025-EXCEL-TABLES.xlsx,01_2026CIPI_DECEMBER_2025_PIN_UPS.xlsx,1.0,overlap=101
BRICK,CIPI-OCTOBER-2025-PIN-UPS.xlsx,CIPI-NOVEMBER-2025-EXCEL-TABLES.xlsx,1.0,overlap=100
