date,var,value,source,provider,dataset,series
1985-07-01,central_bank_rate,1985.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1986-01-01,central_bank_rate,1986.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1986-07-01,central_bank_rate,1986.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1987-01-01,central_bank_rate,1987.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1987-07-01,central_bank_rate,1987.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1988-01-01,central_bank_rate,1988.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1988-07-01,central_bank_rate,1988.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1989-01-01,central_bank_rate,1989.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1989-07-01,central_bank_rate,1989.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1990-01-01,central_bank_rate,1990.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1990-07-01,central_bank_rate,1990.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1991-01-01,central_bank_rate,1991.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1991-07-01,central_bank_rate,1991.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1992-01-01,central_bank_rate,1992.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1992-07-01,central_bank_rate,1992.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1993-01-01,central_bank_rate,1993.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1993-07-01,central_bank_rate,1993.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1994-01-01,central_bank_rate,1994.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1994-07-01,central_bank_rate,1994.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1995-01-01,central_bank_rate,1995.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1995-07-01,central_bank_rate,1995.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1996-01-01,central_bank_rate,1996.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1996-07-01,central_bank_rate,1996.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
1997-01-01,central_bank_rate,1997.0,MOFPED/BoU via ugatsdb,ugatsdb,BOU_MMI,CBR
