"Date","Year","Quarter","FY","QFY","Month","CBS_NFA","CBS_CNR","CBS_CNR_ORA","CBS_LNR","CBS_LNR_STL","CBS_NDA","CBS_DCL","CBS_DCL_NCCG","CBS_DCL_CCG","CBS_DCL_CCG_SOTS","CBS_DCL_CCG_LN","CBS_DCL_LCG","CBS_DCL_LCG_DP","CBS_DCL_COS","CBS_DCL_COS_OFC","CBS_DCL_COS_SLG","CBS_DCL_COS_PNFC","CBS_DCL_COS_PRV","CBS_DCL_COS_PRV_LN","CBS_CLODC","CBS_CLODC_LN","CBS_LODC","CBS_LODC_RP","CBS_OIN","CBS_OIN_SOE","CBS_OIN_OIN","CBS_MBIFCCB","CBS_MB","CBS_MB_CIC","CBS_MB_LODC","CBS_MB_RD","CBS_MB_OTH","CBS_FCCB"
2001-12-01,2001,"Q4","2001/02","Q2","December",1174.448148354,2120.779055862,1674.676361251,946.330907508,493.048510272,-557.158866248,-150.304390481,-217.951645539,1210.912951915,37.48767419,1173.425277725,1428.864597454,1428.864597454,67.647255058,11.921587844,0,5.943042496,49.782624718,49.782624718,58.329723609,58.329723609,71.146581807,20,-394.037617569,235.317182609,-158.72043496,617.289292487,617.289292487,444.515393509,172.773898978,172.773898978,0,0
2002-01-01,2002,"Q1","2001/02","Q3","January",1103.475570476,2029.237084106,1578.999643365,925.76151363,472.479116394,-508.294297105001,-129.995642737001,-197.929340715001,1179.517426107,37.494909871,1142.022516236,1377.446766822,1377.446766822,67.933697978,12.234810759,0,5.924908899,49.77397832,49.77397832,58.951488547,58.951488547,51.781045561,0,-385.469097354,223.008983648,-162.460113706,595.181283752,595.181283752,411.805075896,183.376207856,183.376207856,0,0
2002-02-01,2002,"Q1","2001/02","Q3","February",1116.215860293,2041.977373923,1595.27327025,925.76151363,472.479116394,-465.405382842,-47.644471594,-115.484928418,1238.049721895,38.924520397,1199.125201498,1353.534650313,1353.534650313,67.840456824,12.234810759,0,5.902899721,49.702746344,49.702746344,59.370087542,59.370087542,75.3815136360002,22.2035783080002,-401.749485154,250.092540109,-151.656945045,650.810477451,650.810477451,411.524357394,239.286120057,239.286120057,0,0
2002-03-01,2002,"Q1","2001/02","Q3","March",1142.374614618,2064.398912298,1615.752272199,922.02429768,468.741900444,-505.82874236,-39.9881485550003,-77.3662631750003,1046.94222601,38.936486615,1008.005739395,1124.308489185,1124.308489185,37.37811462,11.725598497,0,5.932222631,19.720293492,19.720293492,60.966179125,60.966179125,60.000135317,6.6,-466.806637613,269.602997135,-197.203640478,636.54587225,636.54587225,429.503027933,207.042844317,207.042844317,0,0
2002-04-01,2002,"Q2","2001/02","Q4","April",1125.979129461,2044.190808753,1594.036351763,918.211679292,464.929282056,-520.262274368,54.026264499,15.709606312,1097.192998998,39.16047619,1058.032522808,1081.483392686,1081.483392686,38.316658187,12.500842516,0,5.900683987,19.915131684,19.915131684,59.438622733,59.438622733,96.035934566,42.2,-537.691227034,305.280065162,-232.411161872,605.716865474,605.716865474,419.579078705,186.137786769,186.137786769,0,0
2002-05-01,2002,"Q2","2001/02","Q4","May",1057.263061826,1993.374637801,1542.548123909,936.111575975,460.349520441,-387.689635059,162.422084629,123.972478203,1296.757150063,126.944095416,1169.813054647,1172.78467186,1172.78467186,38.449606426,12.839607521,0,5.807761842,19.802237063,19.802237063,59.847388113,59.847388113,91.392489601,38,-518.5666182,310.2615465,-208.3050717,669.573437148,669.573437148,432.000253317,237.573183831,237.573183831,0,0
2002-06-01,2002,"Q2","2001/02","Q4","June",1078.525330695,2040.263921119,1559.294059162,961.738590424,486.947498292,-449.601721716,4.59715936100032,-34.4735631179997,1457.70311693,124.706305707,1332.996811223,1492.176680048,1492.176680048,39.070722479,13.105797361,0,5.810187268,20.15473785,20.15473785,60.673331883,60.673331883,85.674411716,31.6,-429.197801244,310.797087547,-118.400713697,628.92361936,628.92361936,447.936632035,180.986987325,180.986987325,0,0
2002-07-01,2002,"Q3","2002/03","Q1","July",1099.608425853,2056.576415317,1572.044732917,956.967989464,482.176897332,-442.403558134,87.0503035350001,49.0150228790001,1466.148960171,124.389745368,1341.759214803,1417.133937292,1417.133937292,38.035280656,12.72801023,0,5.784074632,19.523195794,19.523195794,61.404364313,61.404364313,89.257700412,33.9,-501.60052557,333.580975305,-168.019550265,657.2048781,657.2048781,442.190960292,215.013917808,215.013917808,0,0
2002-08-01,2002,"Q3","2002/03","Q1","August",1066.739995161,2023.707984625,1531.706517538,956.967989464,482.176897332,-419.433805855,18.7197863799999,-18.8643255470001,1423.526485872,111.752506679,1311.773979193,1442.390811419,1442.390811419,37.584111927,12.70883923,0,5.754492101,19.120780596,19.120780596,64.39680072,64.39680072,69.201539004,11,-433.348853951,320.678962395,-112.669891556,647.306199687,647.306199687,452.564132777,194.74206691,194.74206691,0,0
2002-09-01,2002,"Q3","2002/03","Q1","September",1112.292334922,2068.832254548,1578.591124775,956.539919626,481.748827494,-502.089293096,-31.368718104,-66.599383882,1493.040235577,121.073522679,1371.966712898,1559.639619459,1559.639619459,35.230665778,12.70883923,0,5.720602569,16.801223979,16.801223979,68.906107911,68.906107911,85.911755901,26.7999,-453.714927002,346.920523466,-106.794403536,610.203052207,610.203052207,461.525118162,148.677934045,148.677934045,0,0
