"Date","Year","Quarter","FY","QFY","Month","CPI_FOOD_16","CPI_FOOD_09","CPI_CORE_16","CPI_CORE_09","CPI_EFU_16","CPI_EFU_09","CPI_16","CPI_09","CPI_FOOD_BEV_16","CPI_BEV_TOB_16","CPI_CLOTH_16","CPI_HWEGF_16","CPI_FHER_16","CPI_HEA_16","CPI_TRA_16","CPI_COM_16","CPI_REC_16","CPI_EDU_16","CPI_REH_16","CPI_INSF_16","CPI_MISC_16","CPI_FOOD_BEV_09","CPI_BEV_TOB_09","CPI_CLOTH_09","CPI_HWEGF_09","CPI_FHER_09","CPI_HEA_09","CPI_TRA_09","CPI_COM_09","CPI_REC_09","CPI_EDU_09","CPI_REH_09","CPI_MISC_09"
2005-07-01,2005,"Q3","2005/06","Q1","July",,55.4573476282074,,70.4210803190078,,64.6456259731799,,67.7849636405942,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-01,2005,"Q3","2005/06","Q1","August",,55.5156096380139,,70.1897546702504,,64.8261628684656,,67.6181469057542,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-01,2005,"Q3","2005/06","Q1","September",,58.7113743027863,,70.2471498368182,,66.2483957775525,,68.1918699158501,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-01,2005,"Q4","2005/06","Q2","October",,58.1672798893043,,70.3293796066637,,66.5581257690478,,68.1362468066202,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-01,2005,"Q4","2005/06","Q2","November",,58.5861706873048,,70.5199096203208,,66.4951342302379,,68.3375849761004,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-01,2005,"Q4","2005/06","Q2","December",,57.2417269739138,,70.4805346859439,,66.3671859850374,,68.1044970053732,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,2006,"Q1","2005/06","Q3","January",,60.2947490534596,,70.9555964720903,,66.5405092112819,,68.9450934789601,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-01,2006,"Q1","2005/06","Q3","February",,61.968960133031,,71.6223480589429,,66.4772084904778,,69.7556724187164,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-01,2006,"Q1","2005/06","Q3","March",,67.3292297922152,,72.0053950544633,,66.4906935656825,,70.9133532573687,,,,,,,,,,,,,,,,,,,,,,,,,
2006-04-01,2006,"Q2","2005/06","Q4","April",,68.2259869024206,,72.1997488706914,,66.4661853578743,,71.2532010919737,,,,,,,,,,,,,,,,,,,,,,,,,
