"Date","Year","Quarter","FY","QFY","Month","DCS_NFA","DCS_NFA_CBK","DCS_NFA_CBK_OFA","DCS_NFA_ODC","DCS_NDA","DCS_DCL","DCS_DCL_NCCG","DCS_DCL_CCG","DCS_DCL_LCG","DCS_DCL_COS","DCS_DCL_COS_OFC","DCS_DCL_COS_SLG","DCS_DCL_COS_PNFC","DCS_DCL_COS_PRV","DCS_DCL_COS_PRV_LN","DCS_OIN","DCS_OIN_SOE","DCS_OIN_COA","DCS_OIN_OIN","DCS_M3","DCS_M3_FXD","DCS_M2","DCS_M2_OLCD","DCS_M1","DCS_M1_TLCD","DCS_M1_CODC"
2001-12-01,2001,"Q4","2001/02","Q2","December",1519.888169754,1174.448148354,1674.676361251,345.4400214,136.945578374,912.356943519,142.198293461,1799.444785915,1657.246492454,770.158650058,25.863791844,2.482588,10.171988496,731.640281718,731.640281718,-775.411365145,463.341954609,-138.034406511,-174.035004025,1656.833758509,336.186833,1320.646925509,408.080601,912.566324509,519.132459,393.433865509
2002-01-01,2002,"Q1","2001/02","Q3","January",1479.005400876,1103.475570476,1578.999643365,375.5298304,187.128566639,947.520401263,172.207918285,1783.688689107,1611.480770822,775.312482978,32.501008759,2.627234,8.933912899,731.25032732,728.25032732,-760.391834624,471.666777648,-130.235487205,-158.489569771,1666.133977896,350.299734,1315.834243896,395.141401,920.692842896,548.527525,372.165317896
2002-02-01,2002,"Q1","2001/02","Q3","February",1494.796084693,1116.215860293,1595.27327025,378.5802244,239.703403700999,1021.693967406,256.516296582,1845.779222895,1589.262926313,765.177670824,30.466928759,2.450963,8.279162721,723.980616344,720.980616344,-781.990563705001,515.405844109,-149.041361486,-117.543358110001,1734.499488394,362.538844,1371.960644394,401.747207,970.213437394,592.042009,378.171428394
2002-03-01,2002,"Q1","2001/02","Q3","March",1520.975506018,1142.374614618,1615.752272199,378.6008914,245.538949088,1037.567543445,330.732061825,1679.82281801,1349.090756185,706.83548162,29.790920497,2.205312,8.809275631,666.029973492,663.149973492,-792.028594357,536.640860135,-107.372661844,-148.015072378,1766.514459933,367.136597,1399.377862933,412.220052,987.157810933,588.439883,398.717927933
2002-04-01,2002,"Q2","2001/02","Q4","April",1563.868772861,1125.979129461,1594.036351763,437.8896434,234.895182628,1106.515288499,410.576902312,1726.497046998,1315.920144686,695.938386187,30.374902516,0.958946,8.700287987,655.904249684,653.024249684,-871.620105871,580.652208162,-91.900060937,-199.067836772,1798.763972705,399.220196,1399.543776705,425.436081,974.107695705,591.303433,382.804262705
2002-05-01,2002,"Q2","2001/02","Q4","May",1474.698186226,1057.263061826,1542.548123909,417.4351244,389.50581371,1286.757987629,515.782800203,1952.568316063,1436.78551586,770.975187426,30.846844521,1.185732,7.725678842,731.216932063,728.336932063,-897.252173919,588.8868235,-157.658992654,-150.706357765,1864.204010317,405.784535,1458.419475317,435.670147,1022.749328317,628.490569,394.258759317
2002-06-01,2002,"Q2","2001/02","Q4","June",1550.945660095,1078.525330695,1559.294059162,472.4203294,384.542410558999,1208.665960361,419.796201882,2181.56220493,1761.766003048,788.869758479,40.160257361,1.18798,8.671811268,738.84970985,736.22470985,-824.123549802001,577.164050547,-140.857243493,-106.102255762001,1935.487983035,444.895408,1490.592575035,465.878896,1024.713679035,617.493614,407.220065035
2002-07-01,2002,"Q3","2002/03","Q1","July",1568.078585853,1099.608425853,1572.044732917,468.47016,386.509568058001,1373.223012535,554.850258879,2214.472462171,1659.622203292,818.372753656,67.17676323,0.84544,8.293447632,742.057102794,739.432102794,-986.713444476999,604.774199305,-198.426383242,-183.512861929999,1954.588164292,440.042139,1514.546025292,470.636058,1043.909967292,645.082035,398.827932292
2002-08-01,2002,"Q3","2002/03","Q1","August",1519.000889161,1066.739995161,1531.706517538,452.260894,419.942694235,1316.38250738,485.038734453,2173.856515872,1688.817781419,831.343772927,70.18003423,1.010638,8.200864101,751.952236596,749.327236596,-896.439813145,598.183602395,-146.825498529,-151.430712221,1938.943593777,430.788387,1508.155206777,478.394728,1029.760478777,616.545153,413.215325777
2002-09-01,2002,"Q3","2002/03","Q1","September",1552.610019322,1112.292334922,1578.591124775,440.3176844,400.824552459,1264.673539896,470.011758118,2273.683009577,1803.671251459,794.661781778,32.23312023,0.911653,8.570865569,752.946142979,750.441142979,-863.848987437,607.860864466,-147.43741137,-108.550711601,1953.434582162,431.497264,1521.937318162,480.069688,1041.867630162,629.968642,411.898988162
