"Date","Year","Quarter","FY","QFY","Month","EX","EX_COF","EX_ELC","EX_GOLD","EX_COT","EX_TEA","EX_TOB","EX_FISH","EX_HISK","EX_SIM","EX_MAIZE","EX_BEANS","EX_FLO","EX_OIL","EX_COB","EX_OTH","EX_OTH_BAKW","EX_OTH_BMP","EX_OTH_BEER","EX_OTH_CPHO","EX_OTH_CEM","EX_OTH_COCB","EX_OTH_COTL","EX_OTH_CROIL","EX_OTH_EFATS","EX_OTH_FRVEG","EX_OTH_GNUTS","EX_OTH_OPUL","EX_OTH_PAPAIN","EX_OTH_PLP","EX_OTH_RICE","EX_OTH_SOAP","EX_OTH_SUGAR","EX_OTH_TEX","EX_OTH_VAN","EX_OTH_H2O","EX_OTH_OTH","EX_FORM","EX_ICBT","EX_ICBT_MAIZE","EX_ICBT_BEANS","EX_ICBT_SUGAR","EX_ICBT_OGR","EX_ICBT_BAN","EX_ICBT_OTH_AGR","EX_ICBT_FISH","EX_ICBT_IND","EX_ICBT_OTH","EX_COF_VOL","EX_COT_VOL","EX_TEA_VOL","EX_TOB_VOL","EX_BEANS_VOL","EX_SIM_VOL","EX_OPUL_VOL","EX_MAIZE_VOL","EX_SOR_VOL","EX_FISH_VOL","EX_FRVEG_VOL","EX_HISK_VOL","EX_CEM_VOL","EX_FLO_VOL","EX_COCB_VOL","EX_SUGAR_VOL","EX_RICE_VOL","EX_VAN_VOL","EX_GOLD_VOL","EX_COB_VOL","EX_EFATS_VOL","EX_SOAP_VOL","EX_PLP_VOL","EX_PEP_VOL","EX_ELC_VOL","EX_BEER_VOL"
1991-07-01,1991,"Q3","1991/92","Q1","July",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1198.2,423,,2300,592,,1252,,32,30,34,,,,,,,0.18,,,,,,,
1991-08-01,1991,"Q3","1991/92","Q1","August",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,233989,1456.9,405.8,,700,423.6,90,4551.61,,163.74,38.17,145.44,,,,,,,,,,,,,,
1991-09-01,1991,"Q3","1991/92","Q1","September",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,338956,338.7,276.36,12.64,1029.85,911.39,,4760,,71.86,,59.95,,,,,,,,,,,,,,
1991-10-01,1991,"Q4","1991/92","Q2","October",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,153435,350.8,585.7,182,1539.4,575.4,1030,4021.36,,315.6,7.45,122.33,,,,,,,,78.24,,,,,,
1991-11-01,1991,"Q4","1991/92","Q2","November",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,161752,335.7,633.97,171.6,1485,365.9,,2882,,272.9,,125.96,,,,,,,0.146,,,,,,,
1991-12-01,1991,"Q4","1991/92","Q2","December",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,189766,332.1,351,400.63,1748,673.5,,4371.9,,351.66,,202.27,,,,,,,,,,,,,,
1992-01-01,1992,"Q1","1991/92","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,243439,470.085,803,426,972.9,1344.13,115.3,5288,,149.7,20.7,366.3,,,,,,,,21.9,,,,,,
1992-02-01,1992,"Q1","1991/92","Q3","February",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,185299,636.77,522,202.7,940.8,1731.1,,4188.7,,96.8,,177,,,,,,,,,,,,,,
1992-03-01,1992,"Q1","1991/92","Q3","March",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,246390,648.425,278.8,159.8,1021.4,2296.2,19.9,1078.9,,123.3,,252.3,,,,,,,,18,,,,,,
1992-04-01,1992,"Q2","1991/92","Q4","April",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,159644,,390.6,68.6,1781,3438.1,,1329.4,,261.5,12.1,203.9,,,,,,,,181,,,,,,
