"Date","Year","Quarter","FY","QFY","Month","EX_EUU","EX_AUT","EX_BEL","EX_DNK","EX_FRA","EX_DEU","EX_ITA","EX_NLD","EX_POL","EX_PRT","EX_ESP","EX_SWE","EX_GBR","EX_EUU_OTH","EX_ROE","EX_BGR","EX_NOR","EX_CHE","EX_TUR","EX_ROE_OTH","EX_AMC","EX_USA","EX_CAN","EX_MEX","EX_BRA","EX_ARG","EX_LAC_OTH","EX_MIE","EX_BHR","EX_ISR","EX_SAU","EX_ARE","EX_JOR","EX_MIE_OTH","EX_ASI","EX_IND","EX_JPN","EX_MYS","EX_CHN","EX_THA","EX_SGP","EX_PAK","EX_KOR","EX_IDN","EX_VNM","EX_TWN","EX_HKG","EX_ASI_OTH","EX_COM","EX_ETH","EX_KEN","EX_MWI","EX_NAM","EX_MUS","EX_ZMB","EX_SWZ","EX_BDI","EX_RWA","EX_MDG","EX_SDN","EX_EGY","EX_COD","EX_SSD","EX_COM_OTH","EX_ROA","EX_TZA","EX_ZAF","EX_NGA","EX_ROA_OTH","EX_UCL","EX_AUS","EX_ISL","EX_UCL_OTH","EX_F_TOT","EX_IF_BDI","EX_IF_COD","EX_IF_KEN","EX_IF_RWA","EX_IF_SSD","EX_IF_TZA","EX_IF_TOT","EX"
1997-01-01,1997,"Q1","1996/97","Q3","January",8.836,,4.232,0.027,0.109,0.908,0.006,1.984,,0.023,0.208,0.053,1.286,,1.164,,0.021,1.129,,0.014,0.01,0.01,,,,,,1.831,1.41,0.188,,0.173,,0.06,0,,,,,,,,,,,,,,7.4868,,6.9234,,,0.3305,0.0145,0.2083,,0.0079,,0.0022,,,,,0.67,0.67,,,,0,,,,19.9978,,,,,,,,19.9978
1997-02-01,1997,"Q1","1996/97","Q3","February",8.651,0.058,4.274,0.009,0.018,0.768,0.016,1.303,,0.507,,0.069,1.629,,6.352,,0.02,6.332,,,0.103,0.088,0.015,,,,,0.431,0.193,0.18,0.016,0.042,,,0,,,,,,,,,,,,,,11.0379,,10.8245,,,,0.0728,,,,,0.0045,0.1361,,,,0.0581,0.0581,,,,0,,,,26.633,,,,,,,,26.633
1997-03-01,1997,"Q1","1996/97","Q3","March",8.987,,3.225,,0.127,1.429,0.003,1.244,,,0.04,0.047,2.872,,11.703,,0.048,11.655,,,0.145,0.064,0.006,,0.075,,,1.245,,,,0.046,1.16,0.039,0,,,,,,,,,,,,,,10.3237,,9.75,,,0.037,0.1913,0.3454,,,,,,,,,0.1376,0.1376,,,,0,,,,32.5413,,,,,,,,32.5413
1997-04-01,1997,"Q2","1996/97","Q4","April",10.471,,4.854,,0.04,0.482,0.007,1.044,,0.874,0.001,0.012,3.157,,10.339,,0.108,10.231,,,0.378,0.352,,,0.026,,,0.259,,,,0.246,0.013,,0,,,,,,,,,,,,,,14.8255,,14.3523,,,0.1419,0.0502,0.2217,,,,,0.0594,,,,0.7961,0.7961,,,,0,,,,37.0686,,,,,,,,37.0686
1997-05-01,1997,"Q2","1996/97","Q4","May",9.074,,3.044,0.012,0.057,0.283,0.012,1.194,,0.423,,,4.049,,5.351,,0.073,5.278,,,0.189,0.128,,,0.061,,,0.204,,0.064,,0.112,,0.028,0,,,,,,,,,,,,,,12.5392,,11.1882,,,0.1478,0.5909,0.5692,,,,0.0021,0.0399,0.0011,,,1.1939,1.1939,,,,0,,,,28.5511,,,,,,,,28.5511
1997-06-01,1997,"Q2","1996/97","Q4","June",5.161,,1.767,0.001,0.075,0.145,,1.106,,,,0.043,2.024,,11.156,,0.04,11.116,,,0.046,0.046,,,,,,0.166,,,,0.165,,0.001,0,,,,,,,,,,,,,,14.3211,,13.9663,,,0.038,0.2984,,,0.0164,,0.002,,,,,0.1273,0.1273,,,,0,,,,30.9774,,,,,,,,30.9774
1997-07-01,1997,"Q3","1997/98","Q1","July",2.931,,1.506,0.001,0.045,0.102,0.061,0.606,,,0.009,0.009,0.592,,1.191,,0.041,1.15,,,0.006,0.006,,,,,,0.116,,,,0.109,,0.007,0,,,,,,,,,,,,,,13.674,,13.0664,,0.0075,0.1539,0.2065,,,,,,0.2387,0.001,,,1.5046,1.5046,,,,0,,,,19.4226,,,,,,,,19.4226
1997-08-01,1997,"Q3","1997/98","Q1","August",2.696,,0.567,0.02,,0.014,,1.012,,,,0.018,1.065,,7.027,,0.041,6.986,,,0,,,,,,,0.041,,0.006,,0.035,,,0,,,,,,,,,,,,,,9.9557,,9.8654,,,,0.0391,,,,,0.0072,0.044,,,,1.2702,1.2702,,,,0,,,,20.9899,,,,,,,,20.9899
1997-09-01,1997,"Q3","1997/98","Q1","September",3.044,,1.051,,,0.089,0.1,1.32,,,,0.06,0.424,,2.514,,0.079,2.418,,0.017,0.017,,,0.017,,,,0.238,,0.071,,0.163,,0.004,0,,,,,,,,,,,,,,13.91642,,12.8433,,,0.01712,1.0076,,,,,0.0114,0.037,,,,3.6478,3.6478,,,,0,,,,23.37722,,,,,,,,23.37722
1997-10-01,1997,"Q4","1997/98","Q2","October",4.515097,0.1409,0.820047,,,0.364045,0.043102,2.411392,,,0.014409,,0.721202,,1.294753,0.024696,0.232692,1.037365,,,0.005,,,0.005,,,,0.242994,,0.12841,,0.114584,,,0,,,,,,,,,,,,,,14.31636,,13.8553,,,0.01756,0.0965,,0.325,,,,0.022,,,,1.3813,1.3813,,,,0,,,,21.755504,,,,,,,,21.755504
