"Date","Year","Quarter","FY","QFY","Month","E_BWA_B","E_IFEM_B","E_BWA_S","E_IFEM_S","E_BWA_MR","E_OFF_MR","E_IFEM_MR","NEER","NEER_IX_10","NEER_IX_17","REER_IX_10","REER_IX_17","E_IFEM_PUR","E_IFEM_SAL","E_PA","E_EP"
1981-01-01,1981,"Q1","1980/81","Q3","January",,,,,,,,,,,,,,,0.0759,
1981-02-01,1981,"Q1","1980/81","Q3","February",,,,,,,,,,,,,,,0.078,
1981-03-01,1981,"Q1","1980/81","Q3","March",,,,,,,,,,,,,,,0.0787,
1981-04-01,1981,"Q2","1980/81","Q4","April",,,,,,,,,,,,,,,0.0796,
1981-05-01,1981,"Q2","1980/81","Q4","May",,,,,,,,,,,,,,,0.0812,
1981-06-01,1981,"Q2","1980/81","Q4","June",,,,,,,,,,,,,,,0.7675,
1981-07-01,1981,"Q3","1981/82","Q1","July",,,,,,,,,,,,,,,0.7939,
1981-08-01,1981,"Q3","1981/82","Q1","August",,,,,,,,,,,,,,,0.6166,
1981-09-01,1981,"Q3","1981/82","Q1","September",,,,,,,,,,,,,,,0.8052,
1981-10-01,1981,"Q4","1981/82","Q2","October",,,,,,,,,,,,,,,0.7913,
1981-11-01,1981,"Q4","1981/82","Q2","November",,,,,,,,,,,,,,,0.7856,
1981-12-01,1981,"Q4","1981/82","Q2","December",,,,,,,,,,,,,,,0.8556,
1982-01-01,1982,"Q1","1981/82","Q3","January",,,,,,,,,,,,,,,0.8603,
1982-02-01,1982,"Q1","1981/82","Q3","February",,,,,,,,,,,,,,,0.8599,
1982-03-01,1982,"Q1","1981/82","Q3","March",,,,,,,,,,,,,,,0.8583,
1982-04-01,1982,"Q2","1981/82","Q4","April",,,,,,,,,,,,,,,0.8594,
1982-05-01,1982,"Q2","1981/82","Q4","May",,,,,,,,,,,,,,,0.8742,
1982-06-01,1982,"Q2","1981/82","Q4","June",,,,,,,,,,,,,,,0.9417,
1982-07-01,1982,"Q3","1982/83","Q1","July",,,,,,,,,,,,,,,0.9867,
1982-08-01,1982,"Q3","1982/83","Q1","August",,,,,,,,,,,,,,,0.9916,
1982-09-01,1982,"Q3","1982/83","Q1","September",,,,,,,,,,,,,,,0.9907,
1982-10-01,1982,"Q4","1982/83","Q2","October",,,,,,,,,,,,,,,0.997,
1982-11-01,1982,"Q4","1982/83","Q2","November",,,,,,,,,,,,,,,1.0174,
1982-12-01,1982,"Q4","1982/83","Q2","December",,,,,,,,,,,,,,,1.0484,
1983-01-01,1983,"Q1","1982/83","Q3","January",,,,,,,,,,,,,,,1.07,
1983-02-01,1983,"Q1","1982/83","Q3","February",,,,,,,,,,,,,,,1.1197,
1983-03-01,1983,"Q1","1982/83","Q3","March",,,,,,,,,,,,,,,1.1659,
1983-04-01,1983,"Q2","1982/83","Q4","April",,,,,,,,,,,,,,,1.1966,
1983-05-01,1983,"Q2","1982/83","Q4","May",,,,,,,,,,,,,,,1.2829,
1983-06-01,1983,"Q2","1982/83","Q4","June",,,,,,,,,,,,,,,1.388,
1983-07-01,1983,"Q3","1983/84","Q1","July",,,,,,,,,,,,,,,1.5514,
1983-08-01,1983,"Q3","1983/84","Q1","August",,,,,,,,,,,,,,,1.6647,
1983-09-01,1983,"Q3","1983/84","Q1","September",,,,,,,,,,,,,,,1.7628,
1983-10-01,1983,"Q4","1983/84","Q2","October",,,,,,,,,,,,,,,1.856,
1983-11-01,1983,"Q4","1983/84","Q2","November",,,,,,,,,,,,,,,2.0672,
1983-12-01,1983,"Q4","1983/84","Q2","December",,,,,,,,,,,,,,,2.3381,
1984-01-01,1984,"Q1","1983/84","Q3","January",,,,,,,,,,,,,,,2.4142,
1984-02-01,1984,"Q1","1983/84","Q3","February",,,,,,,,,,,,,,,2.5332,
1984-03-01,1984,"Q1","1983/84","Q3","March",,,,,,,,,,,,,,,2.7413,
1984-04-01,1984,"Q2","1983/84","Q4","April",,,,,,,,,,,,,,,2.9206,
1984-05-01,1984,"Q2","1983/84","Q4","May",,,,,,,,,,,,,,,2.9229,
1984-06-01,1984,"Q2","1983/84","Q4","June",,,,,,,,,,,,,,,3.072,
1984-07-01,1984,"Q3","1984/85","Q1","July",,,,,,,,,,,,,,,3.3809,
1984-08-01,1984,"Q3","1984/85","Q1","August",,,,,,,,,,,,,,,3.7391,
1984-09-01,1984,"Q3","1984/85","Q1","September",,,,,,,,,,,,,,,4,
1984-10-01,1984,"Q4","1984/85","Q2","October",,,,,,,,,,,,,,,4.4568,
1984-11-01,1984,"Q4","1984/85","Q2","November",,,,,,,,,,,,,,,5.4636,
1984-12-01,1984,"Q4","1984/85","Q2","December",,,,,,,,,,,,,,,5.5157,
1985-01-01,1985,"Q1","1984/85","Q3","January",,,,,,,,,,,,,,,5.3909,
1985-02-01,1985,"Q1","1984/85","Q3","February",,,,,,,,,,,,,,,5.57,
1985-03-01,1985,"Q1","1984/85","Q3","March",,,,,,,,,,,,,,,5.7881,
1985-04-01,1985,"Q2","1984/85","Q4","April",,,,,,,,,,,,,,,5.9316,
1985-05-01,1985,"Q2","1984/85","Q4","May",,,,,,,,,,,,,,,6.0045,
1985-06-01,1985,"Q2","1984/85","Q4","June",,,,,,,,,,,,,,,6,
1985-07-01,1985,"Q3","1985/86","Q1","July",,,,,,,,,,,,,,,6,
1985-08-01,1985,"Q3","1985/86","Q1","August",,,,,,,,,,,,,,,6,
1985-09-01,1985,"Q3","1985/86","Q1","September",,,,,,,,,,,,,,,6,
1985-10-01,1985,"Q4","1985/86","Q2","October",,,,,,,,,,,,,,,6.8,
1985-11-01,1985,"Q4","1985/86","Q2","November",,,,,,,,,,,,,,,8.7,
1985-12-01,1985,"Q4","1985/86","Q2","December",,,,,,,,,,,,,,,12.75,
1986-01-01,1986,"Q1","1985/86","Q3","January",,,,,,,,,,,,,,,14.79,14
1986-02-01,1986,"Q1","1985/86","Q3","February",,,,,,,,,,,,,,,14.8,14
1986-03-01,1986,"Q1","1985/86","Q3","March",,,,,,,,,,,,,,,14.8,14
1986-04-01,1986,"Q2","1985/86","Q4","April",,,,,,,,,,,,,,,14.8,14
1986-05-01,1986,"Q2","1985/86","Q4","May",,,,,,,,,,,,,,,14,14
1986-06-01,1986,"Q2","1985/86","Q4","June",,,,,,,,,,,,,,,14,14
1986-07-01,1986,"Q3","1986/87","Q1","July",,,,,,,,,,,,,,,14,14
1986-08-01,1986,"Q3","1986/87","Q1","August",,,,,,,,,,,,,,,14,14
1986-09-01,1986,"Q3","1986/87","Q1","September",,,,,,,,,,,,,,,14,14
1986-10-01,1986,"Q4","1986/87","Q2","October",,,,,,,,,,,,,,,14,14
1986-11-01,1986,"Q4","1986/87","Q2","November",,,,,,,,,,,,,,,14,14
1986-12-01,1986,"Q4","1986/87","Q2","December",,,,,,,,,,,,,,,14,14
1987-01-01,1987,"Q1","1986/87","Q3","January",,,,,,14,,2.71361520609563,0.87130278187115,0.216171983323762,,,,,14,14
1987-02-01,1987,"Q1","1986/87","Q3","February",,,,,,14,,2.72219121141562,0.874056413733127,0.216855164960884,,,,,14,14
1987-03-01,1987,"Q1","1986/87","Q3","March",,,,,,14,,2.7400526611354,0.879791468133668,0.218278043562938,,,,,14,14
1987-04-01,1987,"Q2","1986/87","Q4","April",,,,,,14,,2.78757507336272,0.895050230644243,0.222063773418974,,,,,14,14
1987-05-01,1987,"Q2","1986/87","Q4","May",,,,,,60,,7.64561080367346,2.45489557523877,1.89689151181442,,,,,60,60
1987-06-01,1987,"Q2","1986/87","Q4","June",,,,,,60,,11.8603121401296,3.80817550636579,2.94256744212928,,,,,60,60
1987-07-01,1987,"Q3","1987/88","Q1","July",,,,,,60,,11.6794523802656,3.7501040408374,2.89769576972476,,,,,60,60
1987-08-01,1987,"Q3","1987/88","Q1","August",,,,,,60,,11.654279581885,3.7420214176242,2.89145034750764,,,,,60,60
1987-09-01,1987,"Q3","1987/88","Q1","September",,,,,,60,,11.8198830659079,3.79519431258463,2.93253690700385,,,,,60,60
1987-10-01,1987,"Q4","1987/88","Q2","October",,,,,,60,,11.7840329225755,3.78368334760113,2.92364241389782,,,,,60,60
1987-11-01,1987,"Q4","1987/88","Q2","November",,,,,,60,,12.1749157453107,3.90919019546584,3.02062123319688,,,,,60,60
1987-12-01,1987,"Q4","1987/88","Q2","December",,,,,,60,,12.4269566830018,3.99011691258566,3.08315309986036,,,,,60,60
1988-01-01,1988,"Q1","1987/88","Q3","January",,,,,,60,,12.3218046531191,3.95635410938849,3.05706466846403,,,,,60,60
1988-02-01,1988,"Q1","1987/88","Q3","February",,,,,,60,,12.0737334006057,3.8767020010381,2.99551768872609,,,,,60,60
1988-03-01,1988,"Q1","1987/88","Q3","March",,,,,,60,,12.1276199614748,3.89400420006959,3.00888705352091,,,,,60,60
1988-04-01,1988,"Q2","1987/88","Q4","April",,,,,,60,,12.1551058397689,3.90282951994769,3.01570635554527,,,,,60,60
1988-05-01,1988,"Q2","1987/88","Q4","May",,,,,,60,,12.0399099302117,3.86584177156245,2.98712601727721,,,,,60,60
