"Date","Year","Quarter","FY","QFY","Month","KA_RC_RWA","KA_RCT1_RWA","KA_NPL","KA_ILN_CA","KA_TCA_TA","KA_LEV","KA_CET1_RWA","AQ_NPL_GLN","AQ_NPL_TD","AQ_NPL_SP","AQ_EA_TA","AQ_LE_GLN","AQ_LE_CA","AQ_NPL_P","EP_RA","EP_RE","EP_NIM","EP_YOA","EP_CD","EP_CI","EP_OI","L_STG","L_LA_TD","L_LA_TA","L_IBB_TD","L_BFA_TD","L_LCR","MS_FX_T1CA","MS_FX_LD","MS_FX_AL","E_CA_A","E_NOP_CA","E_FX_TA","E_FX_TLN","E_FX_TL","E_FX_TD","E_NII_TI","E_SDL_DR","E_SFXL_DR","E_PE_NIE","E_TLN_TA","E_II_ATA","E_NIE_ATA","E_NPL_LNLP","E_NPL_SP","E_STD_TD","E_CD_TA","E_LA_STL","E_CD_TLN","E_TL_TD","E_NPL_TLFX","E_CG_PSA","E_CG_PSQ"
2000-01-01,2000,"Q1","1999/00","Q3","January",14.1612707863714,11.0596100494122,48.2749390883483,12.7793892120392,7.89432633544562,5.17240157731805,11.0596100494122,15.1490941924637,5.80298086941754,42.8814357241013,85.6688204439236,59.2031672092734,244.87443811586,51.7019547176737,4.10496614174311,51.9989416109106,7.97948995535936,16.5590157977199,2.6507015871231,69.9407054332819,44.4562046485186,-19.6448811026744,17.6470314894526,15.0425261298359,0.228897394861105,37.1895839253978,,28.2747048914601,23.3753638292721,105.834059178536,7.89432633544562,22.0818608074849,30.0198491062615,18.0771171364768,28.6093507920195,29.6234247640628,41.7741633830578,1794.33333333333,958.590861958743,51.7069159967401,32.6522856262441,6.83593492219773,-7.43855953632016,43.2607723405244,42.8814357241013,101.209019561393,85.2411134350078,17.4362241289651,261.057110704972,38.3057943642886,,,
2000-04-01,2000,"Q2","1999/00","Q4","April",16.0291234325721,13.0739291539053,32.6374910561866,5.41855924491426,9.08328300589041,6.02645937519164,13.0739291539053,12.1843189897039,4.91062614914947,44.3430954947451,83.8763671110641,32.3596298205809,117.060540909055,57.701817988007,4.9135031658798,57.7416957142733,8.97901862671145,16.9897123623569,2.59053245474588,63.4218643331471,43.8471274564564,-17.5300595584433,19.1364293883898,15.6018149641002,0.472826193634104,38.7842890997428,,51.7521033694388,25.889042812661,112.720929413788,9.08328300589041,42.2108754645142,31.3088484255317,19.0142494900808,28.4535791539624,29.6004835735236,41.485559447784,1810.04333333333,1112.3111458925,47.8083111754007,32.8586583899454,7.60895173085691,-7.29704921942902,72.7074715502217,44.3430954947451,103.170801305855,81.5293942639366,18.5482996605395,248.12149448221,40.3028364022569,,,7.87463334508827
2000-07-01,2000,"Q3","2000/01","Q1","July",18.2304220644648,15.3036428696738,34.4146246293304,6.91317858822895,9.78779995764839,6.76579517097475,15.3036428696738,13.5674697076719,5.27176620042537,39.290857764813,84.8848582828921,34.893815990683,113.037414923489,49.2423491031383,5.23293249795879,55.3668726428789,10.5455031897394,18.9844977157751,3.32679288309765,63.016462601123,39.9842630348242,-18.2279702207219,17.9412783904356,14.6404673199927,0.646219116345746,37.6149201602267,,29.8499983097708,23.3078806638821,106.874911404862,9.78779995764839,25.0577694897987,35.2145163690569,20.5827006129227,34.1100873666435,34.312854754991,37.9481613436586,1960.81766666667,1243.77711547585,45.2394024437678,31.7072688552099,8.900750828799,-7.87057805627273,61.6045018342149,39.290857764813,105.405731305093,81.6021411707063,17.021160204757,257.360990450926,38.8559275532739,,,5.58079606901003
2000-10-01,2000,"Q4","2000/01","Q2","October",20.5139112237227,17.355087312771,17.2781825674711,6.84811607443394,10.8135108794698,7.81984223697388,17.355087312771,9.81619145657871,3.8917904338846,50.5037656130384,82.4573867659241,35.0059889168107,99.8343129417763,61.7076851143663,4.98359277255645,48.3001505631799,11.2502561388255,19.4861273385784,3.34054231212595,67.8035028054652,41.8716412483916,-20.0685592302581,19.830222378018,15.4250067453302,2.86746411159946,38.6977096677178,,13.483303656807,26.3219522267754,103.521916139893,10.8135108794698,11.4070841818737,34.3693193870181,21.7278194005695,34.7893555919275,32.7268700583979,38.6199475518596,1966.3060335605,1251.07524576904,41.0678531593217,30.8392781505413,9.40860682285135,-9.38828754537225,73.8064481610479,50.5037656130384,108.40402652677,77.7853442653726,18.2928835887116,252.228161391019,39.6466435185142,,,4.05742819766202
2001-01-01,2001,"Q1","2000/01","Q3","January",21.2743316495225,18.3079308884062,16.183971553462,5.41689133670008,11.2774062131979,7.82266794146616,18.3079308884062,9.51882479002195,3.5543972648821,48.1109156431771,81.4048592474617,36.907776628394,98.0263080224435,58.0794005569719,5.7671324912059,58.9326533901694,11.0009929663363,19.4024175706938,3.17744431539197,63.1285679313732,40.2281775078441,-22.3582463610519,21.0974124909284,16.9231244296935,2.38019736715495,36.5808361867967,,7.30047803291783,26.0925864101072,101.973305413842,11.2774062131979,6.28253096176523,34.4867054979805,23.6738068454999,35.5326361316561,33.8792355661588,35.2706314555936,2122.48953705559,1241.28653331346,41.9647535289527,29.9525627425274,9.16213649624324,-8.19950780502474,73.9760001641689,48.1109156431771,105.518211532385,80.2142179140223,19.994095980724,267.804189589868,37.3407153014096,,16.3471297123643,-1.83010626959589
2001-04-01,2001,"Q2","2000/01","Q4","April",22.9917519955145,20.3205018899807,10.6360447466481,4.29161265705811,12.0420466642007,8.75214157562225,20.3205018899807,8.23689088324008,2.98227152092482,56.3024431775746,83.8823685145756,63.7324391488325,150.043919578349,68.189905811482,5.54306120980389,51.5908503875782,11.1638828357695,19.2911137221752,3.25077929306513,63.4387428182228,39.8361547684394,-21.1534049591842,20.051388661672,15.7006905169025,2.57012384600184,35.4808490631364,,20.2394090495738,24.6380184663656,106.273672877976,12.0420466642007,17.8879343307197,32.8927456985266,22.2053252959753,33.0503756148705,32.6313643023304,37.0605657763517,1950.33333333333,1326.61861867939,43.3208895566573,28.350333132906,9.36423546954019,-8.33309623407429,83.655183320644,56.3024431775746,106.251060306565,78.3022601667191,18.8717068835059,276.195203067418,36.206276897427,,10.4271100835637,2.38571455154866
2001-07-01,2001,"Q3","2001/02","Q1","July",23.7214550699921,20.9274266177466,9.54974124681097,4.87561604766176,12.8522963480814,8.87017565099278,20.9274266177466,6.94024912111847,2.51156430653532,52.5561225947244,83.7055435118732,68.1802916040321,150.925674437622,68.4981233457583,6.02456148104436,52.6830920088145,11.0605605367275,18.3731075884761,3.02176715101402,63.2382723802902,40.9216736866384,-15.4948884510185,18.2031029023097,14.3107100785103,2.66741507575097,35.3909928639498,,22.5495778867045,30.0562159088238,107.333269820981,12.8522963480814,19.8935788337089,32.3760412021272,25.8358064326622,32.4613568448856,31.1069164577738,36.280519794289,1853.26009463791,1244.45812897923,43.2231602652904,28.4501789119902,9.31860866328537,-8.27024268202158,79.8151506790333,52.5561225947244,104.667506155201,78.616871833947,17.3913600992062,276.331730908077,36.1883883806546,,4.34755459669431,-0.231945997350791
2001-10-01,2001,"Q4","2001/02","Q2","October",23.0558394821761,20.508558442104,7.31478940094036,3.95852086968663,12.2008681102093,8.84729457935948,20.508558442104,6.51898297016812,2.29097468518997,61.1898978605321,81.4127346233507,65.7591757002236,147.323408091637,69.9983076171676,5.07920577071811,43.9893783255936,10.6815656266717,17.5803105858733,2.82838663870085,66.4886419582037,44.1220777380082,-23.640589567101,20.4681680202467,15.9200584683395,2.80191839606638,34.2798342521103,,4.51706058648647,34.528837105107,101.532016776832,12.2008681102093,4.01800164752617,28.3024701823657,26.879021258387,29.9611078485113,27.3572187188043,40.4842586910055,1879.92674164783,1153.24985306025,44.5126641925752,27.3341849640383,8.74879061617419,-8.38478448504574,87.0316420265712,61.1898978605321,106.566886480147,77.7795963595361,19.2068743831227,284.550633069416,35.1431303881882,,-0.73458854327737,-1.01058462661358
2002-01-01,2002,"Q1","2001/02","Q3","January",25.6233972978359,23.0213554424213,4.78976193487699,3.28833131619827,13.4951620587075,9.19951671346546,23.0213554424213,5.07563791666734,1.69410184113841,63.1411758373252,82.8711371441472,60.8170390834521,117.851132103933,76.7588125648217,4.25380494622523,34.086748700906,9.7858549149765,16.50837539879,2.32024782158039,68.7544478643424,46.5182058715432,-19.2120910185491,18.3112182831643,14.3467968571804,2.6016523542528,32.6015652577678,,5.85947935492242,35.2748473451528,102.075314884178,13.4951620587075,5.26445245996289,29.4374731206292,29.1797928327226,31.4136357545573,27.6099705010153,41.0379564395706,1802.50761670283,1042.58226380512,45.7789230863833,26.1508970267752,8.04392670564133,-8.33634290379935,92.6017683858804,63.1411758373252,101.496373328874,78.3497669861274,18.0412537735031,299.606422318543,33.3771216338212,,3.30563862172792,2.16553194531426
2002-04-01,2002,"Q2","2001/02","Q4","April",23.7616217985275,21.106528699645,3.63773848537174,3.23664997883944,12.1436846973914,8.03747113002962,21.106528699645,3.63612112195809,1.1016563135498,62.6050014621609,83.3908381552873,61.0001318463136,119.558529002868,87.4946829346898,3.4814472935713,28.7777674783382,8.26122640123886,15.6295054733676,1.88772801226399,70.0382471542931,50.3371692321411,-21.5245338710061,43.571796636572,34.229294941211,1.39597174002618,29.5976528974495,,1.14747634380231,29.8373876492573,105.345100509919,12.1436846973914,1.01925881103486,30.5119070041627,28.6317297569111,31.4273664802579,29.0733164766488,39.6776619001068,1575.66666666667,937.73453691314,40.009253948275,23.8012777210496,6.90747869590513,-7.45509816351965,95.5615749242328,62.6050014621609,101.89268457174,78.5583739562407,42.7624385594574,330.059482003206,30.297569211791,,1.59657291317252,0.691867863985673
