"Date","Year","Quarter","FY","QFY","Month","I_ONI","I_7DAY","I_OVA"
2012-01-02,2012,"Q1","2011/12","Q3","January",27.2,30.75,30.42
2012-01-03,2012,"Q1","2011/12","Q3","January",26.62,30.96,28.32
2012-01-04,2012,"Q1","2011/12","Q3","January",28.14,30.59,29.48
2012-01-05,2012,"Q1","2011/12","Q3","January",26.8,28.26,27.46
2012-01-09,2012,"Q1","2011/12","Q3","January",29,29.25,29.24
2012-01-10,2012,"Q1","2011/12","Q3","January",26,25.6598360655738,26.2852112676056
2012-01-11,2012,"Q1","2011/12","Q3","January",24.4970930232558,27.3379120879121,25.9028571428571
2012-01-12,2012,"Q1","2011/12","Q3","January",23.3,25.7105263157895,24.4041379310345
2012-01-16,2012,"Q1","2011/12","Q3","January",24.5769230769231,29,25.9568607068607
2012-01-17,2012,"Q1","2011/12","Q3","January",24.125,27,25.7070460704607
2012-01-18,2012,"Q1","2011/12","Q3","January",27.3875,26.5239130434783,27.1154109589041
2012-01-19,2012,"Q1","2011/12","Q3","January",29.8620689655172,31.125,30.0540935672515
2012-01-20,2012,"Q1","2011/12","Q3","January",29.8620689655172,26.5048076923077,26.4280303030303
2012-01-23,2012,"Q1","2011/12","Q3","January",25.9186046511628,28.24,26.7720588235294
2012-01-24,2012,"Q1","2011/12","Q3","January",25.4,28.4474708171206,25.9376257545272
2012-01-25,2012,"Q1","2011/12","Q3","January",20.0508474576271,27.9316239316239,21.5034578146611
2012-01-27,2012,"Q1","2011/12","Q3","January",20.0508474576271,28.875,18.72
2012-01-30,2012,"Q1","2011/12","Q3","January",27,29.1910569105691,29.1388888888889
2012-01-31,2012,"Q1","2011/12","Q3","January",26.35,30.9659090909091,27.5820659062104
2012-02-01,2012,"Q1","2011/12","Q3","February",27.3687707641196,29.3333333333333,27.4620253164557
2012-02-02,2012,"Q1","2011/12","Q3","February",25.9166666666667,29.7777777777778,26.4066666666667
2012-02-03,2012,"Q1","2011/12","Q3","February",25.9166666666667,26.2352941176471,23.1969439728353
2012-02-06,2012,"Q1","2011/12","Q3","February",17.27,28.18,18.91
2012-02-07,2012,"Q1","2011/12","Q3","February",20.9333333333333,23.3981481481481,21.8697916666667
2012-02-08,2012,"Q1","2011/12","Q3","February",12.9285714285714,17.75,15.344262295082
2012-02-09,2012,"Q1","2011/12","Q3","February",5.22222222222222,16.1666666666667,6.91358024691358
2012-02-10,2012,"Q1","2011/12","Q3","February",5.22222222222222,16.1666666666667,9.17277486910995
2012-02-13,2012,"Q1","2011/12","Q3","February",14.2277992277992,21.9565217391304,16.6042780748663
2012-02-14,2012,"Q1","2011/12","Q3","February",15.3592814371258,23.1538461538462,17.5431034482759
2012-02-15,2012,"Q1","2011/12","Q3","February",16.5135135135135,23.225,20.3932038834951
2012-02-16,2012,"Q1","2011/12","Q3","February",19.9375,23.4666666666667,21.6451612903226
2012-02-17,2012,"Q1","2011/12","Q3","February",19.9375,22.5,19.7435897435897
2012-02-20,2012,"Q1","2011/12","Q3","February",18.375,24.1552062868369,22.3030707610147
2012-02-21,2012,"Q1","2011/12","Q3","February",20.4444444444444,25.1373626373626,23.5845588235294
2012-02-22,2012,"Q1","2011/12","Q3","February",20.61,22.8125,21.88
2012-02-23,2012,"Q1","2011/12","Q3","February",11.3389830508475,21.2777777777778,14.3328651685393
2012-02-24,2012,"Q1","2011/12","Q3","February",7.99133333333334,22.6666666666667,9.32545454545455
2012-02-27,2012,"Q1","2011/12","Q3","February",15.9393939393939,24.045,22.2908496732026
2012-02-28,2012,"Q1","2011/12","Q3","February",18.5,22.875,19.8125
2012-02-29,2012,"Q1","2011/12","Q3","February",17.1481481481481,22.625,18.3888888888889
2012-03-01,2012,"Q1","2011/12","Q3","March",17.1481481481481,22.62,23.03
2012-03-02,2012,"Q1","2011/12","Q3","March",17.1481481481481,21.5384615384615,19.6769230769231
2012-03-05,2012,"Q1","2011/12","Q3","March",21.3846153846154,24,22.5217391304348
2012-03-06,2012,"Q1","2011/12","Q3","March",22.4444444444444,25.3846153846154,20.9111111111111
2012-03-07,2012,"Q1","2011/12","Q3","March",22.4444444444444,25.8666666666667,23.9333333333333
2012-03-09,2012,"Q1","2011/12","Q3","March",22.4444444444444,26.25,21.5340909090909
2012-03-12,2012,"Q1","2011/12","Q3","March",24.333,27.8181818181818,26.5882352941176
2012-03-13,2012,"Q1","2011/12","Q3","March",25.53,26.33,25.72
2012-03-14,2012,"Q1","2011/12","Q3","March",26.3333333333333,26.33,26.2166666666667
2012-03-15,2012,"Q1","2011/12","Q3","March",26.0769230769231,27,26.5
2012-03-16,2012,"Q1","2011/12","Q3","March",26.0769230769231,27.875,24.635
2012-03-19,2012,"Q1","2011/12","Q3","March",25.1666666666667,27.1285714285714,26.6276595744681
2012-03-20,2012,"Q1","2011/12","Q3","March",22.9142857142857,25.4615384615385,24.0642673521851
2012-03-21,2012,"Q1","2011/12","Q3","March",18.68,23.3,20.1578947368421
2012-03-22,2012,"Q1","2011/12","Q3","March",17.5263157894737,21.3846153846154,18.4912280701754
2012-03-23,2012,"Q1","2011/12","Q3","March",17.5263157894737,18,8.92032967032967
2012-03-26,2012,"Q1","2011/12","Q3","March",23.5454545454545,27,25.08
2012-03-27,2012,"Q1","2011/12","Q3","March",22.9583333333333,24.3333333333333,23.4871794871795
2012-03-28,2012,"Q1","2011/12","Q3","March",22.3513513513513,24.0625,23.1917808219178
2012-03-29,2012,"Q1","2011/12","Q3","March",22.6181818181818,26.3055555555556,23.1936339522546
2012-03-30,2012,"Q1","2011/12","Q3","March",22.6181818181818,26.3055555555556,17.8482142857143
2012-04-02,2012,"Q2","2011/12","Q4","April",21.3333333333333,26.3055555555556,23.9131652661064
2012-04-03,2012,"Q2","2011/12","Q4","April",18,22.7333333333333,20.6171875
2012-04-04,2012,"Q2","2011/12","Q4","April",22.5483870967742,24.3636363636364,23.3508771929825
2012-04-05,2012,"Q2","2011/12","Q4","April",22.5483870967742,22.1844155844156,22.4454198473282
2012-04-10,2012,"Q2","2011/12","Q4","April",22.3684210526316,23.1764705882353,22.8867924528302
2012-04-11,2012,"Q2","2011/12","Q4","April",24.2698412698413,23.7142857142857,24.0617283950617
2012-04-12,2012,"Q2","2011/12","Q4","April",21.6,24,22.2814371257485
2012-04-13,2012,"Q2","2011/12","Q4","April",21.6,25,16.1875
2012-04-16,2012,"Q2","2011/12","Q4","April",20.4285714285714,21.9415204678363,21.0754257907543
2012-04-17,2012,"Q2","2011/12","Q4","April",21.5333333333333,22.1228209191759,22.0601983002833
2012-04-18,2012,"Q2","2011/12","Q4","April",17.3333333333333,20,19.1727748691099
2012-04-19,2012,"Q2","2011/12","Q4","April",17.04,22.3571428571429,19.3597122302158
2012-04-20,2012,"Q2","2011/12","Q4","April",17.04,19.1428571428571,14.8605200945627
2012-04-23,2012,"Q2","2011/12","Q4","April",19.5,23.595,22.956862745098
2012-04-24,2012,"Q2","2011/12","Q4","April",21.5,23.595,22.51
2012-04-25,2012,"Q2","2011/12","Q4","April",20.8666666666667,22.4225352112676,21.9644128113879
2012-04-26,2012,"Q2","2011/12","Q4","April",21.6428571428571,23,22.4378698224852
2012-04-27,2012,"Q2","2011/12","Q4","April",21.6428571428571,22.8888888888889,19.4705882352941
2012-04-30,2012,"Q2","2011/12","Q4","April",21.6428571428571,22.7861271676301,22.7274096385542
2012-05-02,2012,"Q2","2011/12","Q4","May",18.1739130434783,20.5833333333333,19.8513513513514
