"Date","Year","Quarter","FY","QFY","Month","NIIP","A","A_DI","A_DI_EIF","A_DI_EIF_DIDIE","A_DI_EIF_DIEDI","A_DI_EIF_BFE","A_DI_DBI","A_DI_DBI_DIDIE","A_DI_DBI_DIEDI","A_DI_DBI_BFE","A_PI","A_PI_EIF","A_PI_EIF_CBK","A_PI_EIF_ODC","A_PI_EIF_GOV","A_PI_EIF_OSE","A_PI_DBS","A_PI_DBS_CBK","A_PI_DBS_CBK_ST","A_PI_DBS_CBK_LT","A_PI_DBS_ODC","A_PI_DBS_ODC_ST","A_PI_DBS_ODC_LT","A_PI_DBS_GOV","A_PI_DBS_GOV_ST","A_PI_DBS_GOV_LT","A_PI_DBS_OSE","A_PI_DBS_OSE_ST","A_PI_DBS_OSE_LT","A_FDES","A_FDES_CBK","A_FDES_ODC","A_FDES_GOV","A_FDES_OSE","A_OI","A_OI_OE","A_OI_CAD","A_OI_CAD_CBK","A_OI_CAD_CBK_ST","A_OI_CAD_CBK_LT","A_OI_CAD_ODC","A_OI_CAD_ODC_ST","A_OI_CAD_ODC_LT","A_OI_CAD_GOV","A_OI_CAD_GOV_ST","A_OI_CAD_GOV_LT","A_OI_CAD_OSE","A_OI_CAD_OSE_ST","A_OI_CAD_OSE_LT","A_OI_LN","A_OI_LN_CBK","A_OI_LN_CBK_IMF","A_OI_LN_CBK_OST","A_OI_LN_CBK_OLT","A_OI_LN_ODC","A_OI_LN_ODC_ST","A_OI_LN_ODC_LT","A_OI_LN_GOV","A_OI_LN_GOV_IMF","A_OI_LN_GOV_OST","A_OI_LN_GOV_OLT","A_OI_LN_OSE","A_OI_LN_OSE_ST","A_OI_LN_OSE_LT","A_OI_IP","A_OI_IP_CBK","A_OI_IP_ODC","A_OI_IP_GOV","A_OI_IP_OSE","A_OI_TCA","A_OI_TCA_CBK","A_OI_TCA_CBK_ST","A_OI_TCA_CBK_LT","A_OI_TCA_ODC","A_OI_TCA_ODC_ST","A_OI_TCA_ODC_LT","A_OI_TCA_GOV","A_OI_TCA_GOV_ST","A_OI_TCA_GOV_LT","A_OI_TCA_OSE","A_OI_TCA_OSE_ST","A_OI_TCA_OSE_LT","A_OI_OAR","A_OI_OAR_CBK","A_OI_OAR_CBK_ST","A_OI_OAR_CBK_LT","A_OI_OAR_ODC","A_OI_OAR_ODC_ST","A_OI_OAR_ODC_LT","A_OI_OAR_GOV","A_OI_OAR_GOV_ST","A_OI_OAR_GOV_LT","A_OI_OAR_OSE","A_OI_OAR_OSE_ST","A_OI_OAR_OSE_LT","A_RA","A_RA_MG","A_RA_SDR","A_RA_IMF","A_RA_ORA","A_RA_ORA_CAD","A_RA_ORA_CAD_CMA","A_RA_ORA_CAD_COE","A_RA_ORA_SEC","A_RA_ORA_SEC_DBT","A_RA_ORA_SEC_DBT_ST","A_RA_ORA_SEC_DBT_LT","A_RA_ORA_SEC_EIF","A_RA_ORA_SEC_EIF_RCC","A_RA_ORA_FDR","A_RA_OCL","L","L_DI","L_DI_EIF","L_DI_EIF_DIDIE","L_DI_EIF_DIEDI","L_DI_EIF_BFE","L_DI_DBI","L_DI_DBI_DIDIE","L_DI_DBI_DIEDI","L_DI_DBI_BFE","L_PI","L_PI_EIF","L_PI_EIF_ODC","L_PI_EIF_OSE","L_PI_DBS","L_PI_DBS_CBK","L_PI_DBS_CBK_ST","L_PI_DBS_CBK_LT","L_PI_DBS_ODC","L_PI_DBS_ODC_ST","L_PI_DBS_ODC_LT","L_PI_DBS_GOV","L_PI_DBS_GOV_ST","L_PI_DBS_GOV_LT","L_PI_DBS_OSE","L_PI_DBS_OSE_ST","L_PI_DBS_OSE_LT","L_FDES","L_FDES_CBK","L_FDES_ODC","L_FDES_GOV","L_FDES_OSE","L_OI","L_OI_OE","L_OI_CAD","L_OI_CAD_CBK","L_OI_CAD_CBK_ST","L_OI_CAD_CBK_LT","L_OI_CAD_ODC","L_OI_CAD_ODC_ST","L_OI_CAD_ODC_LT","L_OI_CAD_GOV","L_OI_CAD_GOV_ST","L_OI_CAD_GOV_LT","L_OI_CAD_OSE","L_OI_CAD_OSE_ST","L_OI_CAD_OSE_LT","L_OI_LN","L_OI_LN_CBK","L_OI_LN_CBK_IMF","L_OI_LN_CBK_OST","L_OI_LN_CBK_OLT","L_OI_LN_ODC","L_OI_LN_ODC_ST","L_OI_LN_ODC_LT","L_OI_LN_GOV","L_OI_LN_GOV_IMF","L_OI_LN_GOV_OST","L_OI_LN_GOV_OLT","L_OI_LN_OSE","L_OI_LN_OSE_ST","L_OI_LN_OSE_LT","L_OI_IP","L_OI_IP_CBK","L_OI_IP_ODC","L_OI_IP_GOV","L_OI_IP_OSE","L_OI_TCA","L_OI_TCA_CBK","L_OI_TCA_CBK_ST","L_OI_TCA_CBK_LT","L_OI_TCA_ODC","L_OI_TCA_ODC_ST","L_OI_TCA_ODC_LT","L_OI_TCA_GOV","L_OI_TCA_GOV_ST","L_OI_TCA_GOV_LT","L_OI_TCA_OSE","L_OI_TCA_OSE_ST","L_OI_TCA_OSE_LT","L_OI_OAR","L_OI_OAR_CBK","L_OI_OAR_CBK_ST","L_OI_OAR_CBK_LT","L_OI_OAR_ODC","L_OI_OAR_ODC_ST","L_OI_OAR_ODC_LT","L_OI_OAR_GOV","L_OI_OAR_GOV_ST","L_OI_OAR_GOV_LT","L_OI_OAR_OSE","L_OI_OAR_OSE_ST","L_OI_OAR_OSE_LT","L_OI_SDR"
2011-10-01,2011,"Q4","2011/12","Q2","October",-8190.75197720465,3454.01397787315,54.218215273874,51.9846108853637,51.9846108853637,0,0,2.23360438851026,2.23360438851026,0,0,9.50783721376885,9.50783721376885,0,0.0274048450040301,0,9.48043236876482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382992557442966,0,0.0382992557442966,0,0,1028.44465198808,0,851.83282856446,166.498890748375,166.498890748375,0,389.333937816084,389.333937816084,0,0,0,0,296,296,0,176.611823423619,0,0,0,0,176.611823423619,,176.611823423619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361.80497414168,0,218.7099430152,0,2143.09503112648,2143.09503112648,,2143.09503112648,0,0,0,0,0,0,0,0,11644.7659550778,6469.53204279428,5234.25164551601,5234.25164551601,0,0,1235.28039727827,1235.28039727827,0,0,356.022036492509,179.160724254403,176.382540449188,2.77818380521554,176.861312238106,0,0,0,0,0,0,176.861312238106,121.601905892035,55.2594063460712,0,0,0,0.506132659722308,0,0.506132659722308,0,0,4818.70574313128,0,70.9148070339102,0,0,0,70.9148070339102,70.9148070339102,0,0,0,0,0,0,0,4229.09499955974,7.369296,7.369296,0,0,255.246659978001,0,255.246659978001,2989.68376500362,0,0,2989.68376500362,976.795278578116,114.65704026405,862.138238314066,0,0,0,0,0,112.934557817476,0,0,0,0,0,0,0,0,0,112.934557817476,112.934557817476,0,140.90995681616,0,0,0,0,0,0,0,0,0,140.90995681616,29.7126528316814,111.197303984478,264.851421904
2012-01-01,2012,"Q1","2011/12","Q3","January",-8449.98694580348,3876.49790463024,65.8024722921778,63.7362986901637,63.7362986901637,0,0,2.06617360201411,2.06617360201411,0,0,8.4569719579717,8.4569719579717,0,0.0274048450040301,0,8.42956711296767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139599322850738,,0.0139599322850738,,,1280.93234853551,0.4,1074.58778652887,321.424930170872,321.424930170872,,447.162856357995,447.162856357995,,0,,,306,306,,205.944562006639,0,,,,205.944562006639,,205.944562006639,0,,,,0,,,0,,,,0,0,0,,,0,,,0,,,0,,,0,0,,0,0,0,,0,,0,0,0,,2521.2921519123,,218.947443166802,,2302.34470874549,1400.20099393394,,1400.20099393394,752.662459970061,752.181200604342,,752.181200604342,0.481259365718461,,,149.481254841489,12326.4848504337,6837.50440796195,5499.34912873324,5499.34912873324,0,0,1338.1552792287,1338.1552792287,0,0,419.059506178474,221.653668258968,191.074659272998,30.5790089859698,197.405837919506,0,,,0,,,197.405837919506,140.862617526326,56.5432203931799,0,,,0.449345489453723,,0.449345489453723,,,5069.47159080385,8.9777228409338,75.599222399541,0,,,75.599222399541,75.599222399541,,0,,,0,,,4466.79741166938,6.506178,6.506178,,,337.927523049119,,337.927523049119,3108.79284031869,,,3108.79284031869,1013.57087030157,117.934209263309,895.636661038259,0,,,,,109.992247773077,0,,,0,,,0,,,109.992247773077,109.992247773077,,140.714770202717,0,,,0,,0,0,,,140.714770202717,29.7126528316814,111.002117371036,267.3902159182
2012-04-01,2012,"Q2","2011/12","Q4","April",-8775.62455167781,4216.79048951661,77.3867293104816,75.4879864949636,75.4879864949636,0,0,1.89874281551795,1.89874281551795,0,0,11.0237191435967,11.0237191435967,0,0.0274048450040301,0,10.9963142985927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037054001034331,,0.037054001034331,,,1484.56843476171,0.4,1337.58815840956,382.939603660611,382.939603660611,,675.648554748948,675.648554748948,,0,,,279,279,,146.580276352149,0,,,,146.580276352149,,146.580276352149,0,,,,0,,,0,,,,0,0,0,,,0,,,0,,,0,,,0,0,,0,0,0,,0,,0,0,0,,2643.77455229979,,214.001531457393,,2429.77302084239,1375.59116689677,,1375.59116689677,956.847221448737,956.235886190522,,956.235886190522,0.611335258214823,,,97.3346324968856,12992.4150411944,7283.49712118636,5874.0072046485,5874.0072046485,0,0,1409.48991653786,1409.48991653786,0,0,439.477619958206,208.40541113263,169.65,38.75541113263,231.072208825576,0,,,0,,,231.072208825576,181.64442506512,49.4277837604556,0,,,0.225511522497967,,0.225511522497967,,,5269.21478852735,19.8589719439214,55.3017973790225,0,,,55.3017973790225,55.3017973790225,,0,,,0,,,4685.90192849504,6.37371,6.37371,,,338.673449122539,,338.673449122539,3282.71086183836,,,3282.71086183836,1058.14390753414,121.906228990955,936.237678543184,0,,,,,106.249063340136,0,,,0,,,0,,,106.249063340136,106.249063340136,,140.478198613233,0,,,0,,0,0,,,140.478198613233,29.7126528316814,110.765545781551,261.424828756
2012-07-01,2012,"Q3","2012/13","Q1","July",-9045.73312658396,4375.81078545185,88.9709863287854,87.2396742997636,87.2396742997636,0,0,1.73131202902179,1.73131202902179,0,0,16.1817351634191,12.7615967655563,0,0.0274048450040301,0,12.7341919205523,3.42013839786285,0,0,0,0,0,0,0,0,0,3.42013839786285,0,3.42013839786285,0.331478941219696,0,0.331478941219696,0,0,1389.99361774245,0.4,1308.25136748303,362.555735773612,362.555735773612,0,602.69563170942,602.69563170942,0,0,0,0,343,343,0,81.3422502594199,0,0,0,0,81.3422502594199,0,81.3422502594199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880.33296727598,0,216.326998757281,0,2664.0059685187,1591.77788927069,0,1591.77788927069,1006.7687858653,1006.15254351894,0,1006.15254351894,0.616242346354448,0,0,65.4592933827068,13421.5439120358,7589.77654930389,6094.65938736927,6094.65938736927,0,0,1495.11716193462,1495.11716193462,0,0,364.293934362365,205.193934362365,165.87,39.3239343623655,159.1,0,0,0,0,0,0,159.1,100.2,58.9,0,0,0,0,0,0,0,0,5467.47342836955,27.3315217270171,41.3236366691028,0,0,0,41.3236366691028,41.3236366691028,0,0,0,0,0,0,0,4889.23087408621,5.551884,5.551884,0,0,390.856137258673,0,390.856137258673,3404.06901838595,0,0,3404.06901838595,1088.75383444159,124.633959499957,964.119874941628,0,0,0,0,0,102.793471246539,0,0,0,0,0,0,0,0,0,102.793471246539,102.793471246539,0,140.315736292688,0,0,0,0,0,0,0,0,0,140.315736292688,29.7126528316814,110.603083461007,266.478188348
2012-10-01,2012,"Q4","2012/13","Q2","October",-9260.72595923591,4367.28528823282,100.555243347089,98.9913621045636,98.9913621045636,0,0,1.56388124252563,1.56388124252563,0,0,18.4212740856913,15.1913285634063,0,0.0274048450040301,0,15.1639237184023,3.22994552228496,0,0,0,0,0,0,0,0,0,3.22994552228496,0,3.22994552228496,0.0893753976574769,0,0.0893753976574769,0,0,1296.33592653951,0.4,1265.18380847461,383.9021998,383.9021998,0,512.281608674612,512.281608674612,0,0,0,0,369,369,0,30.752118064893,0,0,0,0,30.752118064893,0,30.752118064893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2951.88346886288,0,216.705852226959,0,2735.17761663592,1511.08373246421,0,1511.08373246421,1114.2958301398,1113.67119068635,0,1113.67119068635,0.624639453452224,0,0,109.798054031907,13628.0112474687,7674.92053058802,6155.99946963125,6155.99946963125,0,0,1518.92106095677,1518.92106095677,0,0,335.381396254781,205.844154130021,162.39,43.4541541300208,129.53724212476,0,0,0,0,0,0,129.53724212476,57.6196670969303,71.91757502783,0,0,0,0,0,0,0,0,5617.70932062593,29.4088490969524,44.0930985914092,0,0,0,44.0930985914092,44.0930985914092,0,0,0,0,0,0,0,5038.82790319512,5.532912,5.532912,0,0,415.54233605704,0,415.54233605704,3520.4894308895,0,0,3520.4894308895,1097.26322424858,125.392253443609,971.870970804974,0,0,0,0,0,99.1291222740596,0,0,0,0,0,0,0,0,0,99.1291222740596,99.1291222740596,0,140.27057266918,0,0,0,0,0,0,0,0,0,140.27057266918,29.7126528316814,110.557919837499,265.9797747992
2013-01-01,2013,"Q1","2012/13","Q3","January",-9430.34157490447,4575.03773141623,111.649512723729,110.439416286954,110.439416286954,0,0,1.21009643677448,1.21009643677448,0,0,50.2685533496314,18.5694534512809,0,0.0274048450040301,0,18.5420486062769,31.6990998983505,0,0,0,0,0,0,0,0,0,31.6990998983505,0,31.6990998983505,0.00870433430482774,0,0.00870433430482774,0,0,1414.43116407997,0.4,1329.46640728841,419.669177435878,419.669177435878,0,506.797229852534,506.797229852534,0,0,0,0,403,403,0,84.5647567915592,0,0,0,0,84.5647567915592,0,84.5647567915592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2998.6797969286,0,210.055129757936,0,2788.62466717066,1360.36113125341,0,1360.36113125341,1397.66353591725,1397.0463697372,0,1397.0463697372,0.617166180046786,0,0,30.6,14005.3793063207,7948.92053058802,6368.04946963125,6368.04946963125,0,0,1580.87106095677,1580.87106095677,0,0,384.017585207609,194.854526814855,151.274907573074,43.5796192417807,189.163058392754,0,0,0,0,0,0,189.163058392754,90.2722649224276,98.8907934703269,0,0,0,0.591898212807559,0,0.591898212807559,0,0,5671.84929231226,30.4163329128298,39.2076726964397,0,0,0,39.2076726964397,39.2076726964397,0,0,0,0,0,0,0,5107.75992144136,4.49406,4.49406,0,0,462.085909411597,0,462.085909411597,3552.29595278118,0,0,3552.29595278118,1088.88399924858,125.622903443609,963.261095804974,0,0,0,0,0,95.2672233882495,0,0,0,0,0,0,0,0,0,95.2672233882495,95.2672233882495,0,140.27057266918,0,0,0,0,0,0,0,0,0,140.27057266918,29.7126528316814,110.557919837499,258.9275692042
2013-04-01,2013,"Q2","2012/13","Q4","April",-10010.5076356249,4596.24883351904,122.743782100368,121.887470469344,121.887470469344,0,0,0.85631163102333,0.85631163102333,0,0,86.6999525789928,20.2814189487389,0,0.0274048450040301,0,20.2540141037348,66.4185336302539,0,0,0,0,0,0,0,0,0,66.4185336302539,0,66.4185336302539,3.74316384135333e-05,0,3.74316384135333e-05,0,0,1475.08873353133,0.4,1424.6957443489,538.122668843546,538.122668843546,0,536.573075505351,536.573075505351,0,0,0,0,350,350,0,49.9929891824286,0,0,0,0,49.9929891824286,0,49.9929891824286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2911.71632787672,0,211.10888039684,0,2700.60744747988,2134.25542711051,0,2134.25542711051,360.350027804825,360.350027804825,0,360.350027804825,0,0,0,206.001992564546,14606.7564691439,8222.92053058802,6580.09946963125,6580.09946963125,0,0,1642.82106095677,1642.82106095677,0,0,416.875719247925,235.230046896869,194.022273852244,41.2077730446252,181.645672351056,0,0,0,0,0,0,181.645672351056,25.6078821462869,156.037790204769,0,0,0,0.117121077693426,0,0.117121077693426,0,0,5966.84309823029,31.4238167287073,50.4927496017468,0,0,0,50.4927496017468,50.4927496017468,0,0,0,0,0,0,0,5393.61329170032,4.51187999999999,4.51187999999999,0,0,485.709559254983,0,485.709559254983,3822.88707819675,0,0,3822.88707819675,1080.50477424858,125.853553443609,954.651220804974,0,0,0,0,0,90.8015709527445,0,0,0,0,0,0,0,0,0,90.8015709527445,90.8015709527445,0,140.27057266918,0,0,0,0,0,0,0,0,0,140.27057266918,29.7126528316814,110.557919837499,260.2410965776
2013-07-01,2013,"Q3","2013/14","Q1","July",-10445.8274175833,4678.79197143484,133.838051477007,133.335524651735,133.335524651735,0,0,0.502526825272177,0.502526825272177,0,0,172.207765820982,26.53245203537,0,0.0274048450040301,0,26.5050471903659,145.675313785613,0,0,0,0,0,0,0,0,0,145.675313785613,0,145.675313785613,0.0113236651119053,0,0.0113236651119053,0,0,1408.3404292591,0.4,1361.31984891367,405.196998037925,405.196998037925,0,549.122850875747,549.122850875747,0,0,0,0,407,407,0,46.6205803454266,0,0,0,0,46.6205803454266,0,46.6205803454266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2964.39440121264,0,214.233652910352,0,2750.16074830228,2409.14178346236,0,2409.14178346236,300.398328328446,300.398328328446,0,300.398328328446,0,0,0,40.6206365114817,15124.6193890182,8496.92053058802,6792.14946963125,6792.14946963125,0,0,1704.77106095677,1704.77106095677,0,0,457.777967198884,245.768045137502,184.074362123504,61.693683013998,212.009922061381,0,0,0,0,0,0,212.009922061381,25.7770890749134,186.232832986468,0,0,0,0.377445254833156,0,0.377445254833156,0,0,6169.54344597642,32.4313005445847,56.5494127094744,0,0,0,56.5494127094744,56.5494127094744,0,0,0,0,0,0,0,5589.13031021346,3.681792,3.681792,0,0,542.29049107467,0,542.29049107467,3971.03247789021,0,0,3971.03247789021,1072.12554924858,126.084203443609,946.041345804974,0,0,0,0,0,85.9245035559132,0,0,0,0,0,0,0,0,0,85.9245035559132,85.9245035559132,0,140.27057266918,0,0,0,0,0,0,0,0,0,140.27057266918,29.7126528316814,110.557919837499,265.2373462838
2013-10-01,2013,"Q4","2013/14","Q2","October",-10544.9550293867,5169.45547505901,144.932320853646,144.783578834125,144.783578834125,0,0,0.148742019521025,0.148742019521025,0,0,212.684842723631,33.4480192346476,0,0.0274048450040301,0,33.4206143896436,179.236823488984,0,0,0,0,0,0,0,0,0,179.236823488984,0,179.236823488984,0.101671278663345,0,0.101671278663345,0,0,1689.91541884496,0.4,1633.4146122241,509.743503763456,509.743503763456,0,596.671108460645,596.671108460645,0,0,0,0,527,527,0,56.1008066208578,0,0,0,0,56.1008066208578,0,56.1008066208578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3121.82122135811,0,215.489276551708,0,2906.3319448064,2468.87062155905,0,2468.87062155905,301.661080403427,301.661080403427,0,301.661080403427,0,0,0,135.800242843927,15714.4105044457,8770.92053058802,7004.19946963125,7004.19946963125,0,0,1766.72106095677,1766.72106095677,0,0,535.904960722151,274.654701200145,193.896225756819,80.7584754433252,261.250259522007,0,0,0,0,0,0,261.250259522007,54.7826875833417,206.467571938665,0,0,0,0.194093595683686,0,0.194093595683686,0,0,6407.39091953986,33.4387843604621,107.181615646221,0,0,0,107.181615646221,107.181615646221,0,0,0,0,0,0,0,5779.93944216214,3.696,3.696,0,0,609.909737539721,0,609.909737539721,4102.58738037384,0,0,4102.58738037384,1063.74632424858,126.314853443609,937.431470804974,0,0,0,0,0,80.0477043018541,0,0,0,0,0,0,0,0,0,80.0477043018541,80.0477043018541,0,140.27057266918,0,0,0,0,0,0,0,0,0,140.27057266918,29.7126528316814,110.557919837499,266.5128004
2014-01-01,2014,"Q1","2013/14","Q3","January",-11437.7990630627,5253.88962042979,151.68689519163,144.928398903103,144.928398903103,0,0,6.75849628852786,2.54730304539046,0,4.2111932431374,248.043668311689,38.3152930907769,0,0.0274048450040301,0,38.2878882457729,209.728375220912,0,0,0,0,0,0,0,0,0,209.728375220912,0,209.728375220912,0.0134292401426892,0,0.0134292401426892,0,0,1526.72788906717,0.4,1440.51142564499,473.900775560236,473.900775560236,0,528.610650084757,528.610650084757,0,0,0,0,438,438,0,85.8164634221807,0,0,0,0,85.8164634221807,0,85.8164634221807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3327.41773861915,0,214.826140588681,0,3112.59159803047,2748.16429675343,0,2748.16429675343,300.327584903968,300.327584903968,0,300.327584903968,0,0,0,64.0997163730743,16691.6886834925,9035.56166567474,7189.55663229164,7189.55112345339,0,0.00550883824531923,1846.0050333831,1846.0050333831,0,0,1162.11038833454,792.082439896356,702.612407334955,89.4700325614008,370.027948438184,0,0,0,0,0,0,370.027948438184,75.0203026330662,295.007645805117,0,0,0,0.0223473930995129,0,0.0223473930995129,0,0,6493.99428209013,33.5937703214425,128.149092894432,0,0,0,128.149092894432,128.149092894432,0,0,0,0,0,0,0,5848.10766853274,2.77875,2.77875,0,0,610.331591693148,0,610.331591693148,4172.55644786292,0,0,4172.55644786292,1062.44087897667,126.128243329598,936.312635647072,0,0,0,0,0,76.7114012973406,0,0,0,0,0,0,0,0,0,76.7114012973406,76.7114012973406,0,140.27057266918,0,0,0,0,0,0,0,0,0,140.27057266918,29.7126528316814,110.557919837499,267.161776375
