"Date","Year","Quarter","FY","QFY","Month","NIIP","A","A_DI","A_DI_EIF","A_DI_EIF_DIDIE","A_DI_EIF_DIEDI","A_DI_EIF_BFE","A_DI_DBI","A_DI_DBI_DIDIE","A_DI_DBI_DIEDI","A_DI_DBI_BFE","A_PI","A_PI_EIF","A_PI_EIF_CBK","A_PI_EIF_ODC","A_PI_EIF_GOV","A_PI_EIF_OSE","A_PI_DBS","A_PI_DBS_CBK","A_PI_DBS_CBK_ST","A_PI_DBS_CBK_LT","A_PI_DBS_ODC","A_PI_DBS_ODC_ST","A_PI_DBS_ODC_LT","A_PI_DBS_GOV","A_PI_DBS_GOV_ST","A_PI_DBS_GOV_LT","A_PI_DBS_OSE","A_PI_DBS_OSE_ST","A_PI_DBS_OSE_LT","A_FDES","A_FDES_CBK","A_FDES_ODC","A_FDES_GOV","A_FDES_OSE","A_OI","A_OI_OE","A_OI_CAD","A_OI_CAD_CBK","A_OI_CAD_CBK_ST","A_OI_CAD_CBK_LT","A_OI_CAD_ODC","A_OI_CAD_ODC_ST","A_OI_CAD_ODC_LT","A_OI_CAD_GOV","A_OI_CAD_GOV_ST","A_OI_CAD_GOV_LT","A_OI_CAD_OSE","A_OI_CAD_OSE_ST","A_OI_CAD_OSE_LT","A_OI_LN","A_OI_LN_CBK","A_OI_LN_CBK_IMF","A_OI_LN_CBK_OST","A_OI_LN_CBK_OLT","A_OI_LN_ODC","A_OI_LN_ODC_ST","A_OI_LN_ODC_LT","A_OI_LN_GOV","A_OI_LN_GOV_IMF","A_OI_LN_GOV_OST","A_OI_LN_GOV_OLT","A_OI_LN_OSE","A_OI_LN_OSE_ST","A_OI_LN_OSE_LT","A_OI_IP","A_OI_IP_CBK","A_OI_IP_ODC","A_OI_IP_GOV","A_OI_IP_OSE","A_OI_TCA","A_OI_TCA_CBK","A_OI_TCA_CBK_ST","A_OI_TCA_CBK_LT","A_OI_TCA_ODC","A_OI_TCA_ODC_ST","A_OI_TCA_ODC_LT","A_OI_TCA_GOV","A_OI_TCA_GOV_ST","A_OI_TCA_GOV_LT","A_OI_TCA_OSE","A_OI_TCA_OSE_ST","A_OI_TCA_OSE_LT","A_OI_OAR","A_OI_OAR_CBK","A_OI_OAR_CBK_ST","A_OI_OAR_CBK_LT","A_OI_OAR_ODC","A_OI_OAR_ODC_ST","A_OI_OAR_ODC_LT","A_OI_OAR_GOV","A_OI_OAR_GOV_ST","A_OI_OAR_GOV_LT","A_OI_OAR_OSE","A_OI_OAR_OSE_ST","A_OI_OAR_OSE_LT","A_RA","A_RA_MG","A_RA_SDR","A_RA_IMF","A_RA_ORA","A_RA_ORA_CAD","A_RA_ORA_CAD_CMA","A_RA_ORA_CAD_COE","A_RA_ORA_SEC","A_RA_ORA_SEC_DBT","A_RA_ORA_SEC_DBT_ST","A_RA_ORA_SEC_DBT_LT","A_RA_ORA_SEC_EIF","A_RA_ORA_SEC_EIF_RCC","A_RA_ORA_FDR","A_RA_OCL","L","L_DI","L_DI_EIF","L_DI_EIF_DIDIE","L_DI_EIF_DIEDI","L_DI_EIF_BFE","L_DI_DBI","L_DI_DBI_DIDIE","L_DI_DBI_DIEDI","L_DI_DBI_BFE","L_PI","L_PI_EIF","L_PI_EIF_ODC","L_PI_EIF_OSE","L_PI_DBS","L_PI_DBS_CBK","L_PI_DBS_CBK_ST","L_PI_DBS_CBK_LT","L_PI_DBS_ODC","L_PI_DBS_ODC_ST","L_PI_DBS_ODC_LT","L_PI_DBS_GOV","L_PI_DBS_GOV_ST","L_PI_DBS_GOV_LT","L_PI_DBS_OSE","L_PI_DBS_OSE_ST","L_PI_DBS_OSE_LT","L_FDES","L_FDES_CBK","L_FDES_ODC","L_FDES_GOV","L_FDES_OSE","L_OI","L_OI_OE","L_OI_CAD","L_OI_CAD_CBK","L_OI_CAD_CBK_ST","L_OI_CAD_CBK_LT","L_OI_CAD_ODC","L_OI_CAD_ODC_ST","L_OI_CAD_ODC_LT","L_OI_CAD_GOV","L_OI_CAD_GOV_ST","L_OI_CAD_GOV_LT","L_OI_CAD_OSE","L_OI_CAD_OSE_ST","L_OI_CAD_OSE_LT","L_OI_LN","L_OI_LN_CBK","L_OI_LN_CBK_IMF","L_OI_LN_CBK_OST","L_OI_LN_CBK_OLT","L_OI_LN_ODC","L_OI_LN_ODC_ST","L_OI_LN_ODC_LT","L_OI_LN_GOV","L_OI_LN_GOV_IMF","L_OI_LN_GOV_OST","L_OI_LN_GOV_OLT","L_OI_LN_OSE","L_OI_LN_OSE_ST","L_OI_LN_OSE_LT","L_OI_IP","L_OI_IP_CBK","L_OI_IP_ODC","L_OI_IP_GOV","L_OI_IP_OSE","L_OI_TCA","L_OI_TCA_CBK","L_OI_TCA_CBK_ST","L_OI_TCA_CBK_LT","L_OI_TCA_ODC","L_OI_TCA_ODC_ST","L_OI_TCA_ODC_LT","L_OI_TCA_GOV","L_OI_TCA_GOV_ST","L_OI_TCA_GOV_LT","L_OI_TCA_OSE","L_OI_TCA_OSE_ST","L_OI_TCA_OSE_LT","L_OI_OAR","L_OI_OAR_CBK","L_OI_OAR_CBK_ST","L_OI_OAR_CBK_LT","L_OI_OAR_ODC","L_OI_OAR_ODC_ST","L_OI_OAR_ODC_LT","L_OI_OAR_GOV","L_OI_OAR_GOV_ST","L_OI_OAR_GOV_LT","L_OI_OAR_OSE","L_OI_OAR_OSE_ST","L_OI_OAR_OSE_LT","L_OI_SDR"
1999-01-01,1999,"Q1","1998/99","Q3","January",-3850.07104822754,960.649717138987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382992557442966,0,0,199.828025816047,0,199.828025816047,0,0,0,199.828025816047,199.828025816047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760.82169132294,0,0,0,760.82169132294,760.82169132294,0,760.82169132294,0,0,0,0,0,0,0,0,4810.72076536653,666.852948715,451.300055,451.300055,0,0,215.552893715,215.552893715,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143.86781665153,0,31.4281161190938,0,0,0,31.4281161190938,31.4281161190938,0,0,0,0,0,0,0,4069.36523425,371.7,371.7,0,0,0,0,0,3580,0,0,3580,117.66523425,0,117.66523425,0,0,0,0,0,37.23,0,0,0,0,0,0,0,0,0,37.23,37.23,0,5.84446628243606,0,0,0,5.84446628243606,0,5.84446628243606,0,0,0,0,0,0,0
2000-01-01,2000,"Q1","1999/00","Q3","January",-3356.20502997607,1070.11439536305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382992557442966,0,0,265.597618131184,0,265.597618131184,0,0,0,265.597618131184,265.597618131184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804.51677723187,0,0,0,804.51677723187,804.51677723187,0,804.51677723187,0,0,0,0,0,0,0,0,4426.31942533912,807.1,539.9,539.9,0,0,267.2,267.2,0,0,0.24865627433234,0.24865627433234,0,0.24865627433234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3618.97076906479,0,51.0758032014853,0,0,0,51.0758032014853,51.0758032014853,0,0,0,0,0,0,0,3528.49816734,315.56154634,315.56154634,0,0,0,0,0,3088.736621,0,0,3088.736621,124.2,0.8,123.4,0,0,0,0,0,32.0111938863625,0,0,0,0,0,0,0,0,0,32.0111938863625,32.0111938863625,0,7.38560463694613,0,0,0,7.38560463694613,0,7.38560463694613,0,0,0,0,0,0,0
2001-01-01,2001,"Q1","2000/01","Q3","January",-3571.66500279456,1230.05956119023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382992557442966,0,0,248.60112654857,0,248.60112654857,0,0,0,248.60112654857,248.60112654857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981.458434641658,0,0,0,981.458434641658,981.458434641658,0,981.458434641658,0,0,0,0,0,0,0,0,4801.72456398479,962.3,700.3,700.3,0,0,262,262,0,0,0.24865627433234,0.24865627433234,0,0.24865627433234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3839.17590771046,0,15.2945629269422,0,0,0,15.2945629269422,15.2945629269422,0,0,0,0,0,0,0,3802.60842798156,275.14282665,275.14282665,0,0,33.3297074215584,0,33.3297074215584,3378.93589391,0,0,3378.93589391,115.2,0.9,114.3,0,0,0,0,0,21.2729168019588,0,0,0,0,0,0,0,0,0,21.2729168019588,21.2729168019588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-01,2002,"Q1","2001/02","Q3","January",-4149.17093624662,1171.1358377169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382992557442966,0,0,240.08,0,240.08,0,0,0,240.08,240.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931.055837716895,0,0,0,931.055837716895,931.055837716895,0,931.055837716895,0,0,0,0,0,0,0,0,5320.30677396352,1146.9480591975,842.0480591975,842.0480591975,0,0,304.9,304.9,0,0,0.66417423039781,0.66417423039781,0.41551795606547,0.24865627433234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4172.69454053562,0,16.27,0,0,0,16.27,16.27,0,0,0,0,0,0,0,4145.68369836,274.91681976,274.91681976,0,0,39.84,0,39.84,3686.5268786,0,0,3686.5268786,144.4,4.5,139.9,0,0,0,0,0,10.7408421756195,0,0,0,0,0,0,0,0,0,10.7408421756195,10.7408421756195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-01-01,2003,"Q1","2002/03","Q3","January",-4264.04768925577,1839.69681765289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382992557442966,0,0,764.23,0,763.73,26,26,0,361.73,361.73,0,0,0,0,376,376,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075.46681765289,0,0,0,1075.46681765289,1075.46681765289,0,1075.46681765289,0,0,0,0,0,0,0,0,6103.74450690866,1349.140652816,996.040652816,996.040652816,0,0,353.1,353.1,0,0,16.8570656900134,0.66417423039781,0.41551795606547,0.24865627433234,16.1928914596156,0,0,0,0,0,0,16.1928914596156,16.1928914596156,0,0,0,0,0,0,0,0,0,4737.74678840265,0,21.49,0,0,0,21.49,21.49,0,0,0,0,0,0,0,4702.20174042,235.12104941,235.12104941,0,0,29.31,0,29.31,4250.47069101,0,0,4250.47069101,187.3,15.1,172.2,0,0,0,0,0,14.0550479826499,0,0,0,0,0,0,0,0,0,14.0550479826499,14.0550479826499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-01,2004,"Q1","2003/04","Q3","January",-4857.81254813493,2069.16440886064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382992557442966,0,0,761.73332738657,0,759.68451744057,13.4745174405703,13.4745174405703,0,410.21,410.21,0,0,0,0,336,336,0,0.98,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.068809946,0.667339946,0,0.667339946,0,0,0,0.40147,0,0.40147,0,0,0,1307.43108147407,0,0,0,1307.43108147407,1307.43108147407,0,1307.43108147407,0,0,0,0,0,0,0,0,6926.97695699557,1644.55713261669,1301.892180866,1301.892180866,0,0,342.664951750692,342.664951750692,0,0,29.0732691968751,24.6433168446816,24.3864010036889,0.25691584099268,4.42995235219344,0,0,0,0,0,0,4.42995235219344,4.42995235219344,0,0,0,0,0,0,0,0,0,5253.346555182,0,36.89,0,0,0,36.89,36.89,0,0,0,0,0,0,0,5187.08229173427,191.5,191.5,0,0,29.67,0,29.67,4753.78556519,0,0,4753.78556519,212.126726544276,25.036651669784,187.090074874492,0,0,0,0,0,27.0097557886482,0,0,0,0,0,0,0,0,0,27.0097557886482,27.0097557886482,0,2.36450765908006,2.36450765908006,2.36450765908006,0,0,0,0,0,0,0,0,0,0,0
2005-01-01,2005,"Q1","2004/05","Q3","January",-4880.27231931533,2013.658809946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382992557442966,0,0,669.418809946,0,658.38,9.82000000000016,9.82000000000016,0,339.56,339.56,0,0,0,0,309,309,0,9.97,0,0,0,0,9.97,0,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.068809946,0.667339946,0,0.667339946,0,0,0,0.40147,0,0.40147,0,0,0,1344.24,0,1.14,0,1343.1,1343.1,0,1343.1,0,0,0,0,0,0,0,0,6893.93112926133,2024.36547328375,1683.1224064645,1683.1224064645,0,0,341.243066819253,341.243066819253,0,0,32.767415509132,24.6433168446816,24.3864010036889,0.25691584099268,8.12409866445038,0,0,0,0,0,0,8.12409866445038,8.12409866445038,0,0,0,0,0,0,0,0,0,4836.79824046845,0,38.57,0,0,0,38.57,38.57,0,0,0,0,0,0,0,4751.86752999805,131.1,131.1,0,0,26.28,0,26.28,4347.1126543949,0,0,4347.1126543949,247.374875603148,35.2348007286566,212.140074874492,0,0,0,0,0,43.5307104703979,0,0,0,0,0,0,0,0,0,43.5307104703979,43.5307104703979,0,1.69,1.69,1.69,0,0,0,0,0,0,0,0,0,0,1.14
2006-01-01,2006,"Q1","2005/06","Q3","January",-1708.91630537176,2617.04877990077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382992557442966,0,0,806.136600946,0,799.077791,65.0177910000001,65.0177910000001,0,470.06,470.06,0,0,0,0,264,264,0,5.99,0,0,0,0,5.99,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.068809946,0.667339946,0,0.667339946,0,0,0,0.40147,0,0.40147,0,0,0,1810.91217895477,0,0.1194041103914,0,1810.79277484438,1810.79277484438,0,1810.79277484438,0,0,0,0,0,0,0,0,4325.96508527253,2668.62797323026,2322.88480096198,2322.88480096198,0,0,345.743172268288,345.743172268288,0,0,51.6110846827926,43.7694441301465,43.5125282891538,0.25691584099268,7.84164055264609,0,0,0,0,0,0,7.84164055264609,7.84164055264609,0,0,0,0,0,0,0,0,0,1605.72602735948,0,44.92,0,0,0,44.92,44.92,0,0,0,0,0,0,0,1497.52769404722,9,9,0,0,65.01,0,65.01,1131.10256280567,0,0,1131.10256280567,292.415131241554,48.4455464915799,243.969584749975,0,0,0,0,0,61.3947305082522,0,0,0,0,0,0,0,0,0,61.3947305082522,61.3947305082522,0,1.76419869360989,1.76419869360989,1.76419869360989,0,0,0,0,0,0,0,0,0,0,0.1194041103914
2007-01-01,2007,"Q1","2006/07","Q3","January",-2434.37027333817,3398.52932391448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382992557442966,0,0,967.67,0,960.89,140.03,140.03,0,541.86,541.86,0,0,0,0,279,279,0,6.78,0,0,0,0,6.78,0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430.85932391448,0,0.262427162501326,0,2430.59689675198,2430.59689675198,0,2430.59689675198,0,0,0,0,0,0,0,0,5832.89959725265,3460.93375412151,3065.02305600379,3065.02305600379,0,0,395.910698117712,395.910698117712,0,0,148.293743400724,69.9768765414031,69.5940678257287,0.382808715674431,78.3168668593211,0,0,0,0,0,0,78.3168668593211,53.1400161470301,25.176850712291,0,0,0,0,0,0,0,0,2223.67209973042,0,66.29,0,0,0,66.29,66.29,0,0,0,0,0,0,0,2071.99957932942,9.5,9.5,0,0,124.61,0,124.61,1590.28091737,0,0,1590.28091737,347.60866195942,62.6548357541521,284.953826205267,0,0,0,0,0,83.7396488042657,0,0,0,0,0,0,0,0,0,83.7396488042657,83.7396488042657,0,1.38044443423239,1.38044443423239,1.38044443423239,0,0,0,0,0,0,0,0,0,0,0.262427162501326
2008-01-01,2008,"Q1","2007/08","Q3","January",-3829.4539847663,3084.96558236773,0,0,0,0,0,0,0,0,0,12.0639494227989,12.0639494227989,0,0,0,12.0639494227989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382992557442966,0,0,872.17486107953,0,870.89486107953,112.53486107953,112.53486107953,0,503.36,503.36,0,0,0,0,255,255,0,1.28,0,0,0,0,1.28,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200.7267718654,0,0.206812015309002,0,2200.51995985009,2200.51995985009,0,2200.51995985009,0,0,0,0,0,0,0,0,6914.41956713403,4189.79465477392,3642.66072649564,3642.66072649564,0,0,547.133928278273,547.133928278273,0,0,128.902734555557,37.580186852933,33.3354711417109,4.24471571122215,91.3225477026237,0,0,0,0,0,0,91.3225477026237,52.1118052401523,39.2107424624714,0,0,0,0,0,0,0,0,2595.72217780456,0,33.9,0,0,0,33.9,33.9,0,0,0,0,0,0,0,2438.38609821354,9.2,9.2,0,0,204.43,0,204.43,1818.64381898103,0,0,1818.64381898103,406.112279232509,77.5730925098641,328.539186722644,0,0,0,0,0,108.888780676118,0,0,0,0,0,0,0,0,0,108.888780676118,108.888780676118,0,14.3404868995929,1.20208680368155,1.20208680368155,0,0,0,0,0,0,0,13.1384000959114,13.1384000959114,0,0.206812015309002
