"Date","Year","Quarter","FY","QFY","Month","IM","IM_C","IM_C_GOV","IM_C_GOV_PRO","IM_C_GOV_NPRO","IM_C_FPS","IM_C_FPS_OIL","IM_C_FPS_NOIL","IM_C_PS_OTH","IM_C_PS","IM_F","IM_F_GOV","IM_F_GOV_PRO","IM_F_GOV_NPRO","IM_F_PS","IM_F_PS_OIL","IM_F_PS_NOIL","IM_F_PS_FX","IM_I","IM_I_GOV","IM_I_GOV_PRO","IM_I_GOV_NPRO","IM_I_PS","IM_I_PS_OIL","IM_I_PS_NOIL","IM_I_PS_FX","IM_NOIL_P_IX","IM_NOIL_VAL_IX","IM_NOIL_VOL_IX","IM_OIL_P_IX","IM_OIL_VAL_IX","IM_OIL_VOL_IX","IM_P_IX","IM_VAL_IX","IM_VOL_IX"
1993-07-01,1993,"Q3","1993/94","Q1","July",53.7350505,44.8687671675,12.8034725,11.8674375,0.936035,21.6724083,5.97478906,15.69761924,10.3928863675,1.963940875,8.060257575,2.300025,2.131875,0.16815,5.760232575,1.0733154,4.686917175,0.35280375,0.8060257575,0.2300025,0.2131875,0.016815,0.5760232575,0.10733154,0.4686917175,0.035280375,111.024931362918,41.9005309310508,37.7397494568912,68.6229015968336,60.073196055653,87.541031722309,105.783732027952,55.7630254509555,52.7141786189022
1993-08-01,1993,"Q3","1993/94","Q1","August",44.2006019715,36.9075026462025,12.3099875,11.8674375,0.44255,12.82489526,3.862829405,8.962065855,11.7726198862025,1.58253041,6.630090295725,2.211375,2.131875,0.0795,4.418715295725,0.69392145,3.724793845725,0.2842869,0.6630090295725,0.2211375,0.2131875,0.00795,0.4418715295725,0.069392145,0.3724793845725,0.02842869,111.106672709247,23.9218006133484,21.5304806003406,68.4181793366999,38.8386110113328,56.7665076561012,105.830064388627,45.8687443251646,43.3418845487293
1993-09-01,1993,"Q3","1993/94","Q1","September",44.5936485,37.2356964975,12.0427875,11.8674375,0.17535,16.87849461,3.53155568,13.34693893,8.3144143875,7.1977,6.689047275,2.163375,2.131875,0.0315,4.525672275,0.6344112,3.891261075,1.293,0.6689047275,0.2163375,0.2131875,0.00315,0.4525672275,0.06344112,0.3891261075,0.1293,111.569873671777,35.6260283117499,31.9315843419854,65.4701787907739,35.5078371161935,54.2351308214196,105.87161602974,46.2766245331148,43.7101333374522
1993-10-01,1993,"Q4","1993/94","Q2","October",48.345524445,40.368512911575,12.2264875,11.8674375,0.35905,22.284469145,3.591324145,18.693145,5.857556266575,9.67765,7.25182866675,2.196375,2.131875,0.0645,5.05545366675,0.64514805,4.41030561675,1.7385,0.725182866675,0.2196375,0.2131875,0.00645,0.505545366675,0.064514805,0.441030561675,0.17385,111.2529998107,49.8962733326635,44.8493734259421,67.8040125562986,36.108775940951,53.2546298951989,105.882388914028,50.1700972639139,47.3828535401196
1993-11-01,1993,"Q4","1993/94","Q2","November",53.89362655,45.00117816925,13.9966875,11.8674375,2.12925,23.571905545,4.191555545,19.38035,7.43258512425,20.87166,8.0840439825,2.514375,2.131875,0.3825,5.5696689825,0.75297405,4.8166949325,3.7494,0.80840439825,0.2514375,0.2131875,0.03825,0.55696689825,0.075297405,0.48166949325,0.37494,110.495126340417,51.7305804284236,46.8170698036493,61.7442336563396,42.1437703497677,68.2553946403068,104.469161363638,55.9275862028257,53.5350197826823
1993-12-01,1993,"Q4","1993/94","Q2","December",66.49729265,55.52523936275,12.1262875,11.8674375,0.25885,25.66544176,2.60608176,23.05936,17.73351010275,22.3542025,9.9745938975,2.178375,2.131875,0.0465,7.7962188975,0.4681584,7.3280604975,4.015725,0.99745938975,0.2178375,0.2131875,0.00465,0.77962188975,0.04681584,0.73280604975,0.4015725,111.073370679261,61.550698367572,55.4144508185563,55.5206769482735,26.2027092393353,47.1945060463642,104.206653613011,69.0069179791985,66.2212206098349
1994-01-01,1994,"Q1","1993/94","Q3","January",59.0776538465,49.3298409618275,13.7537025,11.8674375,1.886265,22.28782,2.479115,19.808705,13.2883184618275,19.3219,8.861648076975,2.470725,2.131875,0.33885,6.390923076975,0.44535,5.945573076975,3.471,0.8861648076975,0.2470725,0.2131875,0.033885,0.6390923076975,0.044535,0.5945573076975,0.3471,111.117773385909,52.8739577554284,47.5837088381879,58.223010782039,24.9261287626965,42.8114733812183,104.579595942235,61.3072600541265,58.6225826383854
1994-02-01,1994,"Q1","1993/94","Q3","February",63.703454856,53.19238480476,12.5521375,11.8674375,0.6847,25.870805,5.055925,20.81488,14.76944230476,23.84259,9.5555182284,2.254875,2.131875,0.123,7.3006432284,0.90825,6.3923932284,4.2831,0.95555182284,0.2254875,0.2131875,0.0123,0.73006432284,0.090825,0.63923932284,0.42831,111.330704547333,55.5596686307515,49.905072330814,56.2986215367818,50.834526661545,90.2944428725189,104.52833875334,66.1076400114098,63.2437488243326
1994-03-01,1994,"Q1","1993/94","Q3","March",61.2940645,51.1805438575,12.8777875,11.8674375,1.01035,27.6218,3.76585,23.85595,10.6809563575,25.29215,9.194109675,2.313375,2.131875,0.1815,6.880734675,0.6765,6.204234675,4.5435,0.9194109675,0.2313375,0.2131875,0.01815,0.6880734675,0.06765,0.6204234675,0.45435,112.638566088593,63.6769790107739,56.5321285790252,56.8308994131295,37.8635367867164,66.6249121124571,105.740332511591,63.6073186291322,60.1542638634692
1994-04-01,1994,"Q2","1993/94","Q4","April",67.0540101965,55.9900985140775,12.9028375,11.8674375,1.0354,29.93475,3.9412,25.99355,13.1525110140775,26.4695,10.058101529475,2.317875,2.131875,0.186,7.740226529475,0.708,7.032226529475,4.755,1.0058101529475,0.2317875,0.2131875,0.0186,0.7740226529475,0.0708,0.7032226529475,0.4755,114.60742246745,69.3827216172696,60.5394660515772,62.0308448205268,39.6265839541689,63.8820639454775,108.108574999109,69.5846461924524,64.3655197499607
