"Date","Year","Quarter","FY","QFY","Month","IM_ASI","IM_IND","IM_CHN","IM_JPN","IM_MYS","IM_KOR","IM_SGP","IM_IDN","IM_THA","IM_HKG","IM_RUS","IM_PAK","IM_TWN","IM_VNM","IM_BGD","IM_LKA","IM_GEO","IM_PHL","IM_PRK","IM_ASI_OTH","IM_EUU","IM_DEU","IM_GBR","IM_NLD","IM_ITA","IM_FRA","IM_BEL","IM_SWE","IM_DNK","IM_IRL","IM_ESP","IM_FIN","IM_AUT","IM_HUN","IM_POL","IM_CZE","IM_MLT","IM_ROU","IM_BGR","IM_SVK","IM_LUX","IM_CYP","IM_PRT","IM_GRC","IM_LTU","IM_EST","IM_EUU_OTH","IM_MIE","IM_ARE","IM_KWT","IM_SAU","IM_LBN","IM_BHR","IM_QAT","IM_ISR","IM_IRN","IM_SYR","IM_JOR","IM_IRQ","IM_OMN","IM_MIE_OTH","IM_COM","IM_KEN","IM_EGY","IM_SWZ","IM_COD","IM_MUS","IM_RWA","IM_MWI","IM_SDN","IM_BDI","IM_ZWE","IM_ETH","IM_NAM","IM_ZMB","IM_ERI","IM_SSD","IM_COM_OTH","IM_ROA","IM_ZAF","IM_TZA","IM_CIV","IM_GHA","IM_LBR","IM_NGA","IM_BEN","IM_GAB","IM_BWA","IM_MLI","IM_CMR","IM_BFA","IM_SEN","IM_NER","IM_SLE","IM_TGO","IM_TUN","IM_ROA_OTH","IM_ROE","IM_UKR","IM_TUR","IM_CHE","IM_NOR","IM_SRB","IM_HRV","IM_MDA","IM_ROE_OTH","IM_UCL","IM_USA","IM_BRA","IM_CAN","IM_AUS","IM_CHL","IM_PER","IM_JAM","IM_COL","IM_MEX","IM_PAN","IM_VGB","IM_ARG","IM_DOM","IM_NZL","IM_URY","IM_CUB","IM_LIE","IM_UCL_OTH","IM"
1998-07-01,1998,"Q3","1998/99","Q1","July",20.729,6.248,2.134,4.278,3.432,0.577,0.179,2.391,0.2,0.091,0.028,0.826,0.075,0,0.248,0,0,0,0,0.022000000000002,16.917,1.601,6.792,1.033,1.679,0.818,2.988,0.386,0.175,0.538,0.493,,0.002,,0.054,,,0.029,,,,,0.082,,,,0.247,9.355,0.462,,5.904,,2.151,,0.688,,,,,,0.150000000000002,16.227,15.226,,0.639,,,,,,,0.285,,,0.004,,,0.0729999999999968,11.155,10.425,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.3,0,0,0.087,0.024,0,0,0,0.189,7.116,2.546,0.025,1.213,0.084,0,0,0,0,2.387,0,0,0.194,0,0,0,0,0,0.667,81.799
1998-08-01,1998,"Q3","1998/99","Q1","August",18.757,3.409,1.817,3.087,4.936,0.39,0.461,3.778,0.048,0.052,0.214,0.364,0.183,0,0,0,0,0,0,0.0180000000000007,16.435,1.417,7.009,0.561,1.125,4.006,0.616,1.115,0.352,0.066,0.129,,0.002,,,,,,,,,,0.009,,,,0.028,3.645,0.556,,1.303,,1.665,,0.109,,,,,,0.012,13.161,12.669,0.021,0.197,,,0.003,,,,0.255,,,0.002,,,0.0139999999999993,6.343,5.946,0.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.738,0,0,0.17,0.383,0,0,0,0.185,3.156,0.591,,0.712,0.016,0,0,0,0,,0,0,1.799,0,0,0,0,0,0.0380000000000006,62.235
1998-09-01,1998,"Q3","1998/99","Q1","September",14.049,4.923,1.82,3.392,0.589,0.538,0.715,0.707,0.249,0.514,0.176,0.168,0.177,0,0.081,0,0,0,0,0,27.65,1.515,5.639,3.868,0.195,2.495,0.314,12.904,0.175,0.251,0.07,,0.176,,0.007,,,,,,,,,,,,0.041,7.958,0.258,,3.806,,3.286,,0.078,,,,,,0.53,13.261,12.371,0.008,0.63,,,0.035,,,,0.064,,,0.013,,,0.139999999999999,10.584,9.806,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.886,0,0,0.218,0.033,0,0,0,0.635,1.448,0.741,0.498,0.112,0.081,0,0,0,0,,0,0,,0,0,0,0,0,0.016,75.836
1998-10-01,1998,"Q4","1998/99","Q2","October",13.233,3.065,2.018,3.707,0.029,0.569,0.244,2.556,0.223,0.058,0.064,0.073,0.45,0,0.142,0,0,0,0,0.0350000000000001,12.487,1.683,4.441,0.4,1.14,2.965,0.469,0.54,0.135,0.41,0.192,,0.042,,,,,,,,,,0.03,,,,0.04,6.443,0.607,,3.073,,2.55,,0.138,,,,,,0.0750000000000002,15.021,14.484,0.025,0.373,,,,,,,0.126,,,0.012,,,0.00100000000000122,6.298,6.031,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.539,0,0,0.222,0.081,0,0,0,0.236,5.591,2.237,,1.358,0.165,0,0,0,0,,0,0,1.82,0,0,0,0,0,0.0109999999999992,59.612
1998-11-01,1998,"Q4","1998/99","Q2","November",12.859,2.598,1.954,2.914,0.613,0.398,0,3.406,0.339,0.02,0.069,0.486,0.018,0,0.024,0,0,0,0,0.0199999999999978,11.982,1.868,6.05,0.342,1.632,0.356,0.538,0.074,0.085,0.328,0.514,,0.033,,,,,0.123,,,,,0.026,,,,0.013,4.115,0.421,,2.109,,1.239,,0.114,,,0.128,,,0.104,14.36,13.453,0.102,0.549,,,,,,,0.111,,,,,,0.145,5.745,5.21,0.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430000000000001,0.864,0,0,0.17,0.582,0,0,0,0.112,6.483,2.713,0.756,1.34,1.659,0,0,0,0,0.001,0,0,,0,0,0,0,0,0.0139999999999993,56.408
1998-12-01,1998,"Q4","1998/99","Q2","December",19.406,6.359,2.731,4.073,2.084,1.496,0.208,1.196,0.287,0.201,0.153,0.094,0.022,0.409,0.093,0,0,0,0,0,13.409,2.634,3.925,1.521,0.934,1.117,0.289,0.144,0.217,0.513,0.073,,0.292,,,,,,,,,,,,,,1.75,7.564,0.386,,2.613,,1.806,,2.661,,,,,,0.0979999999999999,11.494,10.165,0.054,0.797,,,,,,,0.248,,,,,,0.23,6.171,5.398,0.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160000000000001,7.842,0,0,0.071,2.344,0,0,0,5.427,2.666,1.262,,1.26,0.059,0,0,0,0,,0,0,0.084,0,0,0,0,0,0.00100000000000033,68.552
1999-01-01,1999,"Q1","1998/99","Q3","January",22.336,6.622,4.594,2.263,4.155,0.889,0,0.588,0.435,0.151,0.707,0.988,0.2,0.623,0.121,0,0,0,0,0,18.597,1.335,5.249,2.06,0.411,1.78,2.511,4.226,0.252,0.538,0.133,,0.002,,0.041,,,0.009,,,,,,,,,0.05,5.586,1.442,,1.681,,2.155,,0.107,,,,,,0.201000000000001,14.973,14.357,,0.104,,,,,,,0.046,,,,,,0.466000000000001,5.5,5.227,0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999999999999446,0.299,0,0,0.011,0.037,0,0,0,0.251,5.903,3.382,0.027,0.208,0.71,0,0,0,0,,0,0,1.573,0,0,0,0,0,0.00299999999999923,73.194
1999-02-01,1999,"Q1","1998/99","Q3","February",11.621,4.05,2.233,2.626,0.406,0.611,0.049,0.397,0.243,0.042,0.337,0.167,0.087,0.27,0.102,0,0,0,0,0.000999999999999446,8.954,1.869,3.551,0.493,0.733,0.701,0.82,0.044,0.054,0.334,0.141,,0.099,,,,,0.1,,,,,0.005,,,,0.01,7.307,0.644,,4.31,,1.5,,0.471,,,,,,0.382000000000001,11.905,11.482,0.001,0.247,,,0.032,,,,0.066,,,,,,0.077,3.527,3.441,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.694,0,0,0.191,0.03,0,0,0,0.473,7.223,3.951,0.018,0.665,0.174,0,0,0,0,,0,0,2.241,0,0,0,0,0,0.174,51.231
1999-03-01,1999,"Q1","1998/99","Q3","March",15.425,4.532,3.304,4.198,0.155,1.003,0.1,0.555,0.361,0.231,0.477,0.07,0.062,0.169,0.208,0,0,0,0,0,11.252,2.45,3.238,1.103,0.324,1.49,0.702,0.362,0.224,0.343,0.279,,0.073,,,,,0.024,,,,,,,,,0.64,3.106,0.564,,0.503,,1.519,,0.049,,,,,,0.471,15.295,14.6,0.176,0.33,,,,,,,0.186,,,0.003,,,0,4.139,3.662,0.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.501,0,0,0.078,0.022,0,0,0,0.401,3.92,0.974,0.758,1.07,0.812,0,0,0,0,0.028,0,0,0.259,0,0,0,0,0,0.0190000000000007,53.638
1999-04-01,1999,"Q2","1998/99","Q4","April",16.759,3.268,3.446,3.226,3.317,0.24,0.234,0.467,0.486,0,0.678,0.377,0.195,0.726,0.081,0,0,0,0,0.0180000000000007,15.635,5.717,4.12,1.499,0.993,1.089,0.595,0.561,0.099,0.188,0.203,,0.33,,,,,,,,,,,,,,0.241,5.148,0.461,,1.425,,1.566,,1.619,,,,,,0.0769999999999991,10.639,10.346,0.146,,,,,,,,0.02,,,0.018,,,0.109,4.136,4.051,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100000000000033,0.867,0,0,0.421,0.092,0,0,0,0.354,6.013,1.806,0.707,1.377,0.099,0,0,0,0,0.21,0,0,1.554,0,0,0,0,0,0.26,59.197
1999-05-01,1999,"Q2","1998/99","Q4","May",12.478,4.097,2.416,2.278,0.397,0.197,0,0.211,0.026,1.178,0.478,0.198,0.089,0.736,0.177,0,0,0,0,0,21.866,1.27,6.012,0.221,0.439,0.414,0.539,0.682,0.174,0.283,0.388,,1.013,,10.316,,,0.065,,,,,0.016,,,,0.034,5.238,0.56,,1.39,,2.272,,1.015,,,,,,0.00100000000000033,11.512,10.632,,0.574,,,,,,,0.063,,,,,,0.242999999999999,5.145,4.686,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179999999999998,0.296,0,0,0.174,0.02,0,0,0,0.102,1.429,0.579,,0.495,0.315,0,0,0,0,,0,0,,0,0,0,0,0,0.0399999999999996,57.964
1999-06-01,1999,"Q2","1998/99","Q4","June",15.94,2.928,2.457,1.64,4.609,0.362,1.313,0.91,0.103,0.496,0.045,0.135,0.115,0.665,0.149,0,0,0,0,0.0130000000000017,14.885,1.353,5.987,1.15,2.736,1.593,0.907,0.033,0.207,0.532,0.317,,0.041,,,,,0.009,,,,,,,,,0.02,4.073,0.326,,1.474,,2.16,,0.096,,,,,,0.0170000000000003,10.301,9.493,0.175,0.45,,,,,,,0.067,,,,,,0.116,4.125,3.413,0.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.542,0,0,0.137,0.008,0,0,0,0.397,3.909,0.52,1.193,1.626,0.529,0,0,0,0,,0,0,,0,0,0,0,0,0.0409999999999999,53.775
1999-07-01,1999,"Q3","1999/00","Q1","July",22.314,4.112,4.042,11.849,0.44,0.192,0.116,0.891,0.069,0.024,0.181,0.066,0.126,0,0.206,0,0,0,0,0,11.826,3.444,4.193,0.977,0.494,1.329,0.639,0.264,0.087,0.252,0.117,,0.007,,,,,0.002,,,,,0.007,,,,0.0140000000000011,5.012,0.185,,0.358,,4.288,,0.073,,,,,,0.108,10.632,9.869,0.002,0.69,,,,,,,0.003,0.007,,,,,0.061,3.763,3.58,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.022,0,0,0.636,0.037,0,0,0,0.349,5.454,2.708,0.383,0.108,0.912,0,0,0,0,0.32,0,0,0,0,0,0,0,0,1.023,60.023
