"Date","Year","Quarter","FY","QFY","Month","CPI_HL_05","CPI_C_05","CPI_HL_09","CPI_C_09","CPI_HL_16","CPI_C_16","INF_HL_05","INF_C_05","INF_HL_09","INF_C_09","INF_HL_16","INF_C_16","E_EP","E_PA","E_DA","REER","I_CBR","I_RR","I_LR","I_TBY_91","I_TBY_364","I_TDR","NFA","NDA","DC","NCG","PSC","M3","M2","CODC","PDD","PTSD","CIC","M0","TB","EX_G","IM_G","EX_S","IM_S","EDS","DLG","TOT","R_PT","FDI","BTI","CIEA","TBILL","TBOND","FXR","FXR_M"
1986-01-01,1986,"Q1","1985/86","Q3","January",,,,,,,,,,,,,14,1426.58333333333,,,,,33.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2056288,
1987-01-01,1987,"Q1","1986/87","Q3","January",,,,,,,,,,,,,60,44.6666666666667,-96.8689759915883,,,,34.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6,
1988-01-01,1988,"Q1","1987/88","Q3","January",,,,,,,,,,,,,165,106.25,137.873134328358,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3,
1989-01-01,1989,"Q1","1988/89","Q3","January",,,,,,,,,,,,,370,231.666666666667,118.039215686274,34.6769545478714,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,
1990-01-01,1990,"Q1","1989/90","Q3","January",,,,,,,,,,,,,540,436.333333333333,88.3453237410072,48.7105632237121,,,38.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9860882,
1991-01-01,1991,"Q1","1990/91","Q3","January",,,,,,,,,,,,,915,749.583333333333,71.7914438502674,66.7224823505133,,,34.4166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9134003,
1992-01-01,1992,"Q1","1991/92","Q3","January",,,,,,,,,,,,,1217.15,1145.42583333333,52.8083379655364,71.5035843533929,,,39.1111111111111,,,25.06,,,,,,,,,,,,,,,,,,,,,,,,,,,94.42,
1993-01-01,1993,"Q1","1992/93","Q3","January",,,,,,,,,,,,,1130.15,1195.01975,4.32973617526524,67.6243514464663,,26,24.2625,21.3221666666667,,16.2625,-153.739335614,197.907161317314,299.367243,11.425063,265.07718,391.20276,353.96633,132.63962,125.1028,96.22391,143.17,170.971,-316.215087437276,200.021234317501,516.236321754777,93.60997104,204.217702245222,87.695,575.66995381,,,,,,,,150.61,
1994-01-01,1994,"Q1","1993/94","Q3","January",,,,,,,,,,,,,926.77,979.449166666667,-18.0390812229951,54.2305087077164,,18.9583333333333,20.7366666666667,12.523,14.818,9.9825,14.1182787280675,217.50240022014,293.074486,-35.601514,303.384,547.0893,483.906,176.522,177.499,129.885,195.66,253.139,-313.680334342119,462.9168707016,776.597205043719,64.2118405882816,355.60552199677,133.353706742,601.258,,,,,,,,318.3,4.33394284555567
1995-01-01,1995,"Q1","1994/95","Q3","January",,,,,,,,,,,,,1009.45,968.65425,-1.10214159489307,54.8923552535914,,12.08,20.1625,8.76658333333333,15.299,7.61333333333333,126.082106691327,166.693183037181,289.166,-108.861,371.743,632.035,556.852,204.519,204.184,148.149,228.339,287.893,-429.059558890735,556.420709304522,985.480268195257,103.938378035345,464.672217414994,133.29386356,468.2975,,,,,,,,458.4,3.8177329040276
