"Date","Year","Quarter","FY","QFY","Month","CPI_HL_05","CPI_C_05","CPI_HL_09","CPI_C_09","CPI_HL_16","CPI_C_16","INF_HL_05","INF_C_05","INF_HL_09","INF_C_09","INF_HL_16","INF_C_16","E_EP","E_PA","E_DA","REER","I_CBR","I_RR","I_LR","I_TBY_91","I_TBY_364","I_TDR","NFA","NDA","DC","NCG","PSC","M3","M2","CODC","PDD","PTSD","CIC","M0","TB","EX_G","IM_G","EX_S","IM_S","EDS","DLG","TOT","R_PT","FDI","BTI","CIEA","TBILL","TBOND","FXR","FXR_M"
1985-07-01,1985,"Q3","1985/86","Q1","July",,,,,,,,,,,,,14,1112,,,,,28.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.99233609627,
1986-07-01,1986,"Q3","1986/87","Q1","July",,,,,,,,,,,,,60,21.6666666666667,-98.0515587529976,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9255604,
1987-07-01,1987,"Q3","1987/88","Q1","July",,,,,,,,,,,,,60,60,176.923076923077,,,,30.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,
1988-07-01,1988,"Q3","1988/89","Q1","July",,,,,,,,,,,,,200,170.416666666667,184.027777777778,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.730506,
1989-07-01,1989,"Q3","1989/90","Q1","July",,,,,,,,,,,,,440,332.166666666667,94.9144254278729,39.5615255477822,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.932388,
1990-07-01,1990,"Q3","1990/91","Q1","July",,,,,,,,,,,,,700,558.333333333333,68.0883090817862,57.5097002853155,,,35,,,,-153.369129,99.459685,118.372456,12.097078,74.895378,138.746066,138.746066,56.227103,57.992624,24.526339,60.61,67.336,,,,,,,,,,,,,,,57.7602748,
1991-07-01,1991,"Q3","1991/92","Q1","July",,,,,,,,,,,,,1169.47,983.3725,76.1264179104477,72.5132053847807,,,37.4166666666667,,,,1105.869218619,149.142089865086,228.528806,67.54742,136.115386,236.895252,212.624452,84.354432,82.10731,46.16271,92.66,121.256,,,,,,,,,,,,,,,73.1620346,
1992-07-01,1992,"Q3","1992/93","Q1","July",,,,,,,,,,,,,1199.3,1201.81833333333,22.2139457157215,70.9161688252841,,28.3333333333333,30.0711111111111,22.1066666666667,,18.2428571428571,-226.551659204,170.957604363019,302.14374,34.70231,244.22343,336.665583,300.531919,99.852459,117.68958,79.95188,111.94,140.782,-315.225338671294,172.747811328706,487.97315,80.72,191.96685,93.99,,,,,,,,,112,
1993-07-01,1993,"Q3","1993/94","Q1","July",,,,,,,,,,,,,969.62,1102.71183333333,-8.24637944448067,59.2713902064443,,22.9583333333333,22.1991666666667,19.231,,14.1966666666667,-97.5562163190399,214.041507444743,315.01782,-0.101580000000016,290.8594,448.73845,402.57431,135.32326,157.21724,110.03381,147.766,207.355,-326.093605747304,264.68067677,590.774282517304,79.23165208,253.404253152696,107.414,535.75395381,,,,,,,,219.3,
1994-07-01,1994,"Q3","1994/95","Q1","July",,,,,,,,,,,,,965.86,932.597166666667,-15.4269376209046,54.4449412414388,,14.0575,20.8133333333333,7.68991666666667,15.9764285714286,7.1275,41.3645563018641,175.93660541014,256.95526,-95.1045399999999,325.6638,571.5415,504.4305,169.504,206.284,128.6425,186.972,280.17792,-342.246795090664,592.9514578948,935.198252985464,71.8089075830892,429.493265064548,139.894997742,666.76534,,,,,,,,388.2,2.96892962306984
1995-07-01,1995,"Q3","1995/96","Q1","July",,,,,,,,,,,,,1058.82,1011.76666666667,8.48914223951287,54.3804381667492,,12.57,19.5166749957458,10.2166666666667,14.6775833333333,8.91978429522002,147.358006797961,208.368259317187,388.074,-64.727,426.372,684.063,609.044,210.261,220.74,178.043,229.159,280.481,-450.30844046195,588.030808077644,1038.33924853959,134.040389802334,532.169372351551,122.65361468874,583.82388721083,,,,,,93.8314,,479.7,4.71101273087702
1996-07-01,1996,"Q3","1996/97","Q1","July",,,,,,,,,,,,,1067.49,1058.08278174603,4.5777466885677,53.2771694815352,,14.02,21.0742824898102,11.6248333333333,14.3100833333333,11.375849104223,352.464075301521,152.361213837486,373.296,-60.923,407.165,809.098,705.572,220.841,263.918,220.813,245.907,331.674018,-177.443243357859,683.51140990155,860.954653259409,150.802624845162,362.444890371285,145.27418914,622.803,,,,,,95.0137,,621.9,5.5476118684673
1997-07-01,1997,"Q3","1997/98","Q1","July",72.0974468331856,,,,,,,,,,,,1232,1149.65174122807,8.65423396560074,52.4923539283363,,11.68,21.3697993931151,9.41058333333333,12.427,12.1775014795276,618.56847127008,154.858921524728,325.8402,-128.0888,426.43,1019.9599,873.0509,239.5019,324.907,308.642,269.8269,373.10508,-474.676834040803,458.41039917,933.087233210803,171.951079756522,412.140258715707,144.602753826,799.53578764,,,,,,143.242,,750.5,6.18270507342378
1998-07-01,1998,"Q3","1998/99","Q1","July",72.241704298889,,,,,,0.200086788145512,,,,,,1452.56,1362.02605555556,18.4729259054246,64.0799452464408,,9.40416666666667,21.150988375,6.30375,8.70491666666667,9.81513620833333,782.24443642866,183.901448637318,468.1763,-127.469,546.3375,1160.5413,941.6433,284.651,360.088,296.9043,317.184,432.45,-446.733466881856,549.139264,995.872730881856,182.070863615115,433.93633490307,123.57522720104,744.11239896315,,,,,,214.4806,,748.1,6.68273395225997
1999-07-01,1999,"Q3","1999/00","Q1","July",76.4676447493054,,,,,,5.84972418830574,,,,,,1571.65,1512.77861269697,11.0682579475269,67.0881611013193,,15.5233333333333,21.4426083333333,10.06272275,10.2038904166667,8.82939166666667,906.286551484816,488.130153596058,1012.389493,414.586793,580.4139,1347.1721,1025.5135,306.665,413.053,305.7955,335.492,442.353,-477.423933090109,444.668639,922.09257209011,198.799007721952,421.249847963002,118.15576501,592.038568519325,,,,,,361.7705,,719.4,6.31820895090428
2000-07-01,2000,"Q3","2000/01","Q1","July",79.9171581413414,,,,,,4.51107576720189,,,,,,1723.84,1762.92315489766,16.5354361901465,72.1539457337744,,17.9709660294873,24.1984214265402,13.9159847022469,18.950259216803,10.3049883333333,1210.95104713984,470.820561022653,1109.181026,462.995426,634.9277,1583.677,1185.5686,350.1615,482.8805,352.5266,386.7289,549.608785003,-493.078550871887,448.223823,941.302373871887,213.789148564781,425.034204592243,82.5125733275,742.83243911738,107.755063715039,201.151227632639,133.394414871203,,,589.4432,,738.7,5.82620192585001
2001-07-01,2001,"Q3","2001/02","Q1","July",78.3100662306737,,,,,,-2.01094727095447,,,,,,1797.15,1754.5606236994,-0.47435596809926,72.3031112226182,,8.68454545454545,20.3004109897503,6.59142154362985,10.7782621645539,5.93582683833521,1550.945660095,384.542410558999,1208.665960361,419.796201882,736.22470985,1935.487983035,1490.592575035,407.220065035,617.493614,465.878896,447.936632035,628.92361936,-534.22397501081,470.04178842,1004.26576343081,218.805564782072,517.205705086261,68.5612855845,790.233311415911,92.9176956862042,438.262098200261,190.127010274713,,,928.5009,,872.9,6.80489885602023
2002-07-01,2002,"Q3","2002/03","Q1","July",82.7512676706111,,,,,,5.67130338883275,,,,,,2002.81,1882.86270199275,7.31249046401345,80.5407528375087,,12.1775,18.476388030732,11.4354442644553,15.8497124834667,7.92780238894623,2056.351515815,332.092704699,1282.440101876,290.201352968,928.684407162,2388.444230895,1749.185205895,461.377552895,725.144796,562.662857,520.253200895,630.635015745,-589.381034958946,506.339312941435,1095.72034790038,240.224241538977,450.887791175725,85.576715888,821.138254470531,106.62369659845,328.957508428139,185.600326407999,,,1202.597,,964.161331066851,6.93763069677999
2003-07-01,2003,"Q3","2003/04","Q1","July",86.8879366071258,,,,,,4.99891911382025,,,,,,1788.755,1934.87888915945,2.76261179913151,86.6847445744571,,19.2655625,20.7766776939462,14.1767437451501,16.796935652124,8.76664020594042,2314.999499977,272.25921266,1204.860594152,22.7138578839999,1114.448592029,2587.258712637,1924.875891637,529.288271637,803.979452,591.608168,605.292848637,809.936459842,-598.842008398167,670.923427615039,1269.76543601321,337.529906164737,413.783246495443,114.85549574702,916.894319571605,103.190967991204,289.351886646686,248.804536709595,,,1247.964,,1133.38947045272,6.40557295246621
2004-07-01,2004,"Q3","2004/05","Q1","July",93.8143182060705,,,,,,7.97162629176371,,,,,,1740.25,1737.69467411616,-10.1910365629629,79.7726420519129,,14.0910347222222,19.8462483648452,8.49745842887123,13.2049665780707,8.00460944982387,2606.03656071305,205.07757937195,1120.859027708,-172.739024298,1247.108432291,2811.114140085,2157.862181996,605.0605162,860.147222,692.654443796,698.5811732,928.328572717,-706.403304987765,878.220207300904,1584.62351228867,432.706340730999,534.312209431787,138.764676283385,950.373646975301,96.94874384076,316.444732204943,337.612410233876,,,1140.5205,529.8263,1325.58191357564,5.96280264255195
2005-07-01,2005,"Q3","2005/06","Q1","July",100,99.9959188660805,69.4506774829691,71.3467089938476,,,6.59353701248695,,,,,,1862.295,1825.14506340979,5.03255207006397,84.2954591262867,,13.5185833333333,19.2029767901149,7.77294931800666,10.5645129716244,8.89918136732006,3061.60023828107,210.00300430771,1561.32506597536,-104.32598576964,1587.488499852,3271.60324258878,2564.962725127,744.892460801,961.534268422,858.535995904,837.730237532,1046.109340605,-930.15813386477,1038.80816630332,1968.96630016809,532.215436848817,698.736106983827,240.92138415057,626.35916100826,97.8896145713509,441.083088256832,512.035420306785,,60.4135088063351,1161.0775,777.7471,1397.02681278154,5.08045704897206
2006-07-01,2006,"Q3","2006/07","Q1","July",107.446276211017,106.828687675549,74.6221253243707,76.2187006967978,,,7.44627621101728,6.83304767529502,7.4462165508318,6.82861448223253,,,1590.13,1779.9998857381,-2.4735117540379,82.5502003391156,,15.0273055555556,18.8234912564289,9.36503998477735,12.2340257250147,10.0800838159523,3804.24799623905,37.77291353595,1359.10817828195,-715.7944361,1941.96117400795,3842.020909775,2993.947345606,863.616025624,1127.955382997,1002.375936985,981.104982887,1242.52834879,-1028.81734472256,1466.34231131676,2495.15965603932,612.13109721445,827.030941542044,60.63667966624,956.185074982514,93.4735878996629,325.110989742051,718.284140418877,,64.8367550497604,1340.3502,953.0825,2101.29606525064,5.59432611580641
2007-07-01,2007,"Q3","2007/08","Q1","July",115.339152210836,115.41421994275,80.1037781354134,82.3441912221886,,,7.34588138198262,8.03672913522662,7.34588138198262,8.03672913522664,,,1619.48,1696.45158648061,-4.69372497868704,82.4601049078666,,14.1085833333333,19.5583999226279,8.30987621362242,12.9701750853462,10.0546593905297,5068.43510268946,-30.5879870286003,1923.63454608784,-915.81550588516,2743.64351717,5037.84711565462,3895.353775841,1074.484867769,1426.255376571,1394.613531501,1230.016304402,1614.48602295,-1442.26239154081,2068.10420349167,3510.36659503248,682.781311874952,1122.69075732987,61.0518414508393,688.02468788631,93.2959600225998,546.359989973169,760.583340771826,,70.4891027124148,1518.3079,1484.435,2703.97492561995,5.97149808792571
2008-07-01,2008,"Q3","2008/09","Q1","July",131.619229333892,130.065916148334,91.4103957140553,92.7976871144665,,,14.1149616682603,12.6948795502422,14.1149616682603,12.6948795502422,,,2064.075,1930.03080806904,13.7686936338105,82.3131957127702,,14.5519556338824,20.9281824862801,8.89239071708383,14.9559899500922,10.2220882908556,5639.02054195903,658.567897456847,3157.43732741156,-543.942365095279,3603.39865233684,6297.58847152667,4920.67777549613,1245.4324470072,1732.7362510868,1942.50907740213,1468.714513769,1950.356083048,-1845.8189783906,2216.39660030751,4062.21557869811,929.262840199455,1332.32392962856,61.3438079223518,762.688546301822,109.191600881256,897.296662603697,785.215851700023,,75.1244289750164,1444.4417,1361.5862,2442.4408329057,5.08941391115764
