"Date","Year","Quarter","FY","QFY","Month","EMP_S_TOT","EMP_S_BR_AGR","EMP_S_BR_IND","EMP_S_BR_SER","EMP_S_AGG_AGR","EMP_S_AGG_CON","EMP_S_AGG_MAN","EMP_S_AGG_MIN","EMP_S_AGG_OTH","EMP_S_AGG_TRA","EMP_S_DET_AC_FS","EMP_S_DET_AGR","EMP_S_DET_CON","EMP_S_DET_EDU","EMP_S_DET_FIE","EMP_S_DET_HHSW","EMP_S_DET_MAN","EMP_S_DET_MIN","EMP_S_DET_OTH","EMP_S_DET_PAD","EMP_S_DET_REBU","EMP_S_DET_TRA","EMP_S_DET_UTIL","EMP_S_DET_WRT"
1991-01-01,1991,"Q1","1990/91","Q3","January",100,72.5660837208088,7.4669717365894,19.9669445426018,72.5660837208088,0.98316365839006,6.15280286099397,0.331005217205372,6.30008549789705,13.6668745841262,2.11682661393209,72.5660837208088,0.98316365839006,2.3100748596091,0.160786394179803,0.736630736416293,6.15280286099397,0.24485466445261,2.52512491363966,0.728239448810504,0.225881030810633,1.62870230601907,0.0861505527527619,9.53467823918464
1992-01-01,1992,"Q1","1991/92","Q3","January",100,72.4891396475909,7.43855660543658,20.0723037469725,72.4891396475909,0.98594372176248,6.12001081809423,0.332602065579867,6.31658681882831,13.7557169281442,2.12623544809367,72.4891396475909,0.98594372176248,2.31710659444945,0.161954477073126,0.740951919849513,6.12001081809423,0.246153901878919,2.52676753895601,0.731760765573347,0.230790034796593,1.63338432487123,0.0864481637009473,9.60336773551691
1993-01-01,1993,"Q1","1992/93","Q3","January",100,72.2325675870378,7.49470643536197,20.2727259776003,72.2325675870378,1.00212388813846,6.1562794520395,0.336303095183998,6.34522780209375,13.9275128625139,2.15191094856184,72.2325675870378,1.00212388813846,2.3283606553284,0.16459729180396,0.740239859392466,6.1562794520395,0.249121019325311,2.54226223093586,0.73435036942964,0.238193885828198,1.64735349673412,0.0871820758586869,9.72544255257839
1994-01-01,1994,"Q1","1993/94","Q3","January",100,72.057169372648,7.51718858230262,20.4256420450494,72.057169372648,1.0129727333515,6.16426698418855,0.339948864762574,6.37684220544898,14.0487998396004,2.16919615698298,72.057169372648,1.0129727333515,2.34300051603975,0.165973016451679,0.747078644829035,6.16426698418855,0.252117785107673,2.54814453628805,0.738618508292149,0.244986690290264,1.65494275617243,0.0878310796549007,9.81370121970303
1995-01-01,1995,"Q1","1994/95","Q3","January",100,71.6449311990233,7.64903054275283,20.7060382582239,71.6449311990233,1.04228734480584,6.25960609867766,0.347137099269335,6.42444198934977,14.2815962688741,2.2080834107986,71.6449311990233,1.04228734480584,2.36344965058935,0.16938299175612,0.746030498950482,6.25960609867766,0.257682966934788,2.57321423729332,0.741747602516619,0.255319030591422,1.67553026916196,0.089454132334547,9.97329447207392
1996-01-01,1996,"Q1","1995/96","Q3","January",100,71.2594650518341,7.74494859800512,20.9955999381475,71.2594650518341,1.06937455312509,6.32219127482763,0.353382770052403,6.4754365888066,14.5201497613542,2.24684154043201,71.2594650518341,1.06937455312509,2.38446066970838,0.172934306704231,0.746795748916834,6.32219127482763,0.262615018910401,2.59815893650633,0.746021233675053,0.266609886999585,1.69666395903385,0.0907813391287002,10.1371136561712
1997-01-01,1997,"Q1","1996/97","Q3","January",100,71.017272026791,7.75150980600854,21.2312314384703,71.017272026791,1.08135633439035,6.31275817596483,0.357382024383569,6.52086495766332,14.710366480807,2.27578388745751,71.017272026791,1.08135633439035,2.40354640180043,0.175486000535628,0.754100092447666,6.31275817596483,0.265969518016678,2.61153374207075,0.751684721344475,0.277515522740719,1.71239194200349,0.0914257776366894,10.2692023993394
1998-01-01,1998,"Q1","1997/98","Q3","January",100,70.7374494398585,7.74670874949191,21.5158418106496,70.7374494398585,1.10076225250369,6.2840948215897,0.361864628742901,6.57007875892453,14.945763051725,2.31166679231411,70.7374494398585,1.10076225250369,2.42325985419197,0.178989312713682,0.75924732778982,6.2840948215897,0.269416609866252,2.63026725081068,0.757291372787666,0.29073781472417,1.73276887839841,0.0924480188766497,10.4316132069191
1999-01-01,1999,"Q1","1998/99","Q3","January",100,70.2834218531783,7.83290077834629,21.8836773684754,70.2834218531783,1.13801843742996,6.32559552221571,0.369286818700627,6.64213430067975,15.2415430677957,2.36265736919813,70.2834218531783,1.13801843742996,2.4535861465832,0.183095712361336,0.765863641451798,6.32559552221571,0.275161573248519,2.65923401506964,0.763450497575106,0.30731576783585,1.75976306212039,0.0941378797132427,10.62871115628
2000-01-01,2000,"Q1","1999/00","Q3","January",100,70.0514726243903,7.74674007327292,22.2017873023367,70.0514726243903,1.154735632758,6.21936581681867,0.372638623696254,6.6976782636819,15.5041090386548,2.39800846054891,70.0514726243903,1.154735632758,2.47530166554985,0.18719890187798,0.773768583184674,6.21936581681867,0.278073469018194,2.6777549959176,0.770853019029777,0.324550268078128,1.78594912131416,0.0945651546780596,10.8084145887941
2001-01-01,2001,"Q1","2000/01","Q3","January",100,69.6687186408597,7.71759339970918,22.6136879594312,69.6687186408597,1.18279876316389,6.15568310481113,0.379123505441811,6.77839971876155,15.8352882406696,2.44960505922675,69.6687186408597,1.18279876316389,2.50760569910168,0.192429455703987,0.78044626487374,6.15568310481113,0.283417660165103,2.71082346540173,0.779512315676745,0.346267651639823,1.81807579644314,0.0957058452767076,11.0289102776559
2002-01-01,2002,"Q1","2001/02","Q3","January",100,69.0829356753695,7.80827265206341,23.1087916725671,69.0829356753695,1.24782460442271,6.17018114942872,0.390266898211983,6.88931941328603,16.2194722592811,2.51867253355792,69.0829356753695,1.24782460442271,2.55348119191181,0.198196238382363,0.787101907267591,6.17018114942872,0.292572072206364,2.76001567030133,0.788708998218691,0.371517503782487,1.8547343501949,0.0976948260056197,11.2763749245366
2003-01-01,2003,"Q1","2002/03","Q3","January",100,68.7000059683421,7.80000254980209,23.500002764166,68.7000059683421,1.30000418573706,6.10000662271605,0.400003023659117,6.99999650248386,16.5000062616821,2.56812456302203,68.7000059683421,1.30000418573706,2.59999708916398,0.202280538477585,0.799994765008095,6.10000662271605,0.299996626589268,2.79999860099354,0.799994765008095,0.395095218748762,1.87671075078923,0.0999951147597099,11.4577951906445
2004-01-01,2004,"Q1","2003/04","Q3","January",100,68.4980072516241,7.74422353712729,23.7577692112486,68.4980072516241,1.40121402234282,5.94482730594859,0.39818220883588,7.14142742085748,16.6163417903911,2.53609059904364,68.4980072516241,1.40121402234282,2.66222882604878,0.204484213429641,0.821903328683083,5.94482730594859,0.300468584437498,2.83647272081161,0.820822545314004,0.419884338886975,1.94560460534763,0.0977136243983819,11.5102672258496
2005-01-01,2005,"Q1","2004/05","Q3","January",100,68.3526924304129,7.67308133328594,23.9742262363012,68.3526924304129,1.50064047873259,5.77560414901304,0.396847068435419,7.28341575116533,16.6908104851358,2.49819348830905,68.3526924304129,1.50064047873259,2.72669532559854,0.205682742245886,0.847291030406496,5.77560414901304,0.301321901263786,2.86706073993351,0.842358292331675,0.444599289126121,2.01300273901681,0.0955148042765181,11.529332226438
2006-01-01,2006,"Q1","2005/06","Q3","January",100,67.8922233370731,7.74834560199688,24.35943106093,67.8922233370731,1.62755281738792,5.72025035409217,0.400532381785469,7.45182763813112,16.9076034227989,2.49018615777212,67.8922233370731,1.62755281738792,2.80132502571219,0.20939546329927,0.86297499724916,5.72025035409217,0.305853235264415,2.92516559053128,0.862362024638484,0.476772106329646,2.10262668812406,0.0946791465210539,11.6286129585425
2007-01-01,2007,"Q1","2006/07","Q3","January",100,67.5704725282923,7.78264247851839,24.6468947325465,67.5704725282923,1.77248510803577,5.6081264417901,0.402030928692517,7.60587314409243,17.0410215884541,2.46656040378596,67.5704725282923,1.77248510803577,2.87190271394982,0.211577797304107,0.882950651261081,5.6081264417901,0.309068763563272,2.9680204308341,0.882989608690156,0.50739129562475,2.18577473373084,0.0929621651292442,11.6697173580084
2008-01-01,2008,"Q1","2007/08","Q3","January",100,67.2531164269817,7.83492562096763,24.9119485110504,67.2531164269817,1.91957249640251,5.5119014193411,0.403461146224289,7.76354221798174,17.1484157340689,2.44119720191411,67.2531164269817,1.91957249640251,2.9456109639469,0.212913437923252,0.907223479238957,5.5119014193411,0.311364188662152,3.00687361465122,0.903834160144666,0.538835648990408,2.26850242510974,0.0920969575621374,11.6869670201314
