"Date","Year","Quarter","FY","QFY","Month","EMP_TOT","EMP_BR_AGR","EMP_BR_IND","EMP_BR_SER","EMP_AGG_AGR","EMP_AGG_CON","EMP_AGG_MAN","EMP_AGG_MIN","EMP_AGG_OTH","EMP_AGG_TRA","EMP_DET_AC_FS","EMP_DET_AGR","EMP_DET_CON","EMP_DET_EDU","EMP_DET_FIE","EMP_DET_HHSW","EMP_DET_MAN","EMP_DET_MIN","EMP_DET_OTH","EMP_DET_PAD","EMP_DET_REBU","EMP_DET_TRA","EMP_DET_UTIL","EMP_DET_WRT"
1991-01-01,1991,"Q1","1990/91","Q3","January",6435.246,4669.806,480.518,1284.922,4669.806,63.269,395.948,21.301,405.426,879.497,136.223,4669.806,63.269,148.659,10.347,47.404,395.948,15.757,162.498,46.864,14.536,104.811,5.544,613.58
1992-01-01,1992,"Q1","1991/92","Q3","January",6625.936,4803.084,492.874,1329.978,4803.084,65.328,405.508,22.038,418.533,911.445,140.883,4803.084,65.328,153.53,10.731,49.095,405.508,16.31,167.422,48.486,15.292,108.227,5.728,636.313
1993-01-01,1993,"Q1","1992/93","Q3","January",6808.739,4918.127,510.295,1380.317,4918.127,68.232,419.165,22.898,432.03,948.288,146.518,4918.127,68.232,158.532,11.207,50.401,419.165,16.962,173.096,50,16.218,112.164,5.936,662.18
1994-01-01,1994,"Q1","1993/94","Q3","January",6997.523,5042.217,526.017,1429.289,5042.217,70.883,431.346,23.788,446.221,983.068,151.79,5042.217,70.883,163.952,11.614,52.277,431.346,17.642,178.307,51.685,17.143,115.805,6.146,686.716
1995-01-01,1995,"Q1","1994/95","Q3","January",7191.395,5152.27,550.072,1489.053,5152.27,74.955,450.153,24.964,462.007,1027.046,158.792,5152.27,74.955,169.965,12.181,53.65,450.153,18.531,185.05,53.342,18.361,120.494,6.433,717.219
1996-01-01,1996,"Q1","1995/96","Q3","January",7359.442,5244.299,569.985,1545.159,5244.299,78.7,465.278,26.007,476.556,1068.602,165.355,5244.299,78.7,175.483,12.727,54.96,465.278,19.327,191.21,54.903,19.621,124.865,6.681,746.035
1997-01-01,1997,"Q1","1996/97","Q3","January",7535.074,5351.204,584.082,1599.789,5351.204,81.481,475.671,26.929,491.352,1108.437,171.482,5351.204,81.481,181.109,13.223,56.822,475.671,20.041,196.781,56.64,20.911,129.03,6.889,773.792
1998-01-01,1998,"Q1","1997/98","Q3","January",7720.014,5460.941,598.047,1661.026,5460.941,84.979,485.133,27.936,507.211,1153.815,178.461,5460.941,84.979,187.076,13.818,58.614,485.133,20.799,203.057,58.463,22.445,133.77,7.137,805.322
1999-01-01,1999,"Q1","1998/99","Q3","January",7914.986,5562.923,619.973,1732.09,5562.923,90.074,500.67,29.229,525.724,1206.366,187.004,5562.923,90.074,194.201,14.492,60.618,500.67,21.779,210.478,60.427,24.324,139.285,7.451,841.261
2000-01-01,2000,"Q1","1999/00","Q3","January",8128.787,5694.335,629.716,1804.736,5694.335,93.866,505.559,30.291,544.44,1260.296,194.929,5694.335,93.866,201.212,15.217,62.898,505.559,22.604,217.669,62.661,26.382,145.176,7.687,878.593
2001-01-01,2001,"Q1","2000/01","Q3","January",8351.632,5818.475,644.545,1888.612,5818.475,98.783,514.1,31.663,566.107,1322.505,204.582,5818.475,98.783,209.426,16.071,65.18,514.1,23.67,226.398,65.102,28.919,151.839,7.993,921.094
2002-01-01,2002,"Q1","2001/02","Q3","January",8586.944,5932.113,670.492,1984.339,5932.113,107.15,529.83,33.512,591.582,1392.757,216.277,5932.113,107.15,219.266,17.019,67.588,529.83,25.123,237.001,67.726,31.902,159.265,8.389,968.296
2003-01-01,2003,"Q1","2002/03","Q3","January",8863.433,6089.179,691.348,2082.907,6089.179,115.225,540.67,35.454,620.44,1462.467,227.624,6089.179,115.225,230.449,17.929,70.907,540.67,26.59,248.176,70.907,35.019,166.341,8.863,1015.554
2004-01-01,2004,"Q1","2003/04","Q3","January",9252.548,6337.811,716.538,2198.199,6337.811,129.648,550.048,36.842,660.764,1537.435,234.653,6337.811,129.648,246.324,18.92,76.047,550.048,27.801,262.446,75.947,38.85,180.018,9.041,1064.993
2005-01-01,2005,"Q1","2004/05","Q3","January",9649.813,6595.907,740.438,2313.468,6595.907,144.809,557.335,38.295,702.836,1610.632,241.071,6595.907,144.809,263.121,19.848,81.762,557.335,29.077,276.666,81.286,42.903,194.251,9.217,1112.559
2006-01-01,2006,"Q1","2005/06","Q3","January",9951.505,6756.298,771.077,2424.13,6756.298,161.966,569.251,39.859,741.569,1682.561,247.811,6756.298,161.966,278.774,20.838,85.879,569.251,30.437,291.098,85.818,47.446,209.243,9.422,1157.222
2007-01-01,2007,"Q1","2006/07","Q3","January",10267.618,6937.878,799.092,2530.649,6937.878,181.992,575.821,41.279,780.942,1749.707,253.257,6937.878,181.992,294.876,21.724,90.658,575.821,31.734,304.745,90.662,52.097,224.427,9.545,1198.202
2008-01-01,2008,"Q1","2007/08","Q3","January",10592.098,7123.516,829.883,2638.698,7123.516,203.323,583.826,42.735,822.322,1816.377,258.574,7123.516,203.323,312.002,22.552,96.094,583.826,32.98,318.491,95.735,57.074,240.282,9.755,1237.895
2009-01-01,2009,"Q1","2008/09","Q3","January",10894.921,7306.154,847.786,2740.98,7306.154,224.812,579.229,43.745,861.82,1879.16,262.843,7306.154,224.812,328.17,23.357,101.551,579.229,33.813,331.466,100.633,62.228,256.417,9.932,1274.315
2010-01-01,2010,"Q1","2009/10","Q3","January",11292.84,7545.428,878.181,2869.231,7545.428,249.077,584.189,44.916,907.658,1961.573,269.4,7545.428,249.077,346.795,24.501,106.985,584.189,34.783,347.41,106.468,68.44,276.223,10.133,1323.009
2011-01-01,2011,"Q1","2010/11","Q3","January",11714.185,7782.581,932.268,2999.336,7782.581,287.25,598.199,46.82,960.432,2038.904,275.922,7782.581,287.25,368.984,25.333,114.8,598.199,36.38,363.86,112.787,74.968,295.784,10.44,1366.897
2012-01-01,2012,"Q1","2011/12","Q3","January",12158.652,8041.21,974.565,3142.878,8041.21,321.305,604.808,48.452,1015.199,2127.679,283.382,8041.21,321.305,391.613,26.457,122.132,604.808,37.827,382.032,119.421,82.399,318.715,10.625,1416.726
2013-01-01,2013,"Q1","2012/13","Q3","January",12811.89,9213.969,897.231,2700.691,9213.969,272.511,564.304,60.415,916.512,1784.178,239.183,9213.969,272.511,353.819,22.239,110.671,564.304,47.243,344.765,107.258,72.018,267.639,13.172,1183.099
2014-01-01,2014,"Q1","2013/14","Q3","January",13294.752,9649.949,913.145,2731.657,9649.949,279.547,569.635,63.964,936.415,1795.242,242.829,9649.949,279.547,361.961,22.394,113.396,569.635,50.118,352.263,108.795,75.546,270.378,13.846,1184.095
2015-01-01,2015,"Q1","2014/15","Q3","January",13816.529,10035.306,937.959,2843.264,10035.306,288.755,581.07,68.134,957.832,1885.433,257.246,10035.306,288.755,370.776,23.543,116.119,581.07,53.491,360.559,110.377,82.695,285.48,14.642,1236.468
2016-01-01,2016,"Q1","2015/16","Q3","January",14389.912,10481.479,964.492,2943.942,10481.479,305.609,586.72,72.162,982.654,1961.287,269.972,10481.479,305.609,380.945,24.475,119.646,586.72,56.819,369.849,112.214,89.545,299.006,15.344,1278.289
2017-01-01,2017,"Q1","2016/17","Q3","January",15013.695,10967.806,987.814,3058.076,10967.806,316.186,594.9,76.727,1015.171,2042.905,284.077,10967.806,316.186,393.889,25.479,124.322,594.9,60.543,382.194,114.766,96.954,313.574,16.184,1322.822
2018-01-01,2018,"Q1","2017/18","Q3","January",15658.938,11411.401,1032.921,3214.617,11411.401,337.744,613.553,81.624,1055.191,2159.426,304.155,11411.401,337.744,410.074,26.899,129.52,613.553,64.573,397.735,117.861,106.675,334.02,17.052,1387.676
2019-01-01,2019,"Q1","2018/19","Q3","January",16351.715,11882.143,1079.684,3389.889,11882.143,359.706,633.358,86.62,1100.133,2289.756,326.314,11882.143,359.706,428.326,28.485,135.373,633.358,68.67,414.776,121.657,117.211,356.815,17.949,1460.93
2020-01-01,2020,"Q1","2019/20","Q3","January",17049.443,12350.884,1129.037,3569.522,12350.884,382.43,654.966,91.641,1147.835,2421.687,348.983,12350.884,382.43,447.57,30.087,141.568,654.966,72.778,433.024,125.673,128.004,380.105,18.863,1534.508
2021-01-01,2021,"Q1","2020/21","Q3","January",17724.305,12797.086,1178.66,3748.559,12797.086,404.61,677.482,96.568,1196.338,2552.221,371.77,12797.086,404.61,466.838,31.666,147.948,677.482,76.79,451.966,129.585,138.859,403.357,19.778,1606.569
2022-01-01,2022,"Q1","2021/22","Q3","January",18397.427,13238.427,1228.897,3930.105,13238.427,426.695,700.75,101.452,1245.843,2684.262,394.987,13238.427,426.695,486.625,33.262,154.393,700.75,80.758,471.144,133.682,149.891,427.024,20.693,1679.099
2023-01-01,2023,"Q1","2022/23","Q3","January",19083.596,13686.607,1281.069,4115.922,13686.607,449.268,725.385,106.416,1296.953,2818.968,418.804,13686.607,449.268,507.064,34.89,160.991,725.385,84.785,490.952,137.946,161.155,451.27,21.631,1752.849
2024-01-01,2024,"Q1","2023/24","Q3","January",19786.236,14146.025,1334.883,4305.327,14146.025,472.257,751.174,111.453,1349.449,2955.878,443.106,14146.025,472.257,528.122,36.544,167.723,751.174,88.867,511.208,142.396,172.596,476.011,22.586,1827.622
