"Date","Year","Quarter","FY","QFY","Month","PCPI_IX","PCPIF_WT_PT","PCPIFBT_WT_PT","PCPIA_WT_PT","PCPIH_WT_PT","PCPIHO_WT_PT","PCPIM_WT_PT","PCPIT_WT_PT","PCPIEC_WT_PT","PCPIR_WT_PT","PCPIED_WT_PT","PCPIRE_WT_PT","PCPIO_WT_PT"
2010-01-01,2010,"Q1","2009/10","Q3","January",60.3006464586104,,,,,,,,,,,,
2010-02-01,2010,"Q1","2009/10","Q3","February",60.5460830429224,,,,,,,,,,,,
2010-03-01,2010,"Q1","2009/10","Q3","March",60.3750646937733,,,,,,,,,,,,
2010-04-01,2010,"Q2","2009/10","Q4","April",60.5672144869622,,,,,,,,,,,,
2010-05-01,2010,"Q2","2009/10","Q4","May",60.2102144232249,,,,,,,,,,,,
2010-06-01,2010,"Q2","2009/10","Q4","June",60.4076412485832,,,,,,,,,,,,
2010-07-01,2010,"Q3","2010/11","Q1","July",60.2224360702686,,,,,,,,,,,,
2010-08-01,2010,"Q3","2010/11","Q1","August",60.5287023493698,,,,,,,,,,,,
2010-09-01,2010,"Q3","2010/11","Q1","September",61.1601742255802,,,,,,,,,,,,
2010-10-01,2010,"Q4","2010/11","Q2","October",60.9522428718676,,,,,,,,,,,,
2010-11-01,2010,"Q4","2010/11","Q2","November",61.72473427682,,,,,,,,,,,,
2010-12-01,2010,"Q4","2010/11","Q2","December",62.5773173391239,,,,,,,,,,,,
2011-01-01,2011,"Q1","2010/11","Q3","January",63.5341365973011,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2011-02-01,2011,"Q1","2010/11","Q3","February",64.3919986319281,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2011-03-01,2011,"Q1","2010/11","Q3","March",66.0336195225206,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2011-04-01,2011,"Q2","2010/11","Q4","April",67.5427767162136,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2011-05-01,2011,"Q2","2010/11","Q4","May",68.0312786577776,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2011-06-01,2011,"Q2","2010/11","Q4","June",69.1343081940449,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2011-07-01,2011,"Q3","2011/12","Q1","July",71.8778200893349,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2011-08-01,2011,"Q3","2011/12","Q1","August",72.3623538500349,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2011-09-01,2011,"Q3","2011/12","Q1","September",76.1052647934955,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2011-10-01,2011,"Q4","2011/12","Q2","October",76.9565436331333,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2011-11-01,2011,"Q4","2011/12","Q2","November",77.0736817888419,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2011-12-01,2011,"Q4","2011/12","Q2","December",77.3776239022862,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2012-01-01,2012,"Q1","2011/12","Q3","January",78.0394396312046,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2012-02-01,2012,"Q1","2011/12","Q3","February",80.0225028395814,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2012-03-01,2012,"Q1","2011/12","Q3","March",79.9264278489884,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2012-04-01,2012,"Q2","2011/12","Q4","April",80.399445817091,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2012-05-01,2012,"Q2","2011/12","Q4","May",80.2100046791796,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2012-06-01,2012,"Q2","2011/12","Q4","June",79.3882219332632,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2012-07-01,2012,"Q3","2012/13","Q1","July",79.2920197820216,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2012-08-01,2012,"Q3","2012/13","Q1","August",79.468914218847,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2012-09-01,2012,"Q3","2012/13","Q1","September",79.8320625583242,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2012-10-01,2012,"Q4","2012/13","Q2","October",80.4185716653582,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2012-11-01,2012,"Q4","2012/13","Q2","November",80.5710473492332,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2012-12-01,2012,"Q4","2012/13","Q2","December",80.6779989682745,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2013-01-01,2013,"Q1","2012/13","Q3","January",80.736386431423,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2013-02-01,2013,"Q1","2012/13","Q3","February",81.5983789375652,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2013-03-01,2013,"Q1","2012/13","Q3","March",82.2336620350897,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2013-04-01,2013,"Q2","2012/13","Q4","April",82.8490279202176,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2013-05-01,2013,"Q2","2012/13","Q4","May",83.3039978812148,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2013-06-01,2013,"Q2","2012/13","Q4","June",83.602282714994,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2013-07-01,2013,"Q3","2013/14","Q1","July",84.0356597588914,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2013-08-01,2013,"Q3","2013/14","Q1","August",84.9908693104241,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2013-09-01,2013,"Q3","2013/14","Q1","September",85.773677438537,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2013-10-01,2013,"Q4","2013/14","Q2","October",85.7832744445094,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
2013-11-01,2013,"Q4","2013/14","Q2","November",85.2664399427371,28.4619782962022,2.79824494392842,5.08028917885187,11.9425481492162,3.86637658160239,5.75151467459473,13.7790401914788,5.18152609485199,5.51688085936484,5.50753082139832,5.7227150213225,6.39135518718775
