"Date","Year","Quarter","FY","QFY","Month","TOTAL_THEIL","BETWEEN_THEIL","WITHIN_THEIL"
1962-01-01,1962,"Q1","1961/62","Q3","January",4.9101782,2.87721371650696,2.03296422958374
1963-01-01,1963,"Q1","1962/63","Q3","January",4.7738657,2.70382424374111,2.0700413659215
1964-01-01,1964,"Q1","1963/64","Q3","January",5.1173234,2.72457205699811,2.39275144640124
1965-01-01,1965,"Q1","1964/65","Q3","January",5.1241679,2.63658672205099,2.48758126620669
1966-01-01,1966,"Q1","1965/66","Q3","January",5.0914845,2.77402697336763,2.31745734653396
1967-01-01,1967,"Q1","1966/67","Q3","January",5.1278238,2.77532177945982,2.35250213479299
1968-01-01,1968,"Q1","1967/68","Q3","January",5.2162886,2.63982846561638,2.57646028090494
1969-01-01,1969,"Q1","1968/69","Q3","January",5.0323339,2.61222347747698,2.42011028834168
1970-01-01,1970,"Q1","1969/70","Q3","January",5.1303983,2.65999903177317,2.47039931407198
1971-01-01,1971,"Q1","1970/71","Q3","January",5.1776056,2.74132468005793,2.43628113917657
1972-01-01,1972,"Q1","1971/72","Q3","January",5.1981349,2.7199587428986,2.47817604395095
1973-01-01,1973,"Q1","1972/73","Q3","January",5.1499004,2.62305455747992,2.52684566378593
1974-01-01,1974,"Q1","1973/74","Q3","January",5.3682351,2.63994087133098,2.7282941650119
1975-01-01,1975,"Q1","1974/75","Q3","January",5.3252387,2.69211072897103,2.63312808288902
1976-01-01,1976,"Q1","1975/76","Q3","January",5.5108418,2.67428192537409,2.83656008215621
1977-01-01,1977,"Q1","1976/77","Q3","January",5.8946228,2.69988258680016,3.19474001959316
1978-01-01,1978,"Q1","1977/78","Q3","January",5.487411,2.67439413613334,2.81301680358592
1979-01-01,1979,"Q1","1978/79","Q3","January",6.0900121,2.78772592435637,3.3022863525548
1980-01-01,1980,"Q1","1979/80","Q3","January",6.118238,2.75036357793697,3.36787424981577
1981-01-01,1981,"Q1","1980/81","Q3","January",5.9460044,2.48993765079285,3.45606687478721
1982-01-01,1982,"Q1","1981/82","Q3","January",6.0909772,2.69985627235717,3.39112113771262
1983-01-01,1983,"Q1","1982/83","Q3","January",6.0574465,2.78613094668068,3.27131545171209
1984-01-01,1984,"Q1","1983/84","Q3","January",5.7928624,2.65817174802783,3.13469060730859
1985-01-01,1985,"Q1","1984/85","Q3","January",5.6500454,2.54004904057489,3.10999647481367
1986-01-01,1986,"Q1","1985/86","Q3","January",6.055057,2.79105355657285,3.26400350031326
1987-01-01,1987,"Q1","1986/87","Q3","January",6.0290809,2.78445557719335,3.24462522193777
1988-01-01,1988,"Q1","1987/88","Q3","January",5.9116216,2.77205726110217,3.13956446426164
1989-01-01,1989,"Q1","1988/89","Q3","January",5.7119465,2.47639775746541,3.23554861846787
1990-01-01,1990,"Q1","1989/90","Q3","January",5.2258477,2.69430561394893,2.53154193458613
1991-01-01,1991,"Q1","1990/91","Q3","January",5.2713785,2.51044645548865,2.76093227218371
1992-01-01,1992,"Q1","1991/92","Q3","January",4.7961798,2.17759372550245,2.61858619668055
1993-01-01,1993,"Q1","1992/93","Q3","January",4.3991585,1.86312066699429,2.53603788698092
1994-01-01,1994,"Q1","1993/94","Q3","January",5.2423272,2.35942092147889,2.88290634937584
1995-01-01,1995,"Q1","1994/95","Q3","January",5.0980721,2.20950814256435,2.88856379786739
1996-01-01,1996,"Q1","1995/96","Q3","January",4.8171263,1.7670659650629,3.05006022026646
1997-01-01,1997,"Q1","1996/97","Q3","January",4.8332052,1.79283146033777,3.04037362337112
1998-01-01,1998,"Q1","1997/98","Q3","January",4.6607528,1.5439708541453,3.11678195919376
1999-01-01,1999,"Q1","1998/99","Q3","January",4.736062,1.7818365295052,2.95422543771565
2000-01-01,2000,"Q1","1999/00","Q3","January",3.944129,1.29146448249185,2.65266449050978
2001-01-01,2001,"Q1","2000/01","Q3","January",3.5211892,0.630660253487733,2.89052896521753
2002-01-01,2002,"Q1","2001/02","Q3","January",3.4417615,0.563369685776706,2.87839176040143
2003-01-01,2003,"Q1","2002/03","Q3","January",3.1656964,0.461863467990952,2.70383298711386
2004-01-01,2004,"Q1","2003/04","Q3","January",3.0588059,0.431364005355007,2.6274418476678
2005-01-01,2005,"Q1","2004/05","Q3","January",3.1025393,0.343591259985601,2.75894815067295
2006-01-01,2006,"Q1","2005/06","Q3","January",3.0082707,0.111833391571196,2.89643739075109
2007-01-01,2007,"Q1","2006/07","Q3","January",2.5183709,0.287383349100196,2.23098751850193
2008-01-01,2008,"Q1","2007/08","Q3","January",2.7323289,0.346139822961405,2.38618898610002
2009-01-01,2009,"Q1","2008/09","Q3","January",2.6409137,0.265109202351179,2.37580449177767
2010-01-01,2010,"Q1","2009/10","Q3","January",2.7899141,0.376614585518837,2.41329956054688
2011-01-01,2011,"Q1","2010/11","Q3","January",2.8204374,0.505359709262848,2.31507766246796
2012-01-01,2012,"Q1","2011/12","Q3","January",2.6217604,0.466221351602783,2.15553894404866
2013-01-01,2013,"Q1","2012/13","Q3","January",2.5478079,0.376147551614126,2.17166048288345
2014-01-01,2014,"Q1","2013/14","Q3","January",2.5593486,0.423798337578773,2.13555026054382
