"Date","Year","Quarter","FY","QFY","Month","G_X_G01_GDP_PT","G_XWDG_G01_GDP_PT","GGXCNL_G01_GDP_PT","GGXONLB_G01_GDP_PT","GGR_G01_GDP_PT"
1998-01-01,1998,"Q1","1997/98","Q3","January",13.9510509239909,45.0931230071394,-0.704580448194744,0.101985529835503,13.2464704757961
1999-01-01,1999,"Q1","1998/99","Q3","January",14.7120330095244,47.7175455234585,-1.23720657963789,-0.416436173678742,13.4748264298865
2000-01-01,2000,"Q1","1999/00","Q3","January",15.2290017386479,48.5446498839635,-0.623678685246094,0.186319627020914,14.6053230534019
2001-01-01,2001,"Q1","2000/01","Q3","January",16.20620732338,51.3523118825953,-0.993817730644297,-0.0897812032299369,15.2123895927357
2002-01-01,2002,"Q1","2001/02","Q3","January",16.7612343070104,54.7109642463419,-2.06817487573402,-1.01105268135209,14.6930594312764
2003-01-01,2003,"Q1","2002/03","Q3","January",16.4589642942073,55.1393567481955,-0.969120420255997,0.323498713451759,15.4898438739513
2004-01-01,2004,"Q1","2003/04","Q3","January",15.5929265062008,48.966019727706,0.342505422173626,1.62537281815788,15.9354319283744
2005-01-01,2005,"Q1","2004/05","Q3","January",14.4711931276046,42.5627865732782,-0.169968939675853,0.916234009408773,14.3012241879287
2006-01-01,2006,"Q1","2005/06","Q3","January",13.6947899764141,27.7580127669852,-0.637013441469413,0.306791507902057,13.0577765349447
2007-01-01,2007,"Q1","2006/07","Q3","January",13.2320214757608,16.9755731669166,-0.815082586619119,0.0890040578997543,12.4169388891417
2008-01-01,2008,"Q1","2007/08","Q3","January",12.945767734871,15.6538382072135,-1.99476634084022,-1.1038360329225,10.9510013940308
2009-01-01,2009,"Q1","2008/09","Q3","January",11.7564373885144,14.7928122159731,-1.60983615365588,-0.837965686490109,10.1466012348585
2010-01-01,2010,"Q1","2009/10","Q3","January",15.424000235121,18.3549460154307,-4.64466213577255,-3.94301154583273,10.7793380993484
2011-01-01,2011,"Q1","2010/11","Q3","January",13.1743094847181,17.95944248464,-2.04271028095444,-1.32460595787938,11.1315992037637
2012-01-01,2012,"Q1","2011/12","Q3","January",13.1176211497011,19.4913850744634,-2.38533772562536,-1.37087282338305,10.7322834240758
2013-01-01,2013,"Q1","2012/13","Q3","January",13.3026314820606,22.0797822466023,-3.19048282182662,-2.12549727753331,10.112148660234
2014-01-01,2014,"Q1","2013/14","Q3","January",13.5650451153278,24.7678520081911,-2.74045513097063,-1.5303686919982,10.8245899843572
2015-01-01,2015,"Q1","2014/15","Q3","January",14.89097850982,28.0216444319702,-2.59377656325725,-1.18143212773116,12.2972019465627
2016-01-01,2016,"Q1","2015/16","Q3","January",15.1861175380883,31.3326365791523,-2.64048763218515,-0.581635009405018,12.5456299059031
2017-01-01,2017,"Q1","2016/17","Q3","January",16.2854946757013,33.639646427924,-3.8257020410259,-1.76963708885804,12.4597926346754
2018-01-01,2018,"Q1","2017/18","Q3","January",16.1847488167688,34.8865974903821,-3.02302308974586,-1.22799372668219,13.1617257270229
2019-01-01,2019,"Q1","2018/19","Q3","January",18.2692535114559,37.5365585737805,-4.81601759707811,-2.71013841215861,13.4532359143778
2020-01-01,2020,"Q1","2019/20","Q3","January",21.4452736164474,46.3441580524246,-7.76048255037299,-5.50891990362088,13.6847910660744
2021-01-01,2021,"Q1","2020/21","Q3","January",21.4299669458115,50.3480040834097,-7.44299018192361,-4.57166657562098,13.9869767638879
2022-01-01,2022,"Q1","2021/22","Q3","January",20.2367971120735,50.1664991763126,-5.96249543167392,-2.85737264308153,14.2743016803996
2023-01-01,2023,"Q1","2022/23","Q3","January",18.9982465721509,50.203657330506,-4.8628987391351,-1.67788746025013,14.1353478330158
2024-01-01,2024,"Q1","2023/24","Q3","January",20.4635757611615,51.8258378803369,-5.84851090281018,-2.16688481766849,14.6150648583513
2025-01-01,2025,"Q1","2024/25","Q3","January",21.3851260119517,53.9558202446131,-6.70427008805014,-2.18155865894026,14.6808559239016
2026-01-01,2026,"Q1","2025/26","Q3","January",21.0525374386351,54.590685629888,-5.35335910318112,-0.513884298952966,15.699178335454
2027-01-01,2027,"Q1","2026/27","Q3","January",21.2046655030183,54.0589441620657,-4.79996363266292,0.245502977489487,16.4047018703554
2028-01-01,2028,"Q1","2027/28","Q3","January",20.8481969212703,53.7262587910867,-4.26842880039223,0.860686716373797,16.579768120878
2029-01-01,2029,"Q1","2028/29","Q3","January",21.1302252513671,53.1890705045216,-4.44956653206566,0.700304384163177,16.6806587193014
2030-01-01,2030,"Q1","2029/30","Q3","January",20.8008611550128,52.7186110957584,-4.04071245661045,1.22353113831649,16.7601486984024
