"Date","Year","Quarter","FY","QFY","Month","GRTTC_G14_XDC","GROPD_G14_XDC","GRTGSE_G14_XDC","GRTGSG_G14_XDC","GRG_CA_G14_XDC","GRG_G14_XDC","GRG_FG_G14_XDC","GRGK_FG_G14_XDC","GRGC_FG_G14_XDC","GRG_IO_G14_XDC","GRGK_IO_G14_XDC","GRGC_IO_G14_XDC","GRG_GG_G14_XDC","GRGK_GG_G14_XDC","GRGC_GG_G14_XDC","GRSOI_G14_XDC","GROPI_G14_XDC","GROPI_NRES_G14_XDC","GROPI_GG_G14_XDC","GROPI_NGG_G14_XDC","GRTPR_G14_XDC","GRO_G14_XDC","GRSO_G14_XDC","GRSOE_G14_XDC","GRSOR_G14_XDC","GRTO_G14_XDC","GRTGSO_G14_XDC","GRTTO_G14_XDC","GROPN_G14_XDC","GROP_G14_XDC","GRTPP_G14_XDC","GRTPW_G14_XDC","GROPE_G14_XDC","GROPR_G14_XDC","GR_G14_XDC","GROOC_G14_XDC","GROOPC_G14_XDC","GROOPF_G14_XDC","GROOPP_G14_XDC","GROO_G14_XDC","GROOP_G14_XDC","GROSA_G14_XDC","GROF_G14_XDC","GROTCO_G14_XDC","GROTCS_G14_XDC","GROT_G14_XDC","GROTK_G14_XDC","GROTC_G14_XDC","GROS_G14_XDC","GROSM_G14_XDC","GROSN_G14_XDC","GRTGSGS_G14_XDC","GRSSS_G14_XDC","GRS_G14_XDC","GRSS_G14_XDC","GRSSR_G14_XDC","GRSSE_G14_XDC","GRT_G14_XDC","GRTPN_G14_XDC","GRTGSP_G14_XDC","GRTPE_G14_XDC","GRTTXP_G14_XDC","GRTTE_G14_XDC","GRTPF_G14_XDC","GRTTXT_G14_XDC","GRTGS_G14_XDC","GRTI_G14_XDC","GRTIC_G14_XDC","GRTII_G14_XDC","GRTIU_G14_XDC","GRTT_G14_XDC","GRTPAY_G14_XDC","GRTTP_G14_XDC","GRTP_G14_XDC","GRTGSS_G14_XDC","GRTGSU_G14_XDC","GRTGSUO_G14_XDC","GRTGSUM_G14_XDC","GRTGSGT_G14_XDC","GRSSU_G14_XDC","GRTGSGV_G14_XDC","GROPW_G14_XDC","GRTTC_G14_GDP_PT","GROPD_G14_GDP_PT","GRTGSE_G14_GDP_PT","GRTGSG_G14_GDP_PT","GRG_CA_G14_GDP_PT","GRG_G14_GDP_PT","GRG_FG_G14_GDP_PT","GRGK_FG_G14_GDP_PT","GRGC_FG_G14_GDP_PT","GRG_IO_G14_GDP_PT","GRGK_IO_G14_GDP_PT","GRGC_IO_G14_GDP_PT","GRG_GG_G14_GDP_PT","GRGK_GG_G14_GDP_PT","GRGC_GG_G14_GDP_PT","GRSOI_G14_GDP_PT","GROPI_G14_GDP_PT","GROPI_NRES_G14_GDP_PT","GROPI_GG_G14_GDP_PT","GROPI_NGG_G14_GDP_PT","GRTPR_G14_GDP_PT","GRO_G14_GDP_PT","GRSO_G14_GDP_PT","GRSOE_G14_GDP_PT","GRSOR_G14_GDP_PT","GRTO_G14_GDP_PT","GRTGSO_G14_GDP_PT","GRTTO_G14_GDP_PT","GROPN_G14_GDP_PT","GROP_G14_GDP_PT","GRTPP_G14_GDP_PT","GRTPW_G14_GDP_PT","GROPE_G14_GDP_PT","GROPR_G14_GDP_PT","GR_G14_GDP_PT","GROOC_G14_GDP_PT","GROOPC_G14_GDP_PT","GROOPF_G14_GDP_PT","GROOPP_G14_GDP_PT","GROO_G14_GDP_PT","GROOP_G14_GDP_PT","GROSA_G14_GDP_PT","GROF_G14_GDP_PT","GROTCO_G14_GDP_PT","GROTCS_G14_GDP_PT","GROT_G14_GDP_PT","GROTK_G14_GDP_PT","GROTC_G14_GDP_PT","GROS_G14_GDP_PT","GROSM_G14_GDP_PT","GROSN_G14_GDP_PT","GRTGSGS_G14_GDP_PT","GRSSS_G14_GDP_PT","GRS_G14_GDP_PT","GRSS_G14_GDP_PT","GRSSR_G14_GDP_PT","GRSSE_G14_GDP_PT","GRT_G14_GDP_PT","GRTPN_G14_GDP_PT","GRTGSP_G14_GDP_PT","GRTPE_G14_GDP_PT","GRTTXP_G14_GDP_PT","GRTTE_G14_GDP_PT","GRTPF_G14_GDP_PT","GRTTXT_G14_GDP_PT","GRTGS_G14_GDP_PT","GRTI_G14_GDP_PT","GRTIC_G14_GDP_PT","GRTII_G14_GDP_PT","GRTIU_G14_GDP_PT","GRTT_G14_GDP_PT","GRTPAY_G14_GDP_PT","GRTTP_G14_GDP_PT","GRTP_G14_GDP_PT","GRTGSS_G14_GDP_PT","GRTGSU_G14_GDP_PT","GRTGSUO_G14_GDP_PT","GRTGSUM_G14_GDP_PT","GRTGSGT_G14_GDP_PT","GRSSU_G14_GDP_PT","GRTGSGV_G14_GDP_PT","GROPW_G14_GDP_PT"
1998-01-01,1998,"Q1","1997/98","Q3","January",78.1,0,304.1,247.2,,397.7,397.7,204.3,193.4,0,0,0,0,0,0,0,0,0,0,0,0,46.3,0,0,0,13.6,0,0,0,0,5.5,0,0,0,1202.9,,,,,,,44,0,,,2.3,0,,44,,,,0,0,0,0,0,758.9,4.1,0,0,0,0.3,0,0,542,115.3,34,48.4,32.9,78.4,0,0,9.6,0,-9.3,,,,0,,0,0.765074438348965,0,2.97899022665711,2.42159284455652,,3.8959040221688,3.8959040221688,2.00134068828033,1.89456333388847,0,0,0,0,0,0,0,0,0,0,0,0,0.453558853976403,0,0,0,0.133226790800844,0,0,0,0,0.0538784815738707,0,0,0,11.7837137245835,,,,,,,0.431027852590966,0,,,0.0225310013854369,0,,0.431027852590966,,,,0,0,0,0,0,7.43425084843827,0.0401639589914309,0,0,0,0.00293882626766568,0,0,5.30947945691599,1.12948889553951,0.33306697700211,0.474130637850063,0.322291280687336,0.76801326461663,0,0,0.0940424405653017,0,-0.091103614297636,,,,0,,0
1999-01-01,1999,"Q1","1998/99","Q3","January",,,129.645270599,298.540011177,,406.936291222,,,,,,,0,0,0,,,,,,0,15.10032807,0,0,0,2.486477097,,,,,0,0,,,1357.59477001,,,,,,,,,,,,,,,,,0,0,0,0,0,0,935.558150718,0,25.831529255,0,,,0,,452.065377376,148.267347101,,,,332.738949144,0,,0,,0,0,0,0,0,298.540011177,,,,1.13917716882277,2.6232346397336,,3.57569952211656,,,,,,,0,0,0,,,,,,0,0.132684739671563,0,0,0,0.0218483707628975,,,,,0,0,,,11.9290195420405,,,,,,,,,,,,,,,,,0,0,0,0,0,0,8.22063528025232,0,0.226978494681012,0,,,0,,3.9722432938943,1.30280708211722,,,,2.92373653347791,0,,0,,0,0,0,0,0,2.6232346397336,
2000-01-01,2000,"Q1","1999/00","Q3","January",,,131.376221175,313.126716704,,586.04464258488,,,,,,,0,0,0,,,,,,0,32.25354,0,0,0,2.157777314,0,,,,0,0,,,1596.30308824288,,,,,,,,,,,,,,,,,0,0,0,0,0,0,978.004905658,0,26.387971264,0,,,0,,468.972233426,158.555719005,,,,348.319175913,0,,0,0,0,0,0,0,0,313.126716704,,,,1.03001641726504,2.45497743811491,,4.59470974057455,,,,,,,0,0,0,,,,,,0,0.252874343757092,0,0,0,0.016917415026434,0,,,,0,0,,,12.5153423741033,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7.66775828977171,0,0.206887086393152,0,,,0,,3.67683813212123,1.24310923366313,,,,2.7308935089609,0,,0,0,0,0,0,0,0,2.45497743811491,
2001-01-01,2001,"Q1","2000/01","Q3","January",382.199457,0,125.569568,339.198689,1448.72321362716,1448.72321362716,,,,,,,628.683262161999,334.019741822192,294.663520339807,,0,0,0,0,0,8.31579306,0,0,0,0,0,0,0,0,0,0,,0,2531.93688168716,0,0,0,0,0,0,0,0,,,8.31579306,0,8.31579306,0,0,0,0,0,0,0,0,0,1074.897875,0,0,0,0,0,0,0,492.770073,199.928345,193.678336,6.250009,0,382.199457,0,0,0,0,28.001816,2.289818,25.711998,0,0,339.198689,0,2.77853084547936,0,0.912871307249182,2.46592192341252,10.5319933398677,10.5319933398677,,,,,,,4.57042992594754,2.42827177970588,2.14215814624166,,0,0,0,0,0,0.0604545273381515,0,0,0,0,0,0,0,0,0,0,,0,18.4067889049214,0,0,0,0,0,0,0,0,,,0.0604545273381515,0,0.0604545273381515,0,0,0,0,0,0,0,0,0,7.81434103771559,0,0,0,0,0,0,0,3.58236209519161,1.45344809704462,1.40801149980994,0.0454365972346831,0,2.77853084547936,0,0,0,0,0.203568864529908,0.0166466221419405,0.186922242387967,0,0,2.46592192341252,0
2002-01-01,2002,"Q1","2001/02","Q3","January",385.682041,0,139.264987,392.903959,1286.47187808,1286.47187808,,,,,,,531.70712608,287.163806233289,244.543319846711,,0,0,0,0,0,41.4282747,0,0,0,0,0,0,0,0,0,0,,0,2539.88489078,0,0,0,0,0,0,0,0,,,41.4282747,0,41.4282747,0,0,0,0,0,0,0,0,0,1211.984738,0,0,0,0,0,0,0,567.030118,259.272579,252.708323,6.564256,0,385.682041,0,0,0,0,34.861172,3.079763,31.781409,0,0,392.903959,0,2.54662578425071,0,0.919554889872459,2.59431149588732,8.4944646293032,8.4944646293032,,,,,,,3.51081702802224,1.8961182412361,1.61469878678614,,0,0,0,0,0,0.273547381865368,0,0,0,0,0,0,0,0,0,0,,0,16.7706443761771,0,0,0,0,0,0,0,0,,,0.273547381865368,0,0.273547381865368,0,0,0,0,0,0,0,0,0,8.00263236500852,0,0,0,0,0,0,0,3.74405174584088,1.71195483491693,1.66861160965117,0.0433432252657635,0,2.54662578425071,0,0,0,0,0.230185360081101,0.0203354137124091,0.209849946368692,0,0,2.59431149588732,0
2003-01-01,2003,"Q1","2002/03","Q3","January",429.782758216,0,148.053340197,458.881933715333,1269.11281424,1269.11281424,,,,,,,516.62084864,251.299105846251,265.321742793749,,0,0,0,0,0,24.66489449,0,0,0,5.3,0,0,0,0,0,0,,0,2695.05681984833,0,0,0,0,0,0,0,0,,,24.66489449,0,24.66489449,0,0,0,0,0,0,0,0,0,1401.27911111833,0,0,0,0,0,0,0,647.508118658333,318.715823879,299.632007504,19.083816375,0,429.782758216,0,0,0,0,40.572844746,0,40.572844746,0,0,458.881933715333,0,2.50854083544211,0,0.864152511025395,2.6783858760407,7.40751288515829,7.40751288515829,,,,,,,3.0153943369754,1.46677375226064,1.54862058471476,,0,0,0,0,0,0.143963185696109,0,0,0,0.0309348529546205,0,0,0,0,0,0,,0,15.7304125332745,0,0,0,0,0,0,0,0,,,0.143963185696109,0,0.143963185696109,0,0,0,0,0,0,0,0,0,8.17893646242015,0,0,0,0,0,0,0,3.77935253539971,1.86026927283162,1.74888152691207,0.111387745919548,0,2.50854083544211,0,0,0,0,0.236814148333614,0,0.236814148333614,0,0,2.6783858760407,0
2004-01-01,2004,"Q1","2003/04","Q3","January",211.219413883,0,448.114928841,518.178606098,1147.42435743634,1147.42435743634,,,,,,,0,0,0,,0,0,0,0,0,27.2,0,0,0,5.181608829,0,0,0,0,0,0,,0,2816.68031935834,0,0,0,0,0,0,0,0,,,27.2,0,27.2,0,0,0,0,0,0,0,0,0,1642.055961922,0,0,0,0,1.390053415,0,0,1021.769679117,402.495206678,121.580981127,205.575265875,75.338959676,212.609467298,0,0,0,0,55.476144178,3.37830946,52.097834718,0,0,518.178606098,0,1.08537638839178,0,2.30269251347937,2.66272315451113,5.89617820697518,5.89617820697518,,,,,,,0,0,0,,0,0,0,0,0,0.139770474794564,0,0,0,0.0266263208172439,0,0,0,0,0,0,,0,14.473850940486,0,0,0,0,0,0,0,0,,,0.139770474794564,0,0.139770474794564,0,0,0,0,0,0,0,0,0,8.43790225871627,0,0,0,0,0.00714295683104247,0,0,5.25048651400266,2.06827007867354,0.624758509489328,1.05637325431498,0.387138314869229,1.09251934522282,0,0,0,0,0.28507084601216,0.0173598498980576,0.267710996114102,0,0,2.66272315451113,0
2005-01-01,2005,"Q1","2004/05","Q3","January",220.855299996,5.3,502.471740586,575.150891511081,1177.11874301118,1177.11874301118,497.818743011176,,,679.3,,,0,0,0,,0.6,,,,0,26.783,0,0,0,6.946092889,0,0,0,9.4,0,0,,3.5,3091.38363189426,0,0,0,0,0,0,12.9,0.6,,,0.383,0,0.383,16.4,0.2,3.4,0,0,0,0,0,0,1887.48188888308,0,0,0,0,1.139044474,0,0,1145.49508471808,513.046366806,160.020182447,250.317429172,102.708755187,221.99434447,0,0,0,0,67.872452621,3.869139426,64.003313195,0,0,575.150891511081,0,0.99544231292149,0.0238882393068197,2.26474814793068,2.59232870451837,5.3055272123762,5.3055272123762,2.24377608763606,,,3.06175112474011,,,0,0,0,,0.00270432897813053,,,,0,0.120716738368783,0,0,0,0.0313075338075152,0,0,0,0.0423678206573783,0,0,,0.0157752523724281,13.9335305637501,0,0,0,0,0,0,0.0581430730298064,0.00270432897813053,,,0.00172626333103999,0,0.00172626333103999,0.0739183254022345,0.000901442992710176,0.015324530876073,0,0,0,0,0,0,8.5072866130051,0,0,0,0,0.00513391829736274,0,0,5.16299258651531,2.31241026146342,0.72124536079526,1.12823446240163,0.462930438266531,1.00057623121885,0,0,0,0,0.305915734066269,0.0174390431169319,0.288476690949338,0,0,2.59232870451837,0
2006-01-01,2006,"Q1","2005/06","Q3","January",273.10128347,2.5,566.772851826,695.825286121,895.6,895.6,411.4,,,484.2,,,0,0,0,,0.4,0,0,0,0,82,0,0,0,8.412183438,0,0,0,6.2,0,0,,3.4,3208.608956392,0,0,0,0,0,0,9.4,1.1,,,61.1,0,61.1,13.6,1.5,2.6,0,0,0,0,0,0,2231.008956392,0,0,0,0,2.037068362,0,0,1342.843358521,604.615062601,182.173852198,307.565898982,114.875311421,275.138351832,0,0,0,0,80.245220574,17.034790843,63.210429731,0,0,695.825286121,0,1.05913443986104,0.00969543630849858,2.19804403450603,2.69853189737158,3.47329310315653,3.47329310315653,1.59548099892653,,,1.87781210423001,,,0,0,0,,0.00155126980935977,0,0,0,0,0.318010310918753,0,0,0,0.0326239154954143,0,0,0,0.0240446820450765,0,0,,0.0131857933795581,12.4435455102307,0,0,0,0,0,0,0.0364548405199547,0.00426599197573938,,,0.236956463379705,0,0.236956463379705,0.0527431735182323,0.00581726178509915,0.0100832537608385,0,0,0,0,0,0,8.65224209615541,0,0,0,0,0.00790010662393141,0,0,5.20778090193227,2.34480273224275,0.706501992423817,1.19279423369844,0.445506506120498,1.06703454648497,0,0,0,0,0.311204970054655,0.0660638918587605,0.245141078195894,0,0,2.69853189737158,0
2007-01-01,2007,"Q1","2006/07","Q3","January",313.538781357,7.242716,653.12433755,827.348818322,733.223188538292,733.223188538292,282.976340415701,,,450.246848122591,,,0,0,0,,0.600813172,0,0,0,0,96.542064938,0,0,0,13.473942137,0,0,0,13.095188131,0,0,,5.251658959,3455.58705227829,0,0,0,0,0,0,16.901411726,1.323927605,,,62.102498938,0,62.102498938,20.020450264,0.178083478,2.94095506,0,0,0,0,0,0,2625.821798802,0,0,0,0,2.432070783,0,0,1568.98511619,727.391888335,195.005095718,368.62749925,163.759293367,315.97085214,0,0,0,0,88.511960318,0,88.511960318,0,0,827.348818322,0,1.03883250179055,0.0239969318930009,2.16396449147649,2.74121382710958,2.42935204386343,2.42935204386343,0.937571481235245,,,1.49178056262818,,,0,0,0,,0.00199064449978459,0,0,0,0,0.319868038057388,0,0,0,0.0446425445636449,0,0,0,0.0433876376908387,0,0,,0.0174000612980532,11.4492252828715,0,0,0,0,0,0,0.0559986096492515,0.00438650370502568,,,0.20576113123866,0,0.20576113123866,0.0663327654228634,0.000590035159853668,0.0097441206137582,0,0,0,0,0,0,8.70000520095067,0,0,0,0,0.00805805956475558,0,0,5.19844060906758,2.41003148596414,0.646100717014579,1.22135521997404,0.542575548975529,1.0468905613553,0,0,0,0,0.293262290481505,0,0.293262290481505,0,0,2.74121382710958,0
