"Date","Year","Quarter","FY","QFY","Month","PCTOT_EX_GDP","PCTOT_EX","PCTOT_IM_GDP","PCTOT_IM","PCTOT_NEX_GDP","PCTOT_NEX"
1980-01-01,1980,"Q1","1979/80","Q3","January",104.901931762695,270.683898925781,97.3159332275391,123.667640686035,107.655380249023,371.205291748047
1980-02-01,1980,"Q1","1979/80","Q3","February",104.828018188477,264.701995849609,97.3017349243164,120.515335083008,107.601669311523,365.426727294922
1980-03-01,1980,"Q1","1979/80","Q3","March",104.984710693359,277.407318115234,97.2911911010742,117.768188476563,107.751243591309,381.740417480469
1980-04-01,1980,"Q2","1979/80","Q4","April",104.830017089844,264.875885009766,97.2807388305664,115.339569091797,107.624450683594,367.86669921875
1980-05-01,1980,"Q2","1979/80","Q4","May",104.983558654785,277.279327392578,97.2816390991211,116.066314697266,107.75749206543,382.437286376953
1980-06-01,1980,"Q2","1979/80","Q4","June",104.821495056152,264.190216064453,97.2780532836914,115.159317016602,107.618103027344,367.185821533203
1980-07-01,1980,"Q3","1980/81","Q1","July",104.34920501709,229.32731628418,97.2635116577148,111.700042724609,107.214546203613,326.275787353516
1980-08-01,1980,"Q3","1980/81","Q1","August",103.943916320801,202.929702758789,97.2490463256836,108.615219116211,106.868171691895,294.712829589844
1980-09-01,1980,"Q3","1980/81","Q1","September",103.715660095215,189.400207519531,97.2230453491211,103.243865966797,106.68962097168,279.618896484375
1980-10-01,1980,"Q4","1980/81","Q2","October",103.70093536377,188.560028076172,97.2409820556641,107.240943908691,106.659194946289,277.122467041016
1980-11-01,1980,"Q4","1980/81","Q2","November",103.426712036133,173.539749145508,97.2666397094727,112.889862060547,106.392288208008,256.129455566406
1980-12-01,1980,"Q4","1980/81","Q2","December",103.496559143066,177.268203735352,97.2694625854492,113.159629821777,106.45304107666,260.767913818359
1981-01-01,1981,"Q1","1980/81","Q3","January",103.618148803711,183.356506347656,97.269645690918,113.093925476074,106.550895690918,268.194366455078
1981-02-01,1981,"Q1","1980/81","Q3","February",103.452598571777,175.065414428711,97.2498168945313,110.05199432373,106.43318939209,259.285858154297
1981-03-01,1981,"Q1","1980/81","Q3","March",103.417434692383,173.313903808594,97.236198425293,107.836402893066,106.415855407715,257.998687744141
1981-04-01,1981,"Q2","1980/81","Q4","April",103.415260314941,173.164215087891,97.2252655029297,105.933456420898,106.423393249512,258.557403564453
1981-05-01,1981,"Q2","1980/81","Q4","May",103.297302246094,167.526748657227,97.188346862793,100.722175598145,106.357452392578,253.705718994141
1981-06-01,1981,"Q2","1980/81","Q4","June",102.635711669922,139.22314453125,97.1690979003906,98.3597564697266,105.838554382324,218.480514526367
1981-07-01,1981,"Q3","1981/82","Q1","July",102.807334899902,146.050842285156,97.1514129638672,96.0589599609375,105.990333557129,228.261795043945
1981-08-01,1981,"Q3","1981/82","Q1","August",102.904907226563,150.045959472656,97.1575012207031,97.0178070068359,106.063140869141,233.103302001953
1981-09-01,1981,"Q3","1981/82","Q1","September",102.897064208984,149.676177978516,97.1533737182617,96.4377593994141,106.05982208252,232.880447387695
1981-10-01,1981,"Q4","1981/82","Q2","October",103.225227355957,164.029541015625,97.1563186645508,97.0222702026367,106.320983886719,251.060577392578
1981-11-01,1981,"Q4","1981/82","Q2","November",103.463119506836,175.240036010742,97.1706008911133,99.0362777709961,106.500480651855,264.344055175781
1981-12-01,1981,"Q4","1981/82","Q2","December",103.415824890137,172.901214599609,97.1691207885742,99.2960052490234,106.461486816406,261.401824951172
1982-01-01,1982,"Q1","1981/82","Q3","January",103.4853515625,176.327484130859,97.1628952026367,98.6194534301758,106.522926330566,265.902191162109
1982-02-01,1982,"Q1","1981/82","Q3","February",103.780235290527,191.533737182617,97.1035308837891,92.5287322998047,106.808746337891,287.841949462891
1982-03-01,1982,"Q1","1981/82","Q3","March",103.649032592773,184.541366577148,97.0649108886719,88.414421081543,106.734756469727,282.000579833984
1982-04-01,1982,"Q2","1981/82","Q4","April",103.514686584473,177.711807250977,97.0807189941406,89.65380859375,106.615127563477,272.797210693359
1982-05-01,1982,"Q2","1981/82","Q4","May",103.413726806641,172.782455444336,97.1100616455078,92.2724685668945,106.512237548828,265.114471435547
1982-06-01,1982,"Q2","1981/82","Q4","June",103.461845397949,175.107009887695,97.093505859375,90.2904510498047,106.565856933594,269.091796875
1982-07-01,1982,"Q3","1982/83","Q1","July",103.303291320801,167.453491210938,97.0851135253906,89.7280578613281,106.442878723145,260.053619384766
1982-08-01,1982,"Q3","1982/83","Q1","August",103.413536071777,172.732925415039,97.0634078979492,87.5090560913086,106.550537109375,267.94970703125
1982-09-01,1982,"Q3","1982/83","Q1","September",103.620452880859,183.12516784668,97.0737380981445,88.3062057495117,106.711357116699,280.177001953125
1982-10-01,1982,"Q4","1982/83","Q2","October",103.784049987793,191.773254394531,97.0813827514648,89.1867065429688,106.83723449707,290.122528076172
1982-11-01,1982,"Q4","1982/83","Q2","November",103.843147277832,194.965286254883,97.0820999145508,89.3278274536133,106.883682250977,293.878112792969
1982-12-01,1982,"Q4","1982/83","Q2","December",103.907577514648,198.504928588867,97.0540466308594,86.5639114379883,106.958854675293,300.055267333984
1983-01-01,1983,"Q1","1982/83","Q3","January",103.756370544434,191.85969543457,97.0383758544922,85.3971862792969,106.832145690918,293.173156738281
1983-02-01,1983,"Q1","1982/83","Q3","February",103.664276123047,187.869354248047,97.0063705444336,83.2617340087891,106.776321411133,290.189086914063
1983-03-01,1983,"Q1","1982/83","Q3","March",103.592765808105,184.834426879883,96.98681640625,81.8928985595703,106.728660583496,287.663604736328
1983-04-01,1983,"Q2","1982/83","Q4","April",103.598556518555,185.120468139648,97.0323028564453,85.0987396240234,106.68675994873,285.461059570313
1983-05-01,1983,"Q2","1982/83","Q4","May",103.700531005859,189.421524047852,97.0544052124023,87.1024398803711,106.756248474121,289.122650146484
1983-06-01,1983,"Q2","1982/83","Q4","June",103.627006530762,186.315933227539,97.0668106079102,88.1848220825195,106.671859741211,284.681274414063
1983-07-01,1983,"Q3","1983/84","Q1","July",103.649391174316,187.273910522461,97.0789794921875,89.0075378417969,106.681221008301,285.170501708984
1983-08-01,1983,"Q3","1983/84","Q1","August",103.657745361328,187.633224487305,97.1044235229492,90.8470153808594,106.663185119629,284.228424072266
1983-09-01,1983,"Q3","1983/84","Q1","September",103.715774536133,190.079681396484,97.0869903564453,89.3827285766602,106.737586975098,288.134307861328
1983-10-01,1983,"Q4","1983/84","Q2","October",103.991355895996,202.203948974609,97.0650939941406,87.851936340332,107.020713806152,303.470153808594
1983-11-01,1983,"Q4","1983/84","Q2","November",104.036422729492,204.251068115234,97.0308532714844,85.2227783203125,107.100769042969,307.944702148438
1983-12-01,1983,"Q4","1983/84","Q2","December",104.118804931641,208.033828735352,97.0063858032227,83.4235992431641,107.205139160156,313.872772216797
1984-01-01,1984,"Q1","1983/84","Q3","January",104.090255737305,206.38249206543,97.0042266845703,83.2182846069336,107.179832458496,312.133697509766
1984-02-01,1984,"Q1","1983/84","Q3","February",104.14729309082,209.72575378418,96.9996948242188,82.8144302368164,107.24144744873,316.384063720703
1984-03-01,1984,"Q1","1983/84","Q3","March",104.19002532959,212.268173217773,97.0087966918945,83.5886383056641,107.273986816406,318.651000976563
1984-04-01,1984,"Q2","1983/84","Q4","April",104.18824005127,212.162322998047,97.0072631835938,83.4465103149414,107.274147033691,318.662414550781
1984-05-01,1984,"Q2","1983/84","Q4","May",104.320007324219,220.152496337891,96.9970092773438,82.5634231567383,107.41544342041,328.688323974609
1984-06-01,1984,"Q2","1983/84","Q4","June",104.250617980957,215.889099121094,96.9826126098633,81.3489379882813,107.36238861084,324.889373779297
1984-07-01,1984,"Q3","1984/85","Q1","July",104.137504577637,209.099685668945,96.938102722168,77.6626434326172,107.299530029297,320.441772460938
1984-08-01,1984,"Q3","1984/85","Q1","August",104.186210632324,211.991485595703,96.9351959228516,77.4002227783203,107.351539611816,324.117309570313
1984-09-01,1984,"Q3","1984/85","Q1","September",104.181861877441,211.740646362305,96.9358520507813,77.4467391967773,107.346702575684,323.773345947266
1984-10-01,1984,"Q4","1984/85","Q2","October",104.041442871094,203.531158447266,96.9364700317383,77.5173110961914,107.206726074219,313.982360839844
1984-11-01,1984,"Q4","1984/85","Q2","November",104.090339660645,206.338287353516,96.9175720214844,75.9974594116211,107.275947570801,318.788513183594
1984-12-01,1984,"Q4","1984/85","Q2","December",103.989845275879,200.574295043945,96.8777160644531,72.9097518920898,107.220489501953,314.932342529297
1985-01-01,1985,"Q1","1984/85","Q3","January",104.038131713867,202.707015991211,96.8802871704102,73.0781402587891,107.266716003418,317.438812255859
1985-02-01,1985,"Q1","1984/85","Q3","February",103.961494445801,199.326843261719,96.915771484375,75.4918518066406,107.149971008301,311.145202636719
