"Date","Year","Quarter","FY","QFY","Month","RNNA","KPRIV_PCH","KPUBL_PCH","RNNA_PCH","KPRIV_GDP","KPRIV","PRIV_RINV_GDP","PRIV_RINV","KPUBL_GDP","KPUBL","PUBL_RINV_GDP","PUBL_RINV","RINV","RNNA_GDP","RINV_GDP"
1960-01-01,1960,"Q1","1959/60","Q3","January",10.6488885879517,3.16456031799316,4.69376039505005,3.39249324798584,131.084686279297,9.05123710632324,14.8515195846558,1.17631840705872,23.1380081176758,1.59765112400055,2.16535401344299,0.171507388353348,1.34782564640045,154.222702026367,17.0168724060059
1961-01-01,1961,"Q1","1960/61","Q3","January",11.1648721694946,4.56678771972656,5.66078901290894,4.73169088363647,136.661315917969,9.47417163848877,16.967945098877,1.24647843837738,24.3876991271973,1.69069957733154,2.47392892837524,0.181736722588539,1.42821514606476,161.049041748047,19.4418716430664
1962-01-01,1962,"Q1","1961/62","Q3","January",11.730809211731,4.80491781234741,5.7239351272583,4.94462108612061,135.558670043945,9.94051170349121,16.9982147216797,1.53450846672058,24.4142684936523,1.79029738903046,2.47834205627441,0.223731562495232,1.75823998451233,159.972930908203,19.4765567779541
1963-01-01,1963,"Q1","1962/63","Q3","January",12.5791997909546,6.91821193695068,7.33932876586914,6.98259925842285,131.049057006836,10.6525640487671,18.8776969909668,2.06362318992615,23.7016849517822,1.92663514614105,2.75237107276917,0.300876587629318,2.36450004577637,154.750747680664,21.6300678253174
1964-01-01,1964,"Q1","1963/64","Q3","January",13.9475231170654,10.3659172058105,10.1032581329346,10.3257303237915,135.015365600586,11.8160619735718,23.5798377990723,2.00064587593079,24.35498046875,2.13146090507507,3.43794417381287,0.291694462299347,2.29234027862549,159.370346069336,27.017786026001
1965-01-01,1965,"Q1","1964/65","Q3","January",15.1182403564453,8.02176761627197,8.2716817855835,8.06000518798828,142.326629638672,12.8029737472534,22.240550994873,1.9804869890213,25.7380790710449,2.31526565551758,3.24267554283142,0.288755267858505,2.26924228668213,168.064712524414,25.4832248687744
1966-01-01,1966,"Q1","1965/66","Q3","January",16.1683559417725,6.63940238952637,7.13464975357056,6.71540117263794,142.069000244141,13.6818685531616,20.5648670196533,2.2829852104187,25.8190422058105,2.48648715019226,2.99836015701294,0.332859575748444,2.6158447265625,167.888046264648,23.5632266998291
1967-01-01,1967,"Q1","1966/67","Q3","January",17.4698295593262,7.70522785186768,7.94365644454956,7.74193716049194,143.517761230469,14.7777662277222,22.1717491149902,2.38947534561157,26.1445960998535,2.69206213951111,3.2326443195343,0.348385900259018,2.7378613948822,169.662368774414,25.4043941497803
1968-01-01,1968,"Q1","1967/68","Q3","January",18.7710838317871,7.13103628158569,7.47570610046387,7.18422222137451,150.426223754883,15.8700571060181,22.64892578125,2.81990265846252,27.4977207183838,2.90102624893188,3.30221700668335,0.411142230033875,3.23104500770569,177.923950195313,25.9511432647705
1969-01-01,1969,"Q1","1968/69","Q3","January",20.4378814697266,8.49995422363281,8.54714393615723,8.50725173950195,149.457672119141,17.2779941558838,24.392650604248,2.41099739074707,27.3335666656494,3.15988612174988,3.55645227432251,0.351523786783218,2.76252102851868,176.791244506836,27.949104309082
1970-01-01,1970,"Q1","1969/70","Q3","January",21.5124607086182,5.00875043869019,5.75332403182983,5.12422227859497,155.611740112305,18.1654453277588,20.653470993042,2.47454047203064,28.6717433929443,3.34701609611511,3.01127910614014,0.360788553953171,2.83532905578613,184.283477783203,23.6647491455078
1971-01-01,1971,"Q1","1970/71","Q3","January",22.6050605773926,4.8497200012207,5.51899814605713,4.95414638519287,158.988616943359,19.0681304931641,20.6325302124023,2.47231411933899,29.4906558990479,3.53693032264709,3.00822734832764,0.360463887453079,2.83277821540833,188.479263305664,23.6407566070557
1972-01-01,1972,"Q1","1971/72","Q3","January",23.6516208648682,4.42291116714478,5.07858943939209,4.52578496932983,166.178375244141,19.9304256439209,20.6139659881592,2.47378325462341,31.0270481109619,3.721195936203,3.00552034378052,0.360677748918533,2.83446097373962,197.205413818359,23.6194877624512
1973-01-01,1973,"Q1","1972/73","Q3","January",24.7013206481934,4.25393772125244,4.81552791595459,4.34250593185425,173.400009155273,20.7965450286865,20.6262168884277,2.47368931770325,32.5577239990234,3.90477585792542,3.00730347633362,0.360664308071136,2.83435344696045,205.957733154297,23.6335201263428
1974-01-01,1974,"Q1","1973/74","Q3","January",25.7636661529541,4.13703298568726,4.60307264328003,4.21085023880005,180.724075317383,21.6749496459961,20.6254329681396,2.44398331642151,34.0914077758789,4.08871650695801,3.00719141960144,0.356332808732986,2.80031609535217,214.815475463867,23.6326217651367
1975-01-01,1975,"Q1","1974/75","Q3","January",26.7911739349365,3.84096503257751,4.27976083755493,3.91072916984558,190.338485717773,22.5236721038818,20.6531200408936,2.44805932044983,36.0629463195801,4.26750230789185,3.01122522354126,0.356927573680878,2.80498671531677,226.401428222656,23.6643447875977
1976-01-01,1976,"Q1","1975/76","Q3","January",27.8059635162354,3.65238165855408,4.06235265731812,3.71780109405518,197.418899536133,23.3615303039551,20.6875648498535,2.47575950622559,37.5581130981445,4.44443273544312,3.0162513256073,0.3609659075737,2.83672523498535,234.977020263672,23.7038135528564
1977-01-01,1977,"Q1","1976/77","Q3","January",28.8289699554443,3.55350589752197,3.92537212371826,3.61302709579468,201.832870483398,24.2066097259521,20.6426944732666,2.39548349380493,38.5409049987793,4.62236261367798,3.0097062587738,0.349261671304703,2.74474501609802,240.373748779297,23.6523990631104
1978-01-01,1978,"Q1","1977/78","Q3","January",29.7200584411621,2.96919751167297,3.43567848205566,3.04414033889771,216.578674316406,24.936128616333,20.8055801391602,2.15775799751282,41.5500602722168,4.78393173217773,3.03345537185669,0.314601451158524,2.4723596572876,258.128723144531,23.8390350341797
