"Date","Year","Quarter","FY","QFY","Month","GDP_FY_US","GNI_FY_US","GNS_FY_US","CONS_FIX_CAP_FY_US","NNS_FY_US","EDU_EXP_FY_US","NNS_EDU_EXP_FY_US","NET_FOR_DEP_FY_US","ENERGY_DEP_FY_US","MIN_DEP_FY_US","TOT_NAT_CAP_DEP_FY_US","DAS_FY_US","CO2_DAM_FY_US","AIR_POLL_DAM_FY_US","POLL_DAM_FY_US","ANS_FY_US","NNI_FY_US","ANNS_FY_US","GDP_FY_UG","GNI_FY_UG","GNS_FY_UG","CONS_FIX_CAP_FY_UG","NNS_FY_UG","EDU_EXP_FY_UG","NNS_EDU_EXP_FY_UG","NET_FOR_DEP_FY_UG","ENERGY_DEP_FY_UG","MIN_DEP_FY_UG","TOT_NAT_CAP_DEP_FY_UG","DAS_FY_UG","CO2_DAM_FY_UG","AIR_POLL_DAM_FY_UG","POLL_DAM_FY_UG","ANS_FY_UG","NNI_FY_UG","ANNS_FY_UG"
1992-07-01,1992,"Q3","1992/93","Q1","July",3038.94840304935,2970.99840440534,444.788832829699,,,,,,0,0,,,,66.1444585482854,,,,,3560.74709981361,3481.70284477922,522.259075354479,,,,,,0,0,,,,77.4724660029525,,,,
1993-07-01,1993,"Q3","1993/94","Q1","July",3605.43474545083,3550.43974713959,634.204505106114,,,,,,0,0,,,159.611338452904,76.0950700054674,235.706408458371,,,,3878.45601857554,3819.32051276331,676.750143640144,,,,,,0,0,,,173.1379246685,81.9593287285194,255.09725339702,,,
1994-07-01,1994,"Q3","1994/95","Q1","July",4873.12464460231,4813.54464505381,809.03200223458,,,,,,0,0,,,167.889170417877,99.0598368767293,266.949007294607,,,,4741.91107984196,4683.86892934209,787.735293576333,,,,,,0,0,,,163.507935306311,96.4042034669243,259.912138773235,,,
1995-07-01,1995,"Q3","1995/96","Q1","July",5900.20208471523,5848.26208449465,1092.54706460658,,,,,,0,0,,,177.17589555771,117.012687145051,294.18858270276,,,,5947.0880878436,5895.01920250695,1108.91931303764,,,,,,0,0,,,178.597505864059,117.915845241097,296.513351105155,,,
1996-07-01,1996,"Q3","1996/97","Q1","July",6156.95932005454,6125.78932005969,1419.41752901988,,,,,,0,0,,,185.877307265966,123.132223954099,309.009531220065,,,,6554.2601515448,6521.36507568262,1512.39838622201,,,,,,0,0,,,197.883340804764,131.109876313027,328.993217117791,,,
1997-07-01,1997,"Q3","1997/98","Q1","July",6427.07457984931,6414.55957986633,1380.5138416297,,,,,,0,0,,,194.176832405082,131.720458487823,325.897290892905,,,,7478.18769186435,7463.96568188526,1592.73677148797,,,,,,0,0,,,225.896038780817,153.3729491912,379.268987972017,,,
1998-07-01,1998,"Q3","1998/99","Q1","July",6291.68955223707,6280.43955225881,1148.33591841892,,,,,,0,0.00788831970475959,,,202.591484955785,129.30415552653,331.895640482315,,,,8449.02679058402,8433.566750158,1537.76178269445,,,,,,0,0.0102761195918,,,273.517896019401,173.530096177876,447.047992197277,,,
1999-07-01,1999,"Q3","1999/00","Q1","July",6095.90504752173,6035.07715349885,971.909633939697,,,651.143212467407,,,0,0.0444598743383001,,,297.412141740152,125.293862926048,422.7060046662,,,,9458.03006462618,9359.32234275369,1498.67141979018,,,1009.81177940945,,,0,0.072680882405652,,,469.563599149869,194.496602136692,664.060201286561,,,
2000-07-01,2000,"Q3","2000/01","Q1","July",6016.8753528063,5872.68962073798,869.862302611618,,,680.533553475983,,,0,0.0843428092743181,,,217.767320530863,124.30726693736,342.074587468224,,,,10219.2819672191,9972.12592519624,1477.7522522841,,,1158.27979331332,,,0,0.138699638938528,,,360.749381817057,211.10661280336,571.855994620418,,,
2001-07-01,2001,"Q3","2001/02","Q1","July",6009.53372981812,5852.17403860257,938.605671218297,689.937630282312,248.668040935985,728.012224956424,976.680265892409,,0,0,,,143.386144903765,120.045090118911,263.431235022676,,5162.23640832026,,10678.3993674337,10399.3596691597,1669.09122911221,1225.82096470472,443.27026440749,1293.6765319926,1736.94679640009,,0,0,,,256.684459232929,213.234681039692,469.919140272621,,9173.53870445498,
2002-07-01,2002,"Q3","2002/03","Q1","July",6392.72393317569,6257.17601209529,1101.45388968373,753.558064258384,347.895825425346,727.918544149056,1075.8143695744,,0,0.00609445186508728,,,245.210594105769,121.172191566821,366.38278567259,,5503.61794783691,,12038.3562650227,11783.3511117314,2077.3469331748,1421.1800925368,656.166840638,1366.7614794252,2022.9283200632,,0,0.0113362746255973,,,461.568538275532,227.958537413802,689.527075689334,,10362.1710191946,
2003-07-01,2003,"Q3","2003/04","Q1","July",7273.18591150236,7097.28583692222,1419.6291378165,884.999887724493,534.629250092007,757.213393432892,1291.8426435249,,0,0.631953479372964,,,257.83102133931,134.050066255984,391.881087595294,,6212.28594919773,,13675.2209272903,13346.2244010806,2660.55963411767,1664.03087823504,996.528755882628,1424.9837148331,2421.51247071572,,0,1.14467658341417,,,486.069511030577,252.102517590672,738.172028621249,,11682.1935228456,
2004-07-01,2004,"Q3","2004/05","Q1","July",8589.35465541589,8345.93077017303,1794.3936742896,1033.88685266908,760.506821620524,866.376796378475,1626.883617999,,0,1.81714628006605,,,264.587112338871,156.541389916437,410.154745887946,,7312.04391750395,,15414.2836392806,14977.5950429056,3220.24823564216,1855.54293561715,1364.70530002502,1554.92348883649,2919.6287888615,,0,3.25468632044853,,,479.106994553494,280.939137477621,742.696822483733,,13122.0521072884,
2005-07-01,2005,"Q3","2005/06","Q1","July",9608.43472301374,9348.00745507404,1836.99602928539,1205.89181962735,631.104209658037,962.425485835836,1593.52969549387,,0,4.29702944543866,,,-328.109943984949,169.159295762396,-160.59479770115,,8142.11563544669,,17362.7725248541,16892.7230112491,3315.46719785278,2180.54638232144,1134.92081553134,1739.20933267357,2874.13014820491,,0,7.80949378557076,,,-584.254067861544,305.553366475079,-285.965620836541,,14712.1766289277,
2006-07-01,2006,"Q3","2006/07","Q1","July",10940.1060889264,10701.4629495437,1874.19421346094,1442.18934114256,432.00487231838,1092.31320478738,1524.31807710576,,0,6.62604213689773,,,652.117411843821,182.517817796846,834.635229640666,,9259.27360840113,,19393.7755444196,18969.0504448093,3324.52467631087,2556.29677087677,768.227905434101,1936.69664868626,2704.92455412036,,0,11.7556335159716,,,1175.92058567203,323.787915974943,1499.70850164698,,16412.7536739326,
2007-07-01,2007,"Q3","2007/08","Q1","July",13171.484313544,12926.1425969423,2615.70866233661,1552.70966948544,1062.99899285117,1105.63501456499,2168.63400741615,,0,7.75541419512506,,,349.233645851624,207.932504107835,557.166149959459,,11373.4329274569,,22678.9373370237,22256.4923728025,4503.22799098872,2673.74948959422,1829.47850139449,1903.98469344569,3733.46319484019,,0,13.3534721856029,,,601.356348440564,358.032185468045,959.38853390861,,19582.7428832083,
2008-07-01,2008,"Q3","2008/09","Q1","July",19784.1048494316,19450.8689952888,3839.35558519326,1476.9537697616,2362.40181543165,941.909687317248,3304.3115027489,,0,4.2406111746449,,,368.363235331408,298.230473438639,666.593708770048,,17973.9152255272,,37932.8048637722,37296.8066155874,7294.8573067878,2761.64458551951,4533.21272126829,1753.02804537311,6286.2407666414,,0,7.29626356105325,,,692.524073007609,571.195400259816,1263.71947326743,,34535.1620300679,
2009-07-01,2009,"Q3","2009/10","Q1","July",25900.6234987221,25477.2401451174,4716.56090833708,1459.50173364772,3257.05917468936,957.527610354371,4214.58678504373,,0,0.0868528789509737,,,747.688741315677,387.542097294949,1135.23083861063,,24017.7384114696,,54552.3287232588,53660.1216425831,9943.53600971674,3073.4936471051,6870.04236261164,2022.20796033227,8892.25032294391,,0,0.188875722301776,,,1600.2548845081,816.332287929037,2416.58717243714,,50586.627995478,
2010-07-01,2010,"Q3","2010/11","Q1","July",27272.583336129,26835.7684019173,4804.48700373988,1553.3137028143,3251.17330092558,1057.93386252846,4309.10716345404,,0,0.107466817870265,,,1116.23259983479,400.850485622478,790.835980486311,,25282.454699103,,64198.1224144392,63172.5061091429,11260.0127190731,3660.45044588349,7599.56227318961,2485.91853131631,10085.4808045059,,0,0.24172097903333,,,2430.66067714261,942.162128801953,1733.34109810897,,59512.0556632594,
2011-07-01,2011,"Q3","2011/12","Q1","July",27588.82057613,27084.7966338212,4843.23520194207,1695.71075311069,3147.52444883138,1118.04651100528,4265.57095983666,,0,0.0757449610628205,,,-336.261610107124,399.746828186625,451.406527213916,,25389.0858807106,,69334.2746142391,68068.354852102,12169.0575031182,4260.54676328195,7908.51073983625,2809.07823350558,10717.5889733418,,0,0.190047169648586,,,-848.302738528578,1004.59215481197,1130.6452337761,,63807.80808882,
2012-07-01,2012,"Q3","2012/13","Q1","July",28110.8512137,27501.4379530615,5780.38728512369,1875.01324091605,3905.37404420764,1298.6611086088,5204.03515281644,202.552215937381,0,14.9997925028299,217.552008440211,4986.48314437623,446.683203620797,416.350966649018,863.034170269815,4123.44897410642,25626.4247121454,25408.8727037052,71572.455736323,70020.2118822883,14740.2640322613,4775.62588635952,9964.63814590177,3309.86487734774,13274.5030232495,516.142955604346,0,38.7919882962286,554.934943900574,12719.5680793489,1137.05435413034,1060.32783294882,2197.38218707916,10522.1858922698,65244.5859959287,64689.6510520282
2013-07-01,2013,"Q3","2013/14","Q1","July",30764.091887029,30069.6735102602,7348.1956505233,1970.65318688773,5377.54246363557,1585.26145107382,6962.80391470939,231.406144646262,0,27.2724810075057,258.678625653768,6704.12528905562,470.409155829627,459.0857425224,929.494898352027,5774.63039070359,28099.0203233724,27840.3416977187,79796.2516200849,77994.9872021027,19062.6684476223,5110.69054119254,13951.9779064297,4112.37579059502,18064.3536970247,600.215807782431,0,70.7101559384657,670.925963720897,17393.4277333038,1220.071961216,1190.75999692643,2410.83195814242,14982.5957751614,72884.2966609102,72213.3706971893
