"Date","Year","Quarter","FY","QFY","Month","BSD_LEN_ADB","BSD_LEN_WB","BSD_LEN","BSD_DBR","BSD_NPAFG_AUT","BSD_NPAFG_BEL","BSD_NPAFG_EUU","BSD_NPAFG_DEU","BSD_NPAFG_IRL","BSD_NPAFG_NLD","BSD_NPAFG_NOR","BSD_NPAFG_SWE","BSD_NPAFG_CHE","BSD_NPAFG_GBR","BSD_NPAFG_WB","BSD_NPAFG","BSD_PAFG_AUT","BSD_PAFG_ADB","BSD_PAFG_BEL","BSD_PAFG_CIDA","BSD_PAFG_DNK","BSD_PAFG_EUU","BSD_PAFG_FRA","BSD_PAFG_DEU","BSD_PAFG_IRL","BSD_PAFG_ITA","BSD_PAFG_JPN","BSD_PAFG_NLD","BSD_PAFG_NOR","BSD_PAFG_SWE","BSD_PAFG_GBR","BSD_PAFG_USAID","BSD_PAFG_IFAD","BSD_PAFG_WB","BSD_PAFG_GF","BSD_PAFG","BSD_GRA_TOT","BSD"
2004-07-01,2004,"Q3","2004/05","Q1","July",,0,0,2.59120626,0,,0,4.9084,0,0,0,0,0,0,,4.9084,0,0,0,0,3.41016084727833,7.4305523,0.276084,,0,,0,3.03925,0,0,0,0,0,0,0,14.1560471472783,21.6556534072783,21.6556534072783
2004-08-01,2004,"Q3","2004/05","Q1","August",,0,0,5.37769538,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,29.49065,,,0,,0,0,0,0,0,0,0,0,0,29.49065,34.86834538,34.86834538
2004-09-01,2004,"Q3","2004/05","Q1","September",,0,0,5.75969245,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.47511744,,,7.48614,,0,0,0,0,0,0,0,0,0,7.96125744,13.72094989,13.72094989
2004-10-01,2004,"Q4","2004/05","Q2","October",0,3.830191,3.830191,7.18298257,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0.208143502096,,0,,0,0,0,0,0,0,0,,0,0.208143502096,7.391126072096,11.221317072096
2004-11-01,2004,"Q4","2004/05","Q2","November",0,1.276132,1.276132,7.05196761,0,0,0,0,0,0,0,0,0,0,,0,0.15,,0,0,0.274965,0,,,4.9926,,0,0,0,1.447,0,0,0,,0,6.864565,13.91653261,15.19266461
2004-12-01,2004,"Q4","2004/05","Q2","December",0,0,0,5.01918966,0,0,0,0,3.9666,8.5947320592,0,0,0,57.381,,69.9423320592,0,,0,0,2.45037980846198,0,,,6.402532,,0,5.749723,9.63877215,14.464334,0,0,0,10.057,0,48.762740958462,123.724262677662,123.724262677662
2005-01-01,2005,"Q1","2004/05","Q3","January",0,0,0,4.2817763,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,0,0,0,0,,0,0,4.2817763,4.2817763
2005-02-01,2005,"Q1","2004/05","Q3","February",0,0,0,5.35881729,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,0,0,0,0,,0,0,5.35881729,5.35881729
2005-03-01,2005,"Q1","2004/05","Q3","March",0,0,0,4.06691123,0,0,0,0,0,0,0,0,0,9.368,0,9.368,0,,0,0,0,0,,,0,,0,21.3219,3.315355,0,0,0,0,,0,24.637255,38.07216623,38.07216623
2005-04-01,2005,"Q2","2004/05","Q4","April",0,1.338,1.338,6.03965272,0,0,0,0,0.65065,0,0,0,0,0,155.305,155.95565,0,,0,0,0,0,0.2119510288,,6.76676,,0,0,0,4.550191,0,0,0,,0,11.5289020288,173.5242047488,174.8622047488
