"Date","Year","Quarter","FY","QFY","Month","EXP_DPD_AGRO","EXP_DPD_MID","EXP_DPD_SPD","EXP_DPD_MAN","EXP_DPD_TOU","EXP_DPD_NECLW","EXP_DPD_PSD","EXP_DPD_SED","EXP_DPD_ITIS","EXP_DPD_SUD","EXP_DPD_DIT","EXP_DPD_HCD","EXP_DPD_TTD","EXP_DPD_PST","EXP_DPD_CMC","EXP_DPD_GOS","EXP_DPD_DPI","EXP_DPD_RBD","EXP_DPD_ADJ","EXP_DPD_LEG","EXP_DPD_LGOV","EXP_DPD_I","EXP_DPD_I_DOM","EXP_DPD_I_EXT","EXP_DPD_CEN_TOT","EXP_DPD_LGP_TOT","EXP_DPD_I_TOT","EXP_DPD"
1997-07-01,1997,"Q3","1997/98","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-08-01,1997,"Q3","1997/98","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-09-01,1997,"Q3","1997/98","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-10-01,1997,"Q4","1997/98","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-11-01,1997,"Q4","1997/98","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-12-01,1997,"Q4","1997/98","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-01-01,1998,"Q1","1997/98","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-02-01,1998,"Q1","1997/98","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-03-01,1998,"Q1","1997/98","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-04-01,1998,"Q2","1997/98","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-05-01,1998,"Q2","1997/98","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-06-01,1998,"Q2","1997/98","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-07-01,1998,"Q3","1998/99","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-08-01,1998,"Q3","1998/99","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-09-01,1998,"Q3","1998/99","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-10-01,1998,"Q4","1998/99","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-11-01,1998,"Q4","1998/99","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-12-01,1998,"Q4","1998/99","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-01-01,1999,"Q1","1998/99","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-02-01,1999,"Q1","1998/99","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-03-01,1999,"Q1","1998/99","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-04-01,1999,"Q2","1998/99","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-05-01,1999,"Q2","1998/99","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-06-01,1999,"Q2","1998/99","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-07-01,1999,"Q3","1999/00","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
1999-08-01,1999,"Q3","1999/00","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
1999-09-01,1999,"Q3","1999/00","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
1999-10-01,1999,"Q4","1999/00","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
1999-11-01,1999,"Q4","1999/00","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
1999-12-01,1999,"Q4","1999/00","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-01-01,2000,"Q1","1999/00","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-02-01,2000,"Q1","1999/00","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-03-01,2000,"Q1","1999/00","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-04-01,2000,"Q2","1999/00","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-05-01,2000,"Q2","1999/00","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
