"Date","Year","Quarter","FY","QFY","Month","EXP_DPD_AGRO_P","EXP_DPD_MID_P","EXP_DPD_SPD_P","EXP_DPD_MAN_P","EXP_DPD_TOD_P","EXP_DPD_NECLW_P","EXP_DPD_PSD_P","EXP_DPD_SED_P","EXP_DPD_ITIS_P","EXP_DPD_SUD_P","EXP_DPD_DIT_P","EXP_DPD_HCD_P","EXP_DPD_TTD_P","EXP_DPD_PST_P","EXP_DPD_CMC_P","EXP_DPD_GOS_P","EXP_DPD_DPI_P","EXP_DPD_RBD_P","EXP_DPD_ADJ_P","EXP_DPD_LEG_P","EXP_DPD_LGOV_P","EXP_DPD_I_P","EXP_DPD_I_DOM_P","EXP_DPD_I_EXT_P","EXP_DPD_CEN_TOT_P","EXP_DPD_LGP_TOT_P","EXP_DPD_I_TOT_P","EXP_DPD_P"
1997-07-01,1997,"Q3","1997/98","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-08-01,1997,"Q3","1997/98","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-09-01,1997,"Q3","1997/98","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-10-01,1997,"Q4","1997/98","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-11-01,1997,"Q4","1997/98","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-12-01,1997,"Q4","1997/98","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-01-01,1998,"Q1","1997/98","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-02-01,1998,"Q1","1997/98","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-03-01,1998,"Q1","1997/98","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-04-01,1998,"Q2","1997/98","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-05-01,1998,"Q2","1997/98","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-06-01,1998,"Q2","1997/98","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-07-01,1998,"Q3","1998/99","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-08-01,1998,"Q3","1998/99","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-09-01,1998,"Q3","1998/99","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-10-01,1998,"Q4","1998/99","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-11-01,1998,"Q4","1998/99","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-12-01,1998,"Q4","1998/99","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-01-01,1999,"Q1","1998/99","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-02-01,1999,"Q1","1998/99","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-03-01,1999,"Q1","1998/99","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-04-01,1999,"Q2","1998/99","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-05-01,1999,"Q2","1998/99","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-06-01,1999,"Q2","1998/99","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-07-01,1999,"Q3","1999/00","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
1999-08-01,1999,"Q3","1999/00","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
1999-09-01,1999,"Q3","1999/00","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
1999-10-01,1999,"Q4","1999/00","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
1999-11-01,1999,"Q4","1999/00","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
1999-12-01,1999,"Q4","1999/00","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-01-01,2000,"Q1","1999/00","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-02-01,2000,"Q1","1999/00","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-03-01,2000,"Q1","1999/00","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
2000-04-01,2000,"Q2","1999/00","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,45.4512670831875,0,0,45.4512670831875
