"Date","Year","Quarter","FY","QFY","Month","EXP_DPD_SEC_P","EXP_DPD_RAW_P","EXP_DPD_AGR_P","EXP_DPD_EDU_P","EXP_DPD_HEA_P","EXP_DPD_WAE_P","EXP_DPD_JLO_P","EXP_DPD_ACC_P","EXP_DPD_EAM_P","EXP_DPD_TTI_P","EXP_DPD_LHUD_P","EXP_DPD_SD_P","EXP_DPD_ICT_P","EXP_DPD_PSM_P","EXP_DPD_PAD_P","EXP_DPD_PARL_P","EXP_DPD_STD_P","EXP_DPD_TOU_P","EXP_DPD_LGOV_P","EXP_DPD_I_P","EXP_DPD_I_DOM_P","EXP_DPD_I_EXT_P","EXP_DPD_CEN_TOT_P","EXP_DPD_LGP_TOT_P","EXP_DPD_I_TOT_P","EXP_DPD_P"
2008-07-01,2008,"Q3","2008/09","Q1","July",9.37111498589321,35.4922650174577,18.5607994929148,10.6551626556566,0.543568154634177,2.15990991718681,1.11356821673437,2.59077238939561,17.9920829447139,0,0,0,0,1.49950887100565,0.0212473544071105,0,,,,0,0,0,100,0,0,100
2008-08-01,2008,"Q3","2008/09","Q1","August",2.18049322509696,34.7770602308669,8.52798683125311,0.0575543133633293,0.5732303993347,0.053073837831269,0,2.88253110250154,48.0091588492234,0,0,0,0,2.66829433345855,0,0.270616877070262,,,,0,0,0,100,0,0,100
2008-09-01,2008,"Q3","2008/09","Q1","September",0,26.7213161601784,23.3353139877657,19.118956502913,4.53985908265062,3.51229002351847,0.0322757032847555,5.88070728815177,5.06130446548402,3.66988149194645,0,0,5.0670977631695,2.99983876598396,0.0550531870232269,0.00610557793015477,,,,0,0,0,100,0,0,100
2008-10-01,2008,"Q4","2008/09","Q2","October",0,14.2163714358697,40.9497548276194,0.231363458610032,5.53593674583443,3.60703072782183,0.0295493140797196,10.5330271832383,19.0482730503648,0,0,0,0,5.84869325656174,0,0,,,,0,0,0,100,0,0,100
2008-11-01,2008,"Q4","2008/09","Q2","November",5.81964552313913,2.4681266103008,6.28956575009875,47.1534854833696,1.64569860232068,1.72442431847576,3.60070875368237,2.60114057140985,22.8811178496049,0,0,0.166363996634981,0,5.61931523067119,0,0.0304073102919563,,,,0,0,0,100,0,0,100
2008-12-01,2008,"Q4","2008/09","Q2","December",4.25941603196035,3.87122576318616,8.35980922025346,1.67927835134249,0.148067922511107,0.780712792002783,0.225841313707708,16.50910328447,52.1856567144621,9.37190997719928,0,0.24108246827034,0,2.34742015138213,0.0204760092521323,0,,,,0,0,0,100,0,0,100
2009-01-01,2009,"Q1","2008/09","Q3","January",8.84371824296117,5.79593599250076,10.5598837369005,1.82009400092168,6.71052189372416,3.57499292145943,0.0297228957328107,0.14442551096266,35.0110224073288,0,0,0,0.683795625365347,26.8258867721427,0,0,,,,0,0,0,100,0,0,100
2009-02-01,2009,"Q1","2008/09","Q3","February",0,3.50139847470868,15.8824218609876,2.55754018094697,8.84135899666115,4.44641376155976,10.9542336127567,5.40443967277036,21.813492392049,0.169791412215437,0,1.56114024954291,0,24.8210320943383,0.046737291463161,0,,,,0,0,0,100,0,0,100
2009-03-01,2009,"Q1","2008/09","Q3","March",7.10490620831997,2.87018766811312,23.2997636290177,0.962082943133138,3.57960065459384,1.13214255575712,0,12.3005276167024,41.3005059334935,2.66426363264765,0,0.141526528134984,0,4.64449263008656,0,0,,,,0,0,0,100,0,0,100
2009-04-01,2009,"Q2","2008/09","Q4","April",0,1.0938048681298,29.5155319311645,3.61787573511994,9.06756261874813,8.06522308039554,0,6.97467783291582,30.3299242120197,0.73155273896932,0,0,0,10.6038469825372,0,0,,,,0,0,0,100,0,0,100
2009-05-01,2009,"Q2","2008/09","Q4","May",0,8.89632575423443,15.2297122752813,3.3867431617815,4.56340314175169,0,0,30.3673934900517,27.6358462245288,0.716669257159928,0,0,0,9.20390669521072,0,0,,,,0,0,0,100,0,0,100
2009-06-01,2009,"Q2","2008/09","Q4","June",4.15850140111043,8.53581080298248,19.6760069380258,4.84689685826847,0,0.121067222821126,0.170236528185714,13.3383488446593,29.4288183969254,1.45918601880335,0,0.395178247434281,0,17.8699487407836,0,0,,,,0,0,0,100,0,0,100
2009-07-01,2009,"Q3","2009/10","Q1","July",9.9888720335205,15.0707311166294,12.3796511484425,0.695361853303535,13.3404069205573,6.46758108630649,1.89954839112766,6.56966525821245,28.9467965717856,0,0,0,0.857261431166007,3.78412418894851,0,0,,,,0,0,0,100,0,0,100
2009-08-01,2009,"Q3","2009/10","Q1","August",1.36381223282779,14.2736145048781,15.366419290182,3.5119845881448,4.79781087924562,0.843273516312275,0,2.77056398204433,56.5222619937747,0.0273643469267965,0,0.374747433237021,0,0,0.148147232426551,0,,,,0,0,0,100,0,0,100
2009-09-01,2009,"Q3","2009/10","Q1","September",0,13.9298137293533,1.48607199663159,0.00571436213520185,13.0993530560031,1.00881598937169,0.389435083623774,12.0337714176774,40.6777297804701,0.508048249841071,0,0,0,16.8612463348928,0,0,,,,0,0,0,100,0,0,100
2009-10-01,2009,"Q4","2009/10","Q2","October",3.94399782883798,11.3556421331597,7.16154169568734,2.85481527352526,12.6258730530391,0.144606179517602,0,5.78183598983453,49.3488761077779,0.335093926318519,0,0,0,6.44771781230198,0,0,,,,0,0,0,100,0,0,100
2009-11-01,2009,"Q4","2009/10","Q2","November",0.0597002837445688,16.2492280809568,13.3606835222936,0,2.86781130658451,-0.105012998107642,0.199000945815229,4.48265944802016,31.7426068386063,0,0,0.00974308630711362,0,25.3033227706818,5.83025671509749,0,,,,0,0,0,100,0,0,100
2009-12-01,2009,"Q4","2009/10","Q2","December",2.22112309128871,9.88689241236899,20.3602664350789,5.33054451650017,18.0833589441345,1.81425230125933,0.845864917382973,19.4465938462746,21.322950390959,0,0,0,0,0.651903390967257,0.036249753785522,0,,,,0,0,0,100,0,0,100
2010-01-01,2010,"Q1","2009/10","Q3","January",7.91336275048016,27.9304686939557,5.17432263296751,0.274681623799458,0.407097787457258,1.11702803461702,0,2.37504479520535,27.9773655302345,0,0,0,0,26.7108837357703,0,0.119744415512701,,,,0,0,0,100,0,0,100
2010-02-01,2010,"Q1","2009/10","Q3","February",21.5496833903468,6.00501485814998,0.271303965908107,0.461258631718081,56.9880944200843,0.179173482459421,0,2.3036077715893,3.5010017201738,0.0500452602967102,0,0,0,8.69081649927357,0,0,,,,0,0,0,100,0,0,100
2010-03-01,2010,"Q1","2009/10","Q3","March",1.98912685358824,5.72599065075363,1.31803897204753,52.879209888172,1.93342019423428,0,0.350005670494034,3.65591584672752,24.4900849071703,0,0,0,0,7.60050812852228,0,0.0576988882901625,,,,0,0,0,100,0,0,100
2010-04-01,2010,"Q2","2009/10","Q4","April",29.6802715780926,16.7239692156177,0.667379153231413,0.617471642089589,8.32924844681417,0,0,24.0269927413462,2.69157480729888,0.539389960956704,0,0,0,16.7237024545528,0,0,,,,0,0,0,100,0,0,100
2010-05-01,2010,"Q2","2009/10","Q4","May",0,0.267564385457321,1.49139038943686,2.32533941980276,54.350794171038,5.47170614841147,0.00526447389456743,0.0777323956702132,17.5663727954308,0.358983692806816,0,0.0757890857784579,0,18.0090630422728,0,0,,,,0,0,0,100,0,0,100
2010-06-01,2010,"Q2","2009/10","Q4","June",0,1.46056676341949,1.80405676227781,1.46416167605819,5.03233202081595,0.228511743678538,0,0.313646433756455,29.1023412035113,0.440782815048216,0,0,0,60.1536005814341,0,0,,,,0,0,0,100,0,0,100
2010-07-01,2010,"Q3","2010/11","Q1","July",12.4858421377943,13.355549457179,2.59477216070438,2.89115934269485,1.14700352445612,0.129221775300289,0.0317100752705886,0.500546503038279,36.4418120977145,0.317100752705886,0,0,19.3618944970628,10.7433876760791,0,0,,,,0,0,0,100,0,0,100
2010-08-01,2010,"Q3","2010/11","Q1","August",0,3.89220425405183,3.12739958795558,1.41619861955033,11.0845493047317,0.327099087533948,1.14673366600906,13.8217375314529,41.756584692231,0,0,0,20.9543009816248,2.47319227485895,0,0,,,,0,0,0,100,0,0,100
2010-09-01,2010,"Q3","2010/11","Q1","September",0,14.3617717659091,6.54147442792039,0.0437915314559739,8.15968708843341,2.822848053677,0.010476337992723,5.70456498754561,28.4602593406997,0.119941154317361,0,0.243692439933077,26.8768075202018,4.47395386190596,2.18073149000793,0,,,,0,0,0,100,0,0,100
2010-10-01,2010,"Q4","2010/11","Q2","October",13.9450680300643,5.97825081732109,7.04474508126507,1.57946703279548,7.98586165452689,0.177785570277111,0.462988736923524,18.4841654467181,32.2688635257555,0.0335332519434871,0,0,0,12.0392708524094,0,0,,,,0,0,0,100,0,0,100
2010-11-01,2010,"Q4","2010/11","Q2","November",14.5555180972513,18.3227532622237,7.80931218474967,4.00872047430086,3.43563375484345,0.218324497771727,3.91505218287187,6.86275920028236,30.9627264724971,0.0207979928181285,0,0.654746167803935,0,9.23365571258592,0,0,,,,0,0,0,100,0,0,100
