"Date","Year","Quarter","FY","QFY","Month","EXP_SEC","EXP_RAW","EXP_AGR","EXP_EDU","EXP_HEA","EXP_WAE","EXP_JLO","EXP_ACC","EXP_EAM","EXP_TTI","EXP_LHUD","EXP_SD","EXP_ICT","EXP_PSM","EXP_PAD","EXP_PARL","EXP_STD","EXP_TOU","EXP_LGOV","EXP_I","EXP_I_DOM","EXP_I_EXT","EXP_CEN_TOT","EXP_LGP_TOT","EXP_I_TOT","EXP"
1997-07-01,1997,"Q3","1997/98","Q1","July",,,,,,,,,,,,,,,,,,,,3.99932,1.36078,2.63854,58.4405622751667,16.4191860581667,3.99932,78.8590683333333
1997-08-01,1997,"Q3","1997/98","Q1","August",,,,,,,,,,,,,,,,,,,,7.43515,1.12247,6.31268,77.9549122751667,13.7114660581667,7.43515,99.1015283333333
1997-09-01,1997,"Q3","1997/98","Q1","September",,,,,,,,,,,,,,,,,,,,8.66558,2.92953,5.73605,79.3724722751667,16.7237260581667,8.66558,104.761778333333
1997-10-01,1997,"Q4","1997/98","Q2","October",,,,,,,,,,,,,,,,,,,,8.39196,5.82332,2.56864,76.1454022751667,13.6466560581667,8.39196,98.1840183333333
1997-11-01,1997,"Q4","1997/98","Q2","November",,,,,,,,,,,,,,,,,,,,2.96428,0.86976,2.09452,80.9661622751667,17.2159760581667,2.96428,101.146418333333
1997-12-01,1997,"Q4","1997/98","Q2","December",,,,,,,,,,,,,,,,,,,,5.69968,2.99241,2.70727,81.6964722751667,17.4741960581667,5.69968,104.870348333333
1998-01-01,1998,"Q1","1997/98","Q3","January",,,,,,,,,,,,,,,,,,,,3.43143,0.93851,2.49292,66.9951522751667,18.8991660581667,3.43143,89.3257483333333
1998-02-01,1998,"Q1","1997/98","Q3","February",,,,,,,,,,,,,,,,,,,,4.95927,1.01952,3.93975,77.3203122751667,16.2879760581667,4.95927,98.5675583333333
1998-03-01,1998,"Q1","1997/98","Q3","March",,,,,,,,,,,,,,,,,,,,7.756,2.71541,5.04059,83.9960522751667,15.1263360581667,7.756,106.878388333333
1998-04-01,1998,"Q2","1997/98","Q4","April",,,,,,,,,,,,,,,,,,,,8.47066,5.85426,2.6164,86.3096922751667,19.8738160581667,8.47066,114.654168333333
1998-05-01,1998,"Q2","1997/98","Q4","May",,,,,,,,,,,,,,,,,,,,3.55925,1.35872,2.20053,78.1609322751667,24.5588160581667,3.55925,106.278998333333
1998-06-01,1998,"Q2","1997/98","Q4","June",,,,,,,,,,,,,,,,,,,,5.00996,2.76866,2.2413,118.029052275167,27.5853960581667,5.00996,150.624408333333
1998-07-01,1998,"Q3","1998/99","Q1","July",,,,,,,,,,,,,,,,,,,,4.983868708,1.64191,3.341958708,62.7680373000744,18.21324747175,4.983868708,85.9651534798244
1998-08-01,1998,"Q3","1998/99","Q1","August",,,,,,,,,,,,,,,,,,,,6.328263916,1.557334,4.770929916,91.2073261880743,22.02861747175,6.328263916,119.564207575824
1998-09-01,1998,"Q3","1998/99","Q1","September",,,,,,,,,,,,,,,,,,,,8.09266716,2.697624,5.39504316,90.5053801880744,22.47369747175,8.09266716,121.071744819824
1998-10-01,1998,"Q4","1998/99","Q2","October",,,,,,,,,,,,,,,,,,,,5.21546968,1.178278,4.03719168,82.402146854741,22.47656747175,5.21546968,110.094184006491
1998-11-01,1998,"Q4","1998/99","Q2","November",,,,,,,,,,,,,,,,,,,,3.3123894,1.119201,2.1931884,101.809702854741,23.49815747175,3.3123894,128.620249726491
1998-12-01,1998,"Q4","1998/99","Q2","December",,,,,,,,,,,,,,,,,,,,5.9004748,2.702524,3.1979508,98.440842854741,25.77306747175,5.9004748,130.114385126491
1999-01-01,1999,"Q1","1998/99","Q3","January",,,,,,,,,,,,,,,,,,,,3.84756044,1.218683,2.62887744,82.2979111880744,21.53599747175,3.84756044,107.681469099824
1999-02-01,1999,"Q1","1998/99","Q3","February",,,,,,,,,,,,,,,,,,,,8.019734,1.133004,6.88673,84.1675071880744,26.03019747175,8.019734,118.217438659824
1999-03-01,1999,"Q1","1998/99","Q3","March",,,,,,,,,,,,,,,,,,,,8.73460514,2.574636,6.15996914,90.1073611880744,28.75910747175,8.73460514,127.601073799824
1999-04-01,1999,"Q2","1998/99","Q4","April",,,,,,,,,,,,,,,,,,,,4.6258096,1.697355,2.9284546,91.4131871880744,20.53144747175,4.6258096,116.570444259824
1999-05-01,1999,"Q2","1998/99","Q4","May",,,,,,,,,,,,,,,,,,,,3.6694187,0.920083,2.7493357,99.5903271880744,20.58171747175,3.6694187,123.841463359824
1999-06-01,1999,"Q2","1998/99","Q4","June",,,,,,,,,,,,,,,,,,,,6.110302,2.98408,3.126222,144.428189188074,25.22078747175,6.110302,175.759278659824
1999-07-01,1999,"Q3","1999/00","Q1","July",,,,,,,,,,,,,,,,,,,,5.4053873,0.852771,4.5526163,70.9326053333333,27.159553,5.4053873,103.497545633333
1999-08-01,1999,"Q3","1999/00","Q1","August",,,,,,,,,,,,,,,,,,,,11.575802,1.171028,10.404774,97.3757463333333,27.183903,11.575802,136.135451333333
