"Date","Year","Quarter","FY","QFY","Month","OUT_14","OUT_GPS_14","OUT_GPS_DBT_14","OUT_GPS_TRF_14","OUT_DEF_14","OUT_POS_14","OUT_EA_14","OUT_EA_ECL_14","OUT_EA_AGR_14","OUT_EA_EFU_14","OUT_EA_MMC_14","OUT_EA_TRA_14","OUT_EA_COM_14","OUT_EP_14","OUT_HC_14","OUT_HEA_14","OUT_HEA_OP_14","OUT_HEA_HP_14","OUT_HEA_PH_14","OUT_REC_14","OUT_EDU_14","OUT_EDU_PRI_14","OUT_EDU_SEC_14","OUT_EDU_TER_14","OUT_SOC_14"
1997-07-01,1997,"Q3","1997/98","Q1","July",78.8590683333333,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-01,1997,"Q3","1997/98","Q1","August",99.1015283333333,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-01,1997,"Q3","1997/98","Q1","September",104.761778333333,,,,,,,,,,,,,,,,,,,,,,,,
1997-10-01,1997,"Q4","1997/98","Q2","October",98.1840183333334,,,,,,,,,,,,,,,,,,,,,,,,
1997-11-01,1997,"Q4","1997/98","Q2","November",101.146418333333,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-01,1997,"Q4","1997/98","Q2","December",104.870348333333,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,1998,"Q1","1997/98","Q3","January",89.3257483333334,,,,,,,,,,,,,,,,,,,,,,,,
1998-02-01,1998,"Q1","1997/98","Q3","February",98.5675583333333,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-01,1998,"Q1","1997/98","Q3","March",106.878388333333,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-01,1998,"Q2","1997/98","Q4","April",114.654168333333,,,,,,,,,,,,,,,,,,,,,,,,
1998-05-01,1998,"Q2","1997/98","Q4","May",106.278998333333,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-01,1998,"Q2","1997/98","Q4","June",150.624408333333,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-01,1998,"Q3","1998/99","Q1","July",85.9651534798244,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-01,1998,"Q3","1998/99","Q1","August",119.564207575824,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-01,1998,"Q3","1998/99","Q1","September",121.071744819824,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-01,1998,"Q4","1998/99","Q2","October",110.094184006491,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-01,1998,"Q4","1998/99","Q2","November",128.620249726491,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-01,1998,"Q4","1998/99","Q2","December",130.114385126491,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,1999,"Q1","1998/99","Q3","January",107.681469099824,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-01,1999,"Q1","1998/99","Q3","February",118.217438659824,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-01,1999,"Q1","1998/99","Q3","March",127.601073799824,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-01,1999,"Q2","1998/99","Q4","April",116.570444259824,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-01,1999,"Q2","1998/99","Q4","May",123.841463359824,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-01,1999,"Q2","1998/99","Q4","June",175.759278659824,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-01,1999,"Q3","1999/00","Q1","July",103.497545633333,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-01,1999,"Q3","1999/00","Q1","August",136.135451333333,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-01,1999,"Q3","1999/00","Q1","September",126.487323633333,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-01,1999,"Q4","1999/00","Q2","October",115.491363333333,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-01,1999,"Q4","1999/00","Q2","November",152.014923333333,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-01,1999,"Q4","1999/00","Q2","December",149.550083833333,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,2000,"Q1","1999/00","Q3","January",121.514856833333,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,2000,"Q1","1999/00","Q3","February",137.894155233333,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,2000,"Q1","1999/00","Q3","March",145.143624499333,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,2000,"Q2","1999/00","Q4","April",139.989774333333,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01,2000,"Q2","1999/00","Q4","May",161.159412833333,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,2000,"Q2","1999/00","Q4","June",262.528604075333,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,2000,"Q3","2000/01","Q1","July",113.6262753135,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,2000,"Q3","2000/01","Q1","August",161.9196915135,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,2000,"Q3","2000/01","Q1","September",170.9082565135,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,2000,"Q4","2000/01","Q2","October",154.4923583135,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,2000,"Q4","2000/01","Q2","November",155.3608634135,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,2000,"Q4","2000/01","Q2","December",192.6939685135,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,2001,"Q1","2000/01","Q3","January",145.8299765135,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,2001,"Q1","2000/01","Q3","February",178.6416148075,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,2001,"Q1","2000/01","Q3","March",184.1547265135,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,2001,"Q2","2000/01","Q4","April",153.1924107535,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-01,2001,"Q2","2000/01","Q4","May",193.757024176833,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,2001,"Q2","2000/01","Q4","June",230.653013296833,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,2001,"Q3","2001/02","Q1","July",131.458309223333,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,2001,"Q3","2001/02","Q1","August",196.706797423333,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-01,2001,"Q3","2001/02","Q1","September",168.391733423333,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,2001,"Q4","2001/02","Q2","October",192.454886273333,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-01,2001,"Q4","2001/02","Q2","November",205.186397613333,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-01,2001,"Q4","2001/02","Q2","December",152.550802133333,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,2002,"Q1","2001/02","Q3","January",183.052562006667,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-01,2002,"Q1","2001/02","Q3","February",192.273687006667,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-01,2002,"Q1","2001/02","Q3","March",203.555163006667,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-01,2002,"Q2","2001/02","Q4","April",194.92517809,,,,,,,,,,,,,,,,,,,,,,,,
