"Date","Year","Quarter","FY","QFY","Month","REV","REV_TAX_ NOIL","REV_TAX_DOM","REV_TAX_DOM_DI","REV_TAX_DOM_IDI","REV_TAX_DOM_IDI_VAT","REV_TAX_DOM_IDI_EXD","REV_TAX_DOM_IDI_REF","REV_TAX_DOM_IDI_CTL","REV_TAX_INL","REV_TAX_INL_EXD_PET","REV_TAX_INL_EXD_IM","REV_TAX_INL_EXD_OTH","REV_TAX_INL_VAT","REV_TAX_INL_WHT","REV_TAX_INL_TRL","REV_TAX_INL_SUG","REV_TAX_INL_COI","REV_TAX_INL_HAS","REV_TAX_FEE","REV_TAX_ISF","REV_TAX_OIL","REV_TAX_EXP","REV_NTAX","REV_NTAX_MST","REV_NTAX_MST_OWN","REV_NTAX_MST_URA","REV_NTAX_HPT","REV_NTAX_MIS","REV_NTAX_DIV","REV_NTAX_IPD","REV_NTAX_MISC","REV_NTAX_BOU_IMF_MDRI"
1997-07-01,1997,"Q3","1997/98","Q1","July",64.02586,63.983,22.813,9.03,13.783,8.203,7.08,-1.5,0,38.81,17.25,6.95,1.4,11.78,0,0,,1.43,0,2.36,,0,0,0.04286,,,,,,,,,
1997-08-01,1997,"Q3","1997/98","Q1","August",58.20358,57.89,21.03,6.95,14.08,7.63,7.95,-1.5,0,34.82,14.84,6.2,1.38,10.93,0,0,,1.47,0,2.04,,0,0,0.31358,,,,,,,,,
1997-09-01,1997,"Q3","1997/98","Q1","September",66.02668,65.83,24.92,9.4,15.52,8.98,7.84,-1.3,0,38.51,15.69,6.72,1.51,13.09,0,0,,1.5,0,2.4,,0,0,0.19668,,,,,,,,,
1997-10-01,1997,"Q4","1997/98","Q2","October",66.41468,66.31,25,8.26,16.74,9.25,8.29,-0.8,0,38.98,17.16,6.7,1.32,12.3,0,0,,1.5,0,2.33,,0,0,0.10468,,,,,,,,,
1997-11-01,1997,"Q4","1997/98","Q2","November",60.2823,60.06,22.88,7.59,15.29,8.45,7.84,-1,0,35.05,14.67,6.61,1.47,11.3,0,0,,1,0,2.13,,0,0,0.2223,,,,,,,,,
1997-12-01,1997,"Q4","1997/98","Q2","December",72.51012,72.36,31.03,17.09,13.94,7.36,7.58,-1,0,39.26,17.08,6.62,1.37,12.78,0,0,,1.41,0,2.07,,0,0,0.15012,,,,,,,,,
1998-01-01,1998,"Q1","1997/98","Q3","January",61.69135,61.5,24.83,7.33,17.5,8.68,10.02,-1.2,0,34.6,15.48,5.44,1.36,10.94,0,0,,1.38,0,2.07,,0,0,0.19135,,,,,,,,,
1998-02-01,1998,"Q1","1997/98","Q3","February",63.51048,63.23,23.88,9.16,14.72,8.45,7.47,-1.2,0,37.33,15.88,6.5,1.3,12.07,0,0,,1.58,0,2.02,,0,0,0.28048,,,,,,,,,
1998-03-01,1998,"Q1","1997/98","Q3","March",69.92775,69.74,28.91,10.89,18.02,10.78,8.44,-1.2,0,38.47,15.18,6.77,1.46,13.38,0,0,,1.68,0,2.36,,0,0,0.18775,,,,,,,,,
1998-04-01,1998,"Q2","1997/98","Q4","April",64.01775,63.83,26.3,9.55,16.75,9.47,8.48,-1.2,0,35.42,14.14,6.66,1.58,11.61,0,0,,1.43,0,2.11,,0,0,0.18775,,,,,,,,,
1998-05-01,1998,"Q2","1997/98","Q4","May",67.21775,67.03,28.3,10.52,17.78,11,7.98,-1.2,0,36.48,15.99,6.19,1.53,11.34,0,0,,1.43,0,2.25,,0,0,0.18775,,,,,,,,,
1998-06-01,1998,"Q2","1997/98","Q4","June",85.91775,85.73,45.31,19.68,25.63,18.16,8.67,-1.2,0,38.18,14.92,6.68,1.94,13.02,0,0,,1.62,0,2.24,,0,0,0.18775,,,,,,,,,
1998-07-01,1998,"Q3","1998/99","Q1","July",78.829420734,75.955736734,28.975918322,12.647557917,16.328360405,11.530042412,7.558317993,-2.76,0,44.942695348,16.697075897,8.099970801,2.411466221,15.653596246,0,0.295324084,,1.785262099,0,2.037123064,,0,0,2.873684,,,,,,,,,
1998-08-01,1998,"Q3","1998/99","Q1","August",74.190844592,74.125858592,28.460442953,11.514103572,16.946339381,9.881453632,8.724885749,-1.66,0,43.80166519,14.842911589,7.593363051,2.771091936,16.450525032,0,0.246716669,,1.897056913,0,1.863750449,,0,0,0.0649859999999989,,,,,,,,,
1998-09-01,1998,"Q3","1998/99","Q1","September",72.704052808,72.477851808,27.44224427,11.893657068,15.548587202,8.328686657,8.879900545,-1.66,0,43.073459255,16.35842018,7.396945646,2.222303086,14.981321189,0,0.276261324,,1.83820783,0,1.962148283,,0,0,0.226201,,,,,,,,,
1998-10-01,1998,"Q4","1998/99","Q2","October",72.635932439,72.611887439,27.6855662,10.956071874,16.729494326,9.897084783,8.492409543,-1.66,0,43.094282994,16.051619693,7.062701097,2.131280283,15.64308441,0,0.298323915,,1.907273596,0,1.832038245,,0,0,0.024045,,,,,,,,,
1998-11-01,1998,"Q4","1998/99","Q2","November",69.829679058,69.726047058,27.822961823,11.383910812,16.439051011,10.408125046,7.690925965,-1.66,0,40.153477348,15.798976101,6.706452951,1.971821538,13.676292502,0,0.330372544,,1.669561712,0,1.749607887,,0,0,0.103632,,,,,,,,,
1998-12-01,1998,"Q4","1998/99","Q2","December",90.394649673,90.315479673,41.29563327,23.418790433,17.876842837,10.396125567,9.14071727,-1.66,0,47.065380341,17.489971173,9.077806159,2.062197779,16.004235037,0,0.542006982,,1.889163211,0,1.954466062,,0,0,0.0791700000000003,,,,,,,,,
1999-01-01,1999,"Q1","1998/99","Q3","January",81.308840825,81.111114825,35.392944633,12.067857503,23.32508713,12.991990288,11.993096842,-1.66,0,44.25212584,15.091324047,8.294916855,1.584551376,17.103703573,0,0.538609512,,1.639020477,0,1.466044352,,0,0,0.197726,,,,,,,,,
1999-02-01,1999,"Q1","1998/99","Q3","February",74.734492119,74.688006119,30.767712771,12.463987703,18.303725068,13.312631507,8.351093561,-3.36,0,42.265055472,15.452629977,8.548375648,1.740368158,14.361500743,0,0.358555762,,1.803625184,0,1.655237876,,0,0,0.046486,,,,,,,,,
1999-03-01,1999,"Q1","1998/99","Q3","March",82.546050075,82.181594075,35.496527718,13.121582161,22.374945557,14.114035519,9.920910038,-1.66,0,44.800513397,17.577466917,8.688664549,1.8753391,14.530391225,0,0.366436205,,1.762215401,0,1.88455296,,0,0,0.364456,,,,,,,,,
1999-04-01,1999,"Q2","1998/99","Q4","April",81.461309582,77.544326512,33.0802774,13.522934731,19.557342669,12.932794612,8.284548057,-1.66,0,42.85716399,16.737801822,8.499834466,2.14687241,13.496822588,0,0.357748767,,1.618083937,0,1.606885122,,0,0,3.91698307,,,,,,,,,
1999-05-01,1999,"Q2","1998/99","Q4","May",73.399817945,71.160031945,28.242482199,13.107680152,15.134802047,9.837515707,6.95728634,-1.66,0,41.106296044,14.540756166,8.205450308,1.90960235,14.350848057,0,0.36331153,,1.736327633,0,1.811253702,,0,0,2.239786,,,,,,,,,
1999-06-01,1999,"Q2","1998/99","Q4","June",98.623388938,93.660215938,47.558628656,24.188928102,23.369700554,16.384738221,8.644962333,-1.66,0,44.277263652,16.569227987,8.310364549,2.179322126,14.992466624,0,0.537766271,,1.688116095,0,1.82432363,,0,0,4.963173,,,,,,,,,
1999-07-01,1999,"Q3","1999/00","Q1","July",79.730109994,79.421200994,29.688980047,9.862582108,19.826397939,13.581441782,8.744956157,-2.5,0,47.833132253,17,10.23289004,1.783891091,14.763323862,1.870464969,0.450926622,,1.731635669,0,1.899088694,,0,0,0.308909,,,,,,,,,
1999-08-01,1999,"Q3","1999/00","Q1","August",74.409229,71.610331,24.885911,8.928839,15.957072,10.586839,7.870233,-2.5,0,44.860669,16,8.225408,1.824326,14.896459,1.803564,0.348693,,1.762219,0,1.863751,,0,0,2.798898,,,,,,,,,
1999-09-01,1999,"Q3","1999/00","Q1","September",77.1056468,76.9911758,30.1474538,9.9514228,20.196031,13.437963,9.258068,-2.5,0,44.911181,16.4,8.059117,1.849181,14.606393,1.83964,0.381881,,1.774969,0,1.932541,,0,0,0.114471,,,,,,,,,
1999-10-01,1999,"Q4","1999/00","Q2","October",74.213271818,73.747402818,29.824511034,11.186536034,18.637975,12.745006,8.392969,-2.5,0,42.168042784,15.5,7.428322784,1.754,13.589674,1.840402,0.314949,,1.740695,0,1.754849,,0,0,0.465869,,,,,,,,,
1999-11-01,1999,"Q4","1999/00","Q2","November",76.654358225,76.224998225,27.317444225,9.126183,18.191261225,12.707090973,7.984170252,-2.5,0,47.004251,16.5,8.547296,1.94095,15.730671,2.05014,0.288787,,1.946407,0,1.903303,,0,0,0.42936,,,,,,,,,
1999-12-01,1999,"Q4","1999/00","Q2","December",101.003183617,100.797871617,49.275838095,27.804244711,21.471593384,13.64105569,10.330537694,-2.5,0,49.3428,17.8,9.115383,2.461462,15.649603,2.113437,0.27084,,1.932075,0,2.179233522,,0,0,0.205312,,,,,,,,,
2000-01-01,2000,"Q1","1999/00","Q3","January",77.203289997,76.675525997,33.431202547,9.579722794,23.851479753,13.635763284,12.715716469,-2.5,0,41.595454963,15.5,7.511519159,1.844579957,12.84718,1.778081217,0.36181163,,1.752283,0,1.648868487,,0,0,0.527764,,,,,,,,,
2000-02-01,2000,"Q1","1999/00","Q3","February",75.714817197,74.197330197,26.661773997,10.078182471,16.583591526,11.637011526,7.44658,-2.5,0,45.710606,15.7,8.82065,2.121835,14.820288,1.949371,0.457258,,1.841204,0,1.8249502,,0,0,1.517487,,,,,,,,,
2000-03-01,2000,"Q1","1999/00","Q3","March",85.844154,85.485855,33.512801,11.732731,21.78007,15.301654,8.978416,-2.5,0,50.105037,17.6,9.326643,2.129457,16.332946,2.114566,0.506935,,2.09449,0,1.868017,,0,0,0.358299,,,,,,,,,
2000-04-01,2000,"Q2","1999/00","Q4","April",98.853759884,77.577761884,32.149251441,10.986216465,21.163034976,13.849091594,9.813943382,-2.5,0,43.921274563,15.8,8.587337588,1.653648625,13.715108325,1.84188611,0.427619915,,1.895674,0,1.50723588,,0,0,21.275998,,,,,,,,,
