"Date","Year","Quarter","FY","QFY","Month","REV_DOM_14","REV_TAX_14","REV_TAX_NOIL_14","REV_TAX_IT_14","REV_TAX_IT_PAYE_14","REV_TAX_IT_CIT_14","REV_TAX_IT_OIL_14","REV_TAX_IT_WH_14","REV_TAX_IT_R_14","REV_TAX_IT_I_14","REV_TAX_IT_OTH_14","REV_TAX_GS_14","REV_TAX_GS_VAT_14","REV_TAX_GS_VAT_IM_14","REV_TAX_GS_VAT_LG_14","REV_TAX_GS_VAT_S_14","REV_TAX_GS_VAT_REF_14","REV_TAX_GS_EXD_14","REV_TAX_GS_EXD_IM_14","REV_TAX_GS_EXD_PD_14","REV_TAX_GS_EXD_LG_14","REV_TAX_GS_SGS_14","REV_TAX_GS_SGS_LOT_14","REV_TAX_GS_SGS_CAS_14","REV_TAX_GS_UG_14","REV_TAX_GS_UG_TRL_14","REV_TAX_GS_UG_OTH_14","REV_TAX_INL_14","REV_TAX_INL_ID_14","REV_TAX_INL_WH_14","REV_TAX_INL_CO_14","REV_TAX_INL_SUI_14","REV_TAX_INL_IL_14","REV_TAX_INL_EX_14","REV_TAX_OTH_14","REV_TAX_OTH_SD_OIL_14","REV_TAX_OTH_SD_OTH_14","REV_TAX_EXP_14","REV_OTH_14","REV_OTH_PI_14","REV_OTH_PI_I_14","REV_OTH_PI_DIV_14","REV_OTH_PI_R_14","REV_OTH_PI_R_MIN_14","REV_OTH_PI_R_OTH_14","REV_OTH_GS_14","REV_OTH_GS_MKT_14","REV_OTH_GS_FEE_14","REV_OTH_GS_FEE_FLT_14","REV_OTH_GS_FEE_DRV_14","REV_OTH_GS_FEE_MIG_14","REV_OTH_GS_FEE_LTR_14","REV_OTH_GS_FEE_TRA_14","REV_OTH_GS_FEE_COR_14","REV_OTH_GS_FEE_REM_14","REV_OTH_GS_FEE_PP_14","REV_OTH_GS_FEE_RSB_14","REV_OTH_GS_FEE_ICL_14","REV_OTH_GS_FEE_MST_14","REV_OTH_GS_NMKT_14","REV_OTH_GS_NMKT_HOP_14","REV_OTH_GS_NMKT_OTH_14","REV_OTH_FEE_14","REV_OTH_FEE_HC_14","REV_OTH_FEE_POL_14","REV_OTH_VT_14","REV_OTH_VT_CU_14","REV_OTH_VT_CU_BOU_14","REV_OTH_VT_CU_OTH_14","REV_OTH_VT_K_14","REV_OTH_OTH_14","REV_OTH_OTH_URA_14","REV_OTH_OTH_MALGS_14"
1997-07-01,1997,"Q3","1997/98","Q1","July",64.02586,63.983,63.983,9.02,3.13,1.09,0,3.45,0.58,0.17,0.6,46.033,18.483,11.78,5.243,2.96,-1.5,25.73,1.4,17.25,7.08,0.01,0.01,0,1.81,1.81,0,0,0,8.38,6.95,0,1.43,0,,0,0.55,0,0,0,0.04286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-01,1997,"Q3","1997/98","Q1","August",58.20358,57.89,57.89,6.93,3.29,0.67,0,2.08,0.37,0.07,0.45,42.76,17.06,10.93,5.57,2.06,-1.5,24.17,1.38,14.84,7.95,0.02,0.02,0,1.51,1.51,0,0,0,7.67,6.2,0,1.47,0,,0,0.53,0,0,0,0.31358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-01,1997,"Q3","1997/98","Q1","September",66.02668,65.83,65.83,9.38,3.72,2.13,0,2.42,0.4,0.32,0.39,47.62,20.77,13.09,5.58,3.4,-1.3,25.04,1.51,15.69,7.84,0.02,0.02,0,1.79,1.79,0,0,0,8.22,6.72,0,1.5,0,,0,0.61,0,0,0,0.19668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-10-01,1997,"Q4","1997/98","Q2","October",66.41468,66.31,66.31,8.24,3.51,0.85,0,2.69,0.46,0.32,0.41,49.38,20.75,12.3,5.75,3.5,-0.8,26.77,1.32,17.16,8.29,0.02,0.02,0,1.84,1.84,0,0,0,8.2,6.7,0,1.5,0,,0,0.49,0,0,0,0.10468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-11-01,1997,"Q4","1997/98","Q2","November",60.2823,60.06,60.06,7.57,3.3,1.03,0,2.32,0.29,0.28,0.35,44.4,18.75,11.3,5.88,2.57,-1,23.98,1.47,14.67,7.84,0.02,0.02,0,1.65,1.65,0,0,0,7.61,6.61,0,1,0,,0,0.48,0,0,0,0.2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-01,1997,"Q4","1997/98","Q2","December",72.51012,72.36,72.36,17.07,4.42,7.98,0,3.23,0.8,0.22,0.42,46.8,19.14,12.78,4.63,2.73,-1,26.03,1.37,17.08,7.58,0.02,0.02,0,1.61,1.61,0,0,0,8.03,6.62,0,1.41,0,,0,0.46,0,0,0,0.15012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,1998,"Q1","1997/98","Q3","January",61.69135,61.5,61.5,7.3,3.5,0.75,0,2.1,0.34,0.33,0.28,46.88,18.42,10.94,6.4,2.28,-1.2,26.86,1.36,15.48,10.02,0.03,0.03,0,1.57,1.57,0,0,0,6.82,5.44,0,1.38,0,,0,0.5,0,0,0,0.19135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-02-01,1998,"Q1","1997/98","Q3","February",63.51048,63.23,63.23,9.14,4.34,1.27,0,2.5,0.29,0.41,0.33,45.55,19.32,12.07,5.02,3.43,-1.2,24.65,1.3,15.88,7.47,0.02,0.02,0,1.56,1.56,0,0,0,8.08,6.5,0,1.58,0,,0,0.46,0,0,0,0.28048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-01,1998,"Q1","1997/98","Q3","March",69.92775,69.74,69.74,10.87,4.59,1.7,0,2.86,0.57,0.67,0.48,49.84,22.96,13.38,5.55,5.23,-1.2,25.08,1.46,15.18,8.44,0.02,0.02,0,1.78,1.78,0,0,0,8.45,6.77,0,1.68,0,,0,0.58,0,0,0,0.18775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-01,1998,"Q2","1997/98","Q4","April",64.01775,63.83,63.83,9.51,4.6,0.72,0,3.26,0.27,0.27,0.39,45.66,19.88,11.61,4.28,5.19,-1.2,24.2,1.58,14.14,8.48,0.04,0.04,0,1.54,1.54,0,0,0,8.09,6.66,0,1.43,0,,0,0.57,0,0,0,0.18775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
