"Date","Year","Quarter","FY","QFY","Month","GDP_CP","GDP_AGR_CP","GDP_AGR_CAC_CP","GDP_AGR_FOC_CP","GDP_AGR_LST_CP","GDP_AGR_ASS_CP","GDP_AGR_FST_CP","GDP_AGR_FSH_CP","GDP_IND_CP","GDP_IND_MIN_CP","GDP_IND_MAN_CP","GDP_IND_ELC_CP","GDP_IND_H2O_CP","GDP_IND_CON_CP","GDP_SER_CP","GDP_SER_WRT_CP","GDP_SER_TRA_CP","GDP_SER_AFS_CP","GDP_SER_ICT_CP","GDP_SER_FIN_CP","GDP_SER_REE_CP","GDP_SER_PST_CP","GDP_SER_ADM_CP","GDP_SER_PAD_CP","GDP_SER_EDU_CP","GDP_SER_HEA_CP","GDP_SER_AER_CP","GDP_SER_OTH_CP","GDP_SER_HHA_CP","GDP_TAX_CP"
2008-07-01,2008,"Q3","2008/09","Q1","July",10424.3597152148,4701.87049918316,319.920165220497,3046.12038831721,496.291969943714,3.62874687535897,366.195399144007,469.71382968238,809.122885605603,98.3331501186289,0,95.8678052869236,238.662610037401,376.259320162649,4285.65903777507,1345.80158798327,299.309316906588,263.640963411147,0,190.393100868855,761.889310290752,0,0,140.289196217778,484.636968339579,399.102993719078,0,264.375902535897,136.219697502129,627.707292650913
2008-10-01,2008,"Q4","2008/09","Q2","October",8800.88974938126,3491.71048200561,571.834998965493,1832.31883566858,510.924098811117,2.52643429842456,90.9479682683841,483.158145993603,825.917195631689,46.1132850420788,0,101.812959331576,244.004427153542,433.986524104492,3794.91396160346,800.492900709412,292.107391610655,225.148950934611,0,234.152140392718,769.144841819393,0,0,163.020039237274,489.628659620529,422.987470606213,0,258.366405432684,139.865161239976,688.348110140502
2009-01-01,2009,"Q1","2008/09","Q3","January",8680.9510066697,3170.35382032644,572.397784103918,1508.83433062343,564.35757555331,1.96296911187759,57.552010819576,465.249150114334,739.048957322206,50.2933000594792,0,113.661836258922,256.213671205345,318.88014979846,4065.58866330677,1033.73612857543,318.356398574714,222.037335808573,0,225.407266216112,762.285639705948,0,0,192.766772690004,494.051264370226,403.493803732664,0,268.889742022792,144.564311610305,705.959565714285
2009-04-01,2009,"Q2","2008/09","Q4","April",13736.7168823131,5547.71865922568,440.146443073057,2754.92922837195,525.156758776372,3.40520232754551,1321.87835192251,502.202674754248,1121.60760979055,59.0422239604542,0,123.897797963026,258.579956000665,680.087631866401,6400.33997998845,3203.65347635112,345.663371589638,237.334295279384,0,212.264143601582,779.200976836681,0,0,240.105961596565,514.933146070472,434.968473476108,0,283.955389884708,148.260745302186,667.050633308416
2009-07-01,2009,"Q3","2009/10","Q1","July",15073.705083955,5615.62622937703,334.892293858231,4022.1307631178,576.965376953715,4.4311125459133,164.335239776715,512.871443124651,3579.56634740404,64.5683301132042,2467.1457401665,137.298655334363,266.299692618911,644.253929171064,5186.81787122213,1420.46816275476,367.825840449565,305.036966148768,91.1757447300573,182.093248775836,790.171541851331,251.99091904514,210.614508822613,188.146428540966,467.124410206184,448.460353389865,19.3316565327212,292.535002901791,151.843087072533,691.694635951809
2009-10-01,2009,"Q4","2009/10","Q2","October",13307.6684385739,3904.5417831596,373.684089513936,2318.18269382821,525.13386524159,3.19718481858241,179.170478979601,505.173470777683,3457.95591352599,57.4688125325553,2348.52818190698,143.945793700993,273.008270931247,635.004854454221,5286.89554268344,1222.2019196638,361.703617841989,326.618850629585,132.260583237815,227.957165099521,828.887920578216,296.846216590945,226.081886167487,215.364335760679,521.877159227516,459.152856898927,17.2003643939842,296.569015929086,154.173650663892,658.27519920489
2010-01-01,2010,"Q1","2009/10","Q3","January",13935.5505977758,3161.52948383374,316.664597623692,1614.27257884655,554.263159434164,1.95354710990519,177.536914391761,496.838686427673,3935.70387433815,79.3019603000011,2929.85399621838,142.852567092203,283.785365951403,499.909984776167,6149.12929835501,1316.13456970215,364.896969838309,319.041126576792,128.804265452971,225.180890291777,855.299021058159,959.338458965958,260.647154557306,247.85055750901,538.606869488338,459.905449344785,22.3680598755463,296.920844293856,154.135061400057,689.187941248911
2010-04-01,2010,"Q2","2009/10","Q4","April",17398.9101507277,5105.56240855533,394.502167698099,2143.62999683064,540.502216893752,3.24702878059627,1523.57480486232,500.106193489924,3958.71314550012,96.0773768683509,2891.9233360266,156.888868584163,297.117121332592,516.706442688413,7614.04148416037,2624.38259727001,386.177202061933,315.817446004368,129.578804044708,242.185877429531,896.859875602148,909.459304048479,315.293116032989,275.927605392708,561.374985127873,479.822615397073,24.7164191222455,295.514766596457,156.930870029845,720.593112511876
2010-07-01,2010,"Q3","2010/11","Q1","July",17781.7116214595,5189.59170880909,263.86178593429,3531.84835738994,649.167517411941,3.80955422882668,264.717859639061,476.186634205023,4230.44725166887,139.207265754703,3024.47400670971,169.05059068282,305.083127253323,592.632261268304,7585.12857171329,1864.78342838856,409.663780839402,334.279081762384,162.101372356206,323.983275592538,903.070875250485,1176.63291628126,381.868419643447,327.599541571281,713.841847787329,500.432236898677,30.5486881822545,296.257601787658,160.065505371801,776.544089268258
2010-10-01,2010,"Q4","2010/11","Q2","October",19321.9440774236,5505.00263414388,377.113641963292,2277.595652654,623.579846675018,2.44971904763442,1726.71969453637,497.544079267559,4541.65207284365,120.115045504816,3261.42360445035,175.015054336927,312.385030809407,672.713337742149,8458.76084652758,2879.69371042743,410.389187090515,339.336439637348,176.354727596991,283.233369211785,862.950302040216,995.823310018843,451.324470812149,324.194823467547,698.598632596358,510.073121490609,40.9954199490984,325.559081001627,160.234251187064,816.528523908526
