"Date","Year","Quarter","FY","QFY","Month","GDP_FCE_KP","GDP_FCE_GOV_KP","GDP_FCE_NPISH_KP","GDP_FCE_HH_KP","GDP_GFCF_KP","GDP_GFCF_PUB_KP","GDP_GFCF_PRV_KP","GDP_GFCF_CON_DW_KP","GDP_GFCF_CON_DW_PUB_KP","GDP_GFCF_CON_DW_PRV_KP","GDP_GFCF_CON_OB_KP","GDP_GFCF_CON_OB_PUB_KP","GDP_GFCF_CON_OB_PRV_KP","GDP_GFCF_CON_OS_KP","GDP_GFCF_CON_OS_PUB_KP","GDP_GFCF_CON_OS_PRV_KP","GDP_GFCF_TRA_KP","GDP_GFCF_TRA_PUB_KP","GDP_GFCF_TRA_PRV_KP","GDP_GFCF_ICT_KP","GDP_GFCF_ICT_PUB_KP","GDP_GFCF_ICT_PRV_KP","GDP_GFCF_OMA_KP","GDP_GFCF_OMA_PUB_KP","GDP_GFCF_OMA_PRV_KP","GDP_GFCF_BR_KP","GDP_GFCF_BR_PUB_KP","GDP_GFCF_BR_PRV_KP","GDP_GFCF_RD_KP","GDP_GFCF_RD_PUB_KP","GDP_GFCF_RD_PRV_KP","GDP_GFCF_MPE_KP","GDP_GFCF_MPE_PUB_KP","GDP_GFCF_MPE_PRV_KP","GDP_CINV_KP","GDP_ALDV_KP","GDP_TB_KP","GDP_EX_KP","GDP_EX_G_KP","GDP_EX_S_KP","GDP_IM_KP","GDP_IM_G_KP","GDP_IM_S_KP","GDP_SD_KP","GDP_KP"
2009-07-01,2009,"Q3","2009/10","Q1","July",64174.02327763,5992.86284155217,3189.92700778245,55075.2525992531,18148.9706138912,3053.23576284728,16221.842442136,205.801994949713,0,205.801994949713,3510.68057505045,598.911370626553,2911.7692044239,5830.66402224999,1470.22023679346,4360.44378545654,1566.03058946864,26.4210843662747,1539.60950510237,650.769888077829,0,650.769888077829,5711.10388617549,957.683071061,4753.42081511449,530.492748559947,0,530.492748559947,1065.94519362231,0,1065.94519362231,203.589306828859,0,203.589306828859,372.248206584318,10.0376203337593,-7406.76450681666,10530.4727194316,8557.88092785384,2333.97880336854,17892.688011789,17624.9577353653,2103.11406556014,1812.78658768455,77195.3209702649
2010-07-01,2010,"Q3","2010/11","Q1","July",71156.8319864812,8943.43785820159,3300.68478144512,58445.0741976006,20538.5409190251,3222.10252301032,17732.830544455,241.037505866726,0,241.037505866726,4029.3074524469,687.387529976599,3341.9199224703,6264.50593941117,1579.61483811941,4684.89110129176,2209.33468464816,37.2745069534256,2172.06017769474,761.184419643603,0,761.184419643603,5473.41577114194,917.825647960879,4555.59012318106,517.995001646722,0,517.995001646722,1209.88369851441,0,1209.88369851441,248.268594145663,0,248.268594145663,365.362204449012,16.6091811344657,-9525.52550489252,11108.5118785186,7999.93060487351,3024.75883559661,20532.3641218539,19325.5206938226,2682.39753047355,2361.05593545447,84445.2395724179
2011-07-01,2011,"Q3","2011/12","Q1","July",73227.9129693896,6521.953875601,3381.96382541613,63323.9562780952,21136.1158128765,3362.43484030079,18221.2176138164,251.775969894033,0,251.775969894033,4159.99789567423,709.682919946661,3450.31497572757,6612.43512051271,1667.34627335122,4945.08884716149,2143.26611121663,36.1598394850295,2107.10627173161,743.989967537805,0,743.989967537805,5660.78860958152,949.24580751788,4711.54280206364,555.737399407191,0,555.737399407191,1191.59771679681,0,1191.59771679681,264.063663496285,0,264.063663496285,391.923204675657,16.0362917342348,-9155.33073127962,12662.2707324222,8668.50098975061,3694.4188803205,21756.0775738435,20315.0917540119,2890.77419704989,2069.16959522468,87685.7881523437
2012-07-01,2012,"Q3","2012/13","Q1","July",73240.550885329,6531.37399457448,3515.30043764123,63271.4178741492,23218.8667232655,3823.82208694418,20642.5321057683,260.124505846307,0,260.124505846307,4358.11857186006,743.481701461328,3614.63687039873,6967.06637275311,1756.76765685979,5210.29871589332,2399.44939832959,40.4820029775942,2358.967395352,676.349988626576,0,676.349988626576,7651.65914589168,1283.09072564546,6368.56842024622,645.636775172547,0,645.636775172547,1226.03991183105,0,1226.03991183105,281.909522401525,0,281.909522401525,463.215210015033,11.0241844595433,-8440.88792249332,13541.9115502799,9544.93209824942,3800.92642728036,21960.1283718489,20002.2000862497,3068.42833115727,2260.68429482562,90830.9947964373
2013-07-01,2013,"Q3","2013/14","Q1","July",75444.386796246,7023.03914156164,3649.69327785411,64814.6518226113,23746.1623238416,3730.42258567726,20033.44174251,297.18124292442,0,297.18124292442,4878.49783358446,832.256812219023,4046.24102136543,7673.12594098114,1934.80279344616,5738.32314753498,2355.0877996108,39.7335619508006,2315.35423766,705.825191172811,0,705.825191172811,5508.026317132,923.629418061279,4584.39689907072,745.431374521815,0,745.431374521815,1302.47910763209,0,1302.47910763209,298.20952062772,0,298.20952062772,541.027852098203,4.47026598947143,-6975.88631330389,13542.2210994777,9264.31268094968,3954.76971264053,20542.2267029843,17752.3392203162,3156.89530927752,2665.94616580159,95469.104536454
2014-07-01,2014,"Q3","2014/15","Q1","July",84218.4438025775,8110.54230093349,3812.55824249029,72138.014350362,23618.2811202621,3788.56332938665,19806.8389837643,302.480275396839,0,302.480275396839,4985.51761875424,850.514060308099,4135.00355844614,7746.63999910186,1953.33959397616,5793.3004051257,2007.13296417101,33.8630865433393,1973.26987762767,473.131162564094,0,473.131162564094,5670.33480195078,950.846588559048,4719.48821339173,786.704344939873,0,786.704344939873,1290.85632007397,0,1290.85632007397,332.604826198241,0,332.604826198241,557.329470602989,5.92228435041272,-10317.5902790306,13221.2873560863,8869.446984118,3957.02913311686,23450.428712814,17771.0844012187,4349.75733248909,2496.8504018636,100421.907891834
2015-07-01,2015,"Q3","2015/16","Q1","July",84660.8518798333,7700.37930849604,3959.17774999481,73001.2948213425,25595.5254371127,2873.70055421826,22721.8248828945,325.037574390051,0,325.037574390051,5337.75966170715,587.323783257714,4750.43587844944,8365.31473289024,1403.87859949815,6961.43613339209,2059.23765047947,37.3095733020353,2021.92807717744,678.973791509754,0,678.973791509754,6275.36943254625,845.188598160368,5430.18083438588,864.319064237381,0,864.319064237381,1327.15090550279,0,1327.15090550279,362.362623849639,0,362.362623849639,557.329470602989,7.35103326021483,-7769.33139043426,13609.1021237144,10027.6995491769,3581.4025745375,21378.4335141487,17930.0921402906,3448.34137385805,2171.35317044375,105223.079600819
2016-07-01,2016,"Q3","2016/17","Q1","July",85621.5496932653,8691.68198305649,4262.12008538767,72667.7476248211,26101.2181104543,4372.32157853709,21728.8965319172,330.134618465364,0,330.134618465364,5979.58723346233,1020.09929676456,4959.48793669777,9377.292588782,2364.51376339816,7012.77882538384,1880.3909329423,31.7247746084601,1848.66615833384,746.032271397767,0,746.032271397767,5700.97001724524,955.983743765913,4744.98627347933,987.142891156442,0,987.142891156442,670.67691072949,0,670.67691072949,428.99064627339,0,428.99064627339,607.494855652482,1.96394827889901,-3814.19008131127,18080.3268515837,11543.7551189753,6536.57173260838,21894.516932895,14490.2958760591,7404.22105683593,0.00439513342280407,108518.040921473
2017-07-01,2017,"Q3","2017/18","Q1","July",94005.8927376533,10073.6780003487,4877.31860002598,79054.8961372786,28650.4133982939,6289.63988846623,22360.7735098276,335.311591325385,0,335.311591325385,6456.92428608423,892.13124357769,5564.79304250654,10097.2101042452,3882.11796107267,6215.09214317257,2509.48397670363,8.47116227096646,2501.01281443267,577.943546245962,0,577.943546245962,6399.16227032259,1506.9195215449,4892.24274877769,1067.59381054362,0,1067.59381054362,699.71755471221,0,699.71755471221,507.066258110978,0,507.066258110978,663.730376343718,0.52247507205238,-3953.30201390636,19783.4817295539,12918.0534337169,6865.42829583698,23736.7837434602,15556.3682485409,8180.41549491931,-4008.32146373068,115358.935509726
2018-07-01,2018,"Q3","2018/19","Q1","July",100578.99098752,10872.3500434001,5509.25147920966,84197.3894649098,31427.876070714,6948.93363595461,24478.9424347594,340.569746365325,0,340.569746365325,7229.39252011771,1002.8845167074,6226.50800341031,11737.373680111,4757.86547603092,6979.50820408006,2210.66552187044,269.35354968066,1941.31197218978,597.644144018476,0,597.644144018476,7056.05184070616,918.830093535636,6137.22174717052,1202.6006229349,0,1202.6006229349,623.894687692577,0,623.894687692577,429.68330689746,0,429.68330689746,727.00611365992,0.362995511522644,-4783.38191174206,20637.6319274788,13750.268197551,6887.36372992778,25421.0138392208,15893.8234329818,9527.19040623905,-5164.25101492609,122786.603240737
2019-07-01,2019,"Q3","2019/20","Q1","July",103845.960438463,12257.4230593555,4702.4481312883,86886.0892478189,31404.8311315361,7291.55522275018,24113.2759087859,345.910356635383,0,345.910356635383,7577.87069294075,1050.97854477457,6526.89214816617,12115.7621027708,4786.5476864504,7329.21441632038,1670.14187353132,398.382901829196,1271.75897170212,495.345457819498,0,495.345457819498,6846.93474190582,1055.64608969602,5791.2886522098,1305.34400666355,0,1305.34400666355,594.218894809058,0,594.218894809058,453.303004459948,0,453.303004459948,796.954167338868,0.460278245382175,-5137.04485243716,20396.1676270497,14093.2925943518,6302.8750326979,25533.2124794869,15881.2726492579,9651.93983022892,-4500.74901612765,126410.412147018
2020-07-01,2020,"Q3","2020/21","Q1","July",110106.214745733,13058.1490702025,4567.42755538092,92480.6381201499,32849.2964108339,9903.00168847209,22946.2947223618,351.334715148968,0,351.334715148968,7699.04034416567,1101.83407999308,6597.20626417259,12715.6434248034,6997.5992922814,5718.04413252199,2020.43450131636,473.777351097967,1546.6571502184,462.301581483348,0,462.301581483348,7122.76626514202,1329.79096509964,5792.97530004238,1484.04367244233,0,1484.04367244233,582.379828903357,0,582.379828903357,411.352077428412,0,411.352077428412,874.539023786751,0.67630275060186,-9902.97893230828,20444.2392422117,15858.8312904274,4585.40795178436,30347.21817452,21146.2237963762,9200.99437814377,-3046.72961918521,130881.017931611
2021-07-01,2021,"Q3","2021/22","Q1","July",114880.661559815,13730.820579083,5148.45796565542,96001.3830150762,35246.0621113939,9223.32582028058,26022.7362911133,356.84413519575,0,356.84413519575,8690.96850942765,1061.20935099785,7629.7591584298,12801.6010229877,6087.13305585455,6714.46796713314,2163.90786431723,666.729012783434,1497.1788515338,500.977541439119,0,500.977541439119,7862.56964081769,1408.25440064474,6454.31524017295,1607.69108871543,0,1607.69108871543,532.634554854318,0,532.634554854318,728.867753639,0,728.867753639,962.149720604951,0.0502515448463989,-11540.718852318,16422.1582378204,11689.9769349102,4732.18130291029,27962.8770901385,19149.4879619984,8813.38912814011,-2662.33706527593,136885.867725764
2022-07-01,2022,"Q3","2022/23","Q1","July",119173.651165803,14255.4999206773,5495.68665109155,99422.464594034,36551.7124187121,9238.42241501691,27313.2900036952,362.439950659616,0,362.439950659616,8679.09461204049,1046.50295082137,7632.59166121911,13894.5076687873,5932.10253262056,7962.40513616669,2159.25114908608,734.097014420201,1425.15413466588,522.206541593238,0,522.206541593238,7413.69890629222,1525.71991715478,5887.97898913744,1724.61939397653,0,1724.61939397653,1109.28615322121,0,1109.28615322121,686.608043055467,0,686.608043055467,1060.64658019998,0.0315998917451754,-10759.3452874965,16467.0451287947,12118.7421202376,4348.30300855705,27226.3904162911,18150.1400947433,9076.25032154784,-1835.26701144129,144191.429465669
2023-07-01,2023,"Q3","2023/24","Q1","July",122146.26973979,16385.6346417757,5542.80315665494,100217.83194136,38986.1396161765,12323.9327417786,26252.6988603509,368.123516341624,0,368.123516341624,9150.39581798893,1534.61226156354,7478.20779283088,15097.3260510432,8507.57487849995,6258.80127840858,1956.90907334114,470.096507210456,1557.80524899149,453.967610847233,0,450.877176839579,8010.01669713422,1811.64909450465,6189.03800790064,1905.00146314255,0,1906.26346919076,1069.38204148848,0,1069.38204148848,975.017344849096,0,974.200328358839,1127.67538025551,0.0126345201433387,-5608.87594209514,24216.2016478618,17696.6296255235,6519.57202233831,29825.077589957,18732.5839686807,11092.4936212763,-3728.16350440244,152923.057924245
2024-07-01,2024,"Q3","2024/25","Q1","July",134941.550409345,21120.057546855,5148.26757294366,108673.225289547,41777.1681975976,,,373.896208288004,,,10624.2250680594,,,16387.3676745967,,,2393.08146272583,,,459.662141123049,,,7433.01409931165,,,2153.55739802927,,,988.767691237322,,,963.596454226462,,,1231.20490498841,0.000791338469918857,-3377.24439951136,29932.1213089614,22980.8748661374,6951.24644282401,33309.3657084728,21780.2575441076,11529.1081643652,-11966.8220943979,162605.857809361
2025-07-01,2025,"Q3","2025/26","Q1","July",142871.421918167,21519.0357305108,4706.16298995082,116646.223197706,44918.0099950822,,,379.75942412332,,,11669.2978078686,,,17595.0444492048,,,2535.11991847213,,,624.573197835929,,,7853.30941519767,,,2433.04950860514,,,1012.53183735468,,,815.324436419882,,,1311.44216951385,0.0177570947824815,-4011.72082946286,39866.4942558433,32206.1250943667,7660.36916147663,43878.2150853062,28963.0254002701,14915.1896850361,-12068.7515027107,173020.419507685
