"Date","Year","Quarter","FY","QFY","Month","GDP_CP","GDP_CP_F","GDP_CP_IF","GDP_CP_M","GDP_CP_NM","GDP_CP_OA","GDP_AGR_CP","GDP_AGR_CP_F","GDP_AGR_CP_IF","GDP_AGR_CP_M","GDP_AGR_CP_NM","GDP_AGR_CP_OA","GDP_AGR_CAC_CP","GDP_AGR_CAC_CP_F","GDP_AGR_CAC_CP_IF","GDP_AGR_CAC_CP_M","GDP_AGR_CAC_CP_NM","GDP_AGR_CAC_CP_OA","GDP_AGR_FOC_CP","GDP_AGR_FOC_CP_F","GDP_AGR_FOC_CP_IF","GDP_AGR_FOC_CP_M","GDP_AGR_FOC_CP_NM","GDP_AGR_FOC_CP_OA","GDP_AGR_LST_CP","GDP_AGR_LST_CP_F","GDP_AGR_LST_CP_IF","GDP_AGR_LST_CP_M","GDP_AGR_LST_CP_NM","GDP_AGR_LST_CP_OA","GDP_AGR_ASS_CP","GDP_AGR_ASS_CP_F","GDP_AGR_ASS_CP_IF","GDP_AGR_ASS_CP_M","GDP_AGR_ASS_CP_NM","GDP_AGR_ASS_CP_OA","GDP_AGR_FST_CP","GDP_AGR_FST_CP_F","GDP_AGR_FST_CP_IF","GDP_AGR_FST_CP_M","GDP_AGR_FST_CP_NM","GDP_AGR_FST_CP_OA","GDP_AGR_FSH_CP","GDP_AGR_FSH_CP_F","GDP_AGR_FSH_CP_IF","GDP_AGR_FSH_CP_M","GDP_AGR_FSH_CP_NM","GDP_AGR_FSH_CP_OA","GDP_IND_CP","GDP_IND_CP_F","GDP_IND_CP_IF","GDP_IND_CP_M","GDP_IND_CP_NM","GDP_IND_CP_OA","GDP_IND_MIN_CP","GDP_IND_MIN_CP_F","GDP_IND_MIN_CP_IF","GDP_IND_MIN_CP_M","GDP_IND_MIN_CP_NM","GDP_IND_MIN_CP_OA","GDP_IND_MAN_CP","GDP_IND_MAN_CP_F","GDP_IND_MAN_CP_IF","GDP_IND_MAN_CP_M","GDP_IND_MAN_CP_NM","GDP_IND_MAN_CP_OA","GDP_IND_ELC_CP","GDP_IND_ELC_CP_F","GDP_IND_ELC_CP_IF","GDP_IND_ELC_CP_M","GDP_IND_ELC_CP_NM","GDP_IND_ELC_CP_OA","GDP_IND_H2O_CP","GDP_IND_H2O_CP_F","GDP_IND_H2O_CP_IF","GDP_IND_H2O_CP_M","GDP_IND_H2O_CP_NM","GDP_IND_H2O_CP_OA","GDP_IND_CON_CP","GDP_IND_CON_CP_F","GDP_IND_CON_CP_IF","GDP_IND_CON_CP_M","GDP_IND_CON_CP_NM","GDP_IND_CON_CP_OA","GDP_SER_CP","GDP_SER_CP_F","GDP_SER_CP_IF","GDP_SER_CP_M","GDP_SER_CP_NM","GDP_SER_CP_OA","GDP_SER_WRT_CP","GDP_SER_WRT_CP_F","GDP_SER_WRT_CP_IF","GDP_SER_WRT_CP_M","GDP_SER_WRT_CP_NM","GDP_SER_WRT_CP_OA","GDP_SER_TRA_CP","GDP_SER_TRA_CP_F","GDP_SER_TRA_CP_IF","GDP_SER_TRA_CP_M","GDP_SER_TRA_CP_NM","GDP_SER_TRA_CP_OA","GDP_SER_AFS_CP","GDP_SER_AFS_CP_F","GDP_SER_AFS_CP_IF","GDP_SER_AFS_CP_M","GDP_SER_AFS_CP_NM","GDP_SER_AFS_CP_OA","GDP_SER_ICT_CP","GDP_SER_ICT_CP_F","GDP_SER_ICT_CP_IF","GDP_SER_ICT_CP_M","GDP_SER_ICT_CP_NM","GDP_SER_ICT_CP_OA","GDP_SER_FIN_CP","GDP_SER_FIN_CP_F","GDP_SER_FIN_CP_IF","GDP_SER_FIN_CP_M","GDP_SER_FIN_CP_NM","GDP_SER_FIN_CP_OA","GDP_SER_REE_CP","GDP_SER_REE_CP_F","GDP_SER_REE_CP_IF","GDP_SER_REE_CP_M","GDP_SER_REE_CP_NM","GDP_SER_REE_CP_OA","GDP_SER_PST_CP","GDP_SER_PST_CP_F","GDP_SER_PST_CP_IF","GDP_SER_PST_CP_M","GDP_SER_PST_CP_NM","GDP_SER_PST_CP_OA","GDP_SER_ADM_CP","GDP_SER_ADM_CP_F","GDP_SER_ADM_CP_IF","GDP_SER_ADM_CP_M","GDP_SER_ADM_CP_NM","GDP_SER_ADM_CP_OA","GDP_SER_PAD_CP","GDP_SER_PAD_CP_F","GDP_SER_PAD_CP_IF","GDP_SER_PAD_CP_M","GDP_SER_PAD_CP_NM","GDP_SER_PAD_CP_OA","GDP_SER_EDU_CP","GDP_SER_EDU_CP_F","GDP_SER_EDU_CP_IF","GDP_SER_EDU_CP_M","GDP_SER_EDU_CP_NM","GDP_SER_EDU_CP_OA","GDP_SER_HEA_CP","GDP_SER_HEA_CP_F","GDP_SER_HEA_CP_IF","GDP_SER_HEA_CP_M","GDP_SER_HEA_CP_NM","GDP_SER_HEA_CP_OA","GDP_SER_AER_CP","GDP_SER_AER_CP_F","GDP_SER_AER_CP_IF","GDP_SER_AER_CP_M","GDP_SER_AER_CP_NM","GDP_SER_AER_CP_OA","GDP_SER_OTH_CP","GDP_SER_OTH_CP_F","GDP_SER_OTH_CP_IF","GDP_SER_OTH_CP_M","GDP_SER_OTH_CP_NM","GDP_SER_OTH_CP_OA","GDP_SER_HHA_CP","GDP_SER_HHA_CP_F","GDP_SER_HHA_CP_IF","GDP_SER_HHA_CP_M","GDP_SER_HHA_CP_NM","GDP_SER_HHA_CP_OA","GDP_TAX_CP","GDP_TAX_CP_F","GDP_TAX_CP_M"
2008-07-01,2008,"Q3","2008/09","Q1","July",48495.1721515682,20207.609195524,30628.811886472,45027.2949707015,2130.97199110307,7316.90229204586,16516.1105347947,291.287456683227,17026.6556989361,12782.7164124871,0,4128.93704825382,1904.29939136297,158.411613029395,1917.16442893771,1899.80018254055,0,4.49920882241817,9142.20278298117,0,9142.20278298117,5524.40227846051,0,3617.80050452065,2096.73040308451,0,2096.73040308451,2096.73040308451,0,0,11.5233526132066,11.5233526132066,0,11.5233526132066,0,0,1836.57373015448,198.110990244207,2348.55720786447,1427.53820629063,0,409.035523863852,1920.32380054456,0,1920.32380054456,1822.72198949766,0,97.6018110469013,11478.2628590026,6658.11369534799,4718.07865847424,12243.7189610159,0,988.763566789813,253.781959180641,122.573757115389,131.786627450817,253.781959180641,0,0,9736.78587945569,5348.56491236584,3990.4486666164,9097.06739032441,0,639.718489131282,435.240398840448,435.240398840448,0,435.240398840448,0,0,997.460664396953,139.000816708247,863.861259512004,648.415586738422,0,349.045077658531,1809.213625932,1329.38924433607,482.154514896305,1809.213625932,0,0,18866.5531565748,10569.1424416787,8966.09263912962,17311.7939953843,2130.97199110307,2199.20167700222,6383.68409361923,3063.19589350384,3375.73527239863,6383.68409361923,0,0,1255.4364786816,517.013323733705,685.243614646463,1255.4364786816,0,0,948.161545433714,260.684198820503,619.477660827111,948.161545433714,0,0,327.293556605136,326.154563160702,0,327.293556605136,0,0,862.216651079268,862.216651079268,0,862.216651079268,0,0,3072.52076865277,4326.27971745756,1261.78868183052,1612.37108934851,0,1460.14967930426,1951.47840047928,1843.95703491433,42.7413874266741,1565.91431255288,0,385.564087926401,748.635549256694,601.886977204448,163.40825473903,748.635549256694,0,0,736.181969741621,736.181969741621,0,0,736.181969741621,0,1983.25003840081,1936.37410938234,0,1455.42390619761,527.826132203199,0,1660.55274153406,882.743274348605,604.110487870143,794.946615334254,865.60612619981,0,68.0585144747715,6.51382888264846,176.370609473894,66.7007515163331,1.35776295843849,0,1075.58743987608,9.04912481144497,1122.33177971343,722.099530104524,0,353.487909771556,568.909915654596,0,568.909915654596,568.909915654596,0,0,2689.06560181412,2689.06560181412,2689.06560181412
2009-07-01,2009,"Q3","2009/10","Q1","July",54117.2416706925,23396.7083093219,33458.4982475153,49151.7136299853,2447.89778517767,8116.22285586945,17480.1040391639,358.063450968983,17856.5637865713,13230.0028522175,0,4557.25705270821,1419.74314869396,130.401773359726,1422.23156471844,1416.3887807153,0,3.35436797866102,10098.2160326232,0,10098.2160326232,6102.09694351351,0,3996.11908910968,2196.86461852322,0,2196.86461852322,2196.86461852322,0,0,12.8288732549972,12.8288732549972,0,12.8288732549972,0,0,2044.6174380104,259.377820804019,2406.35631909511,1589.24711928793,0,455.370318722463,2014.98979381993,0,2014.98979381993,1912.57651692253,0,102.413276897405,13355.0978700645,7893.03600131058,5320.87213861868,13841.0466364937,0,1090.89264427461,297.416479814111,194.928604359954,150.671164628109,297.416479814111,0,0,10637.4512543185,5716.80034169144,4577.39998820478,9938.55797178479,0,698.893282533668,580.985884711721,580.985884711721,0,580.985884711721,0,0,1120.21045083415,145.714328658886,975.822717442802,728.211089093207,0,391.999361740945,2295.87521108987,1774.79845657463,518.64411955229,2295.87521108987,0,0,21616.5954981858,12385.8579681248,9818.12296639769,19320.9132523567,2447.89778517767,2468.07315888663,6583.18724939072,3151.69088136385,3490.06998635432,6583.18724939072,0,0,1480.6036301918,587.228332227515,842.904603491353,1480.6036301918,0,0,1266.51438935951,375.556295192539,777.799977640375,1266.51438935951,0,0,481.819397465551,479.489479602922,0,481.819397465551,0,0,877.417181596665,877.417181596665,0,877.417181596665,0,0,3371.21835908985,7386.24738361331,1362.01941735297,1769.11904828582,0,1602.09931080403,2417.63489865052,2263.18851724944,189.922308976952,1939.96976312646,0,477.665135524067,1012.63666558039,800.651304079984,287.905348263539,1012.63666558039,0,0,927.288927203363,927.288927203363,0,0,927.288927203363,0,2088.98342404991,2015.31157116,0,1533.01719709753,555.966226952381,0,1847.34127503065,980.495402939677,688.562042521561,884.366787769839,962.974487260811,0,83.6164999244973,8.09153412005557,194.810697892582,81.9483561633836,1.66814376111371,0,1181.53962972119,9.83969952329906,1256.9614480924,793.230917162664,0,388.308712558526,617.082669166326,0,617.082669166326,617.082669166326,0,0,2759.75088891749,2759.75088891749,2759.75088891749
2010-07-01,2010,"Q3","2010/11","Q1","July",64759.5828212314,29546.3808395701,37329.2232417324,57818.0617280752,3007.51772124685,8882.62680924627,18584.2963303569,538.548534234013,18530.6309653361,13928.3111062193,0,4832.05270669092,1417.61477038621,132.976560799459,1418.5463572438,1414.26543103829,0,3.34933934791991,10537.2594610308,0,10537.2594610308,6367.39980036472,0,4169.85966066606,2299.98316440295,0,2299.98316440295,2299.98316440295,0,0,13.6598136260025,13.6598136260025,0,13.6598136260025,0,0,2504.74200406948,411.704289866997,2520.97977072675,1946.89428962342,0,557.847714446061,1987.10459939483,0,1987.10459939483,1886.10860716396,0,100.995992230875,16543.0072204011,9472.96376881577,6944.80859657547,16593.2315727188,0,1253.4057390413,497.284066281244,131.045357180831,268.397373687517,497.284066281244,0,0,12360.2129324622,6557.13402561957,5470.12466254879,11548.1321451893,0,812.08078727286,699.805861750048,699.805861750048,0,699.805861750048,0,0,1261.16741871531,159.980198046943,1100.88219568444,819.84246694688,0,441.324951768435,3028.16703255125,2283.91994989004,742.876712705429,3028.16703255125,0,0,26973.9839011163,16078.526109833,11272.7324394649,23840.1766224498,3007.51772124685,2797.16836351406,7891.1369852396,3804.97278464962,4150.46720717921,7891.1369852396,0,0,1775.69708790955,701.560539316911,1015.17143895832,1775.69708790955,0,0,1445.32914689519,405.114958872662,929.871411479573,1445.32914689519,0,0,707.446585539152,703.971021485379,0,707.446585539152,0,0,1175.08387721919,1175.08387721919,0,1175.08387721919,0,0,3573.46406450683,4448.64017002335,1473.27954000422,1875.25181447774,0,1698.21225002909,3480.64660832365,3264.87647723094,220.583893411658,2792.95652955935,0,687.690078764301,1757.46847468876,1373.47912259992,588.936490366056,1757.46847468876,0,0,1274.24393291784,1274.24393291784,0,0,1274.24393291784,0,2553.29759224332,2509.16449761453,0,1873.7578638265,679.539728416822,0,2017.9048190129,1068.01914356385,784.820252985917,966.019666715946,1051.88515229696,0,92.6773741407151,9.51459549010923,106.252856840856,90.8284665254857,1.84890761522944,0,1251.39380772331,10.3930365286721,1338.11903019142,840.127773002654,0,411.266034720661,649.072350850661,0,649.072350850661,649.072350850661,0,0,3456.34242668737,3456.34242668737,3456.34242668737
2011-07-01,2011,"Q3","2011/12","Q1","July",69825.1886899684,32371.4538350927,38895.6501751256,61459.1658894527,3117.47111563192,9008.62943502154,18805.7890624337,547.626527805618,18744.498182319,14238.8528551711,0,4737.71864823291,1696.23338170929,144.50682658861,1705.68920626612,1692.22576177805,0,4.00761993123591,10253.3698672473,0,10253.3698672473,6195.85248775771,0,4057.51737948958,2408.60340684107,0,2408.60340684107,2408.60340684107,0,0,10.3772677515783,10.3772677515783,0,10.3772677515783,0,0,2571.3365301995,417.63744861263,2608.66609688248,1998.65710688446,0,572.679423315035,2036.65104965527,0,2036.65104965527,1933.13682415822,0,103.514225497052,17569.7666899606,9705.77002643697,7807.63270177972,17623.8698196866,0,1353.64403725732,443.595076669768,189.712753353197,232.386260204154,443.595076669768,0,0,13036.3674356776,6343.61955735625,6862.34502554003,12179.8624880533,0,856.504947624267,806.572822861438,806.572822861438,0,806.572822861438,0,0,1420.6666083634,176.926713463059,1241.96569934609,923.527518730343,0,497.139089633057,3270.3119133717,2433.33258864242,838.003453638209,3270.3119133717,0,0,29202.1874082713,17520.0671858166,12032.1381811892,24998.4531195616,3117.47111563192,2917.2667495313,8013.4844900412,3951.55620078694,4109.79439368761,8013.4844900412,0,0,2062.32752424172,786.472519156404,1224.67467772996,2062.32752424172,0,0,1725.92479517608,492.404488585681,1094.55767350625,1725.92479517608,0,0,993.002576551809,991.279750378856,0,993.002576551809,0,0,1153.15004596654,1153.15004596654,0,1153.15004596654,0,0,3896.76644999887,4290.84352178183,1612.47866279158,2044.91166667569,0,1851.85478332318,2980.28354723687,2777.40242561462,351.864947271983,2391.45289076113,0,588.830656475741,1634.1278006817,1282.85133120114,514.741810181929,1634.1278006817,0,0,1174.63596776455,1174.63596776455,0,0,1174.63596776455,0,2953.84314088404,2923.13275712107,0,2167.70141896331,786.141721920736,0,2214.82496792603,1169.26237163179,894.535796738824,1060.29008761507,1154.53488031096,0,108.198127277715,11.0311801847792,136.920483509904,106.03958164204,2.15854563567578,0,1450.13409697412,12.2942121144038,1491.01239536061,973.552787241738,0,476.581309732386,672.48745400355,0,672.48745400355,672.48745400355,0,0,4597.99009503352,4597.99009503352,4597.99009503352
2012-07-01,2012,"Q3","2012/13","Q1","July",74924.1525561715,35034.700982297,40825.8471938112,63888.7881518492,3349.31064028572,9371.96200933166,19512.6378300062,829.22079617168,18833.7635133774,14660.9820542943,0,4842.01741536542,1693.66902737977,173.570842278165,1686.76549645525,1689.66746614166,0,4.0015612381147,10193.6874680514,0,10193.6874680514,6159.78792105225,0,4033.89954699917,2529.74273580243,0,2529.74273580243,2529.74273580243,0,0,12.0585060383702,12.0585060383702,0,12.0585060383702,0,0,3177.79838179879,650.428818084386,2721.14292314075,2470.04981473014,0,707.748567068655,1896.04335058898,0,1896.04335058898,1799.6756105295,0,96.3677400594842,18330.7075361853,9963.9903323145,8349.59140912435,17703.0173280408,0,1376.16688464617,549.917982753441,232.593650280519,288.30797358784,549.917982753441,0,0,12398.8695519935,5900.6077140716,6801.59690604044,11584.2489785378,0,814.620573455653,974.903528625684,974.903528625684,0,974.903528625684,0,0,1604.7221190087,202.654571261845,1401.28315543,1043.17580781818,0,561.546311190519,3550.77103030567,2685.94170091436,862.776232174353,3550.77103030567,0,0,32461.2686939325,19582.7989363384,13213.7428634503,26866.0978520417,3349.31064028572,3153.77770932006,8459.60918228337,4121.19816274567,4398.63551670766,8459.60918228337,0,0,2268.29547149792,817.402149691772,1427.37064039283,2268.29547149792,0,0,1906.55765857828,513.172416385832,1266.53866703051,1906.55765857828,0,0,1381.81532708203,1386.07962300472,0,1381.81532708203,0,0,1347.39880185272,1347.39880185272,0,1347.39880185272,0,0,4277.23343160064,2662.48674515541,1795.4516509553,2244.56986519631,0,2032.66356640434,3008.26726885398,2810.58778413504,285.180772921756,2413.90771792599,0,594.359550927986,1284.22238487681,1002.95695792876,434.274817449401,1284.22238487681,0,0,1177.65758174477,1177.65758174477,0,0,1177.65758174477,0,3454.00852590847,3448.54282476629,0,2534.75178796472,919.256737943749,0,2398.64493291734,1261.84073968379,1019.59013598,1148.28913476711,1250.35579815023,0,102.282158774082,10.6667304891978,91.8312791096565,100.241636327121,2.04052244696072,0,1602.80056934681,13.606115218081,1643.86162821265,1076.04597735907,0,526.754591987743,700.392906330232,0,700.392906330232,700.392906330232,0,0,4658.6909174724,4658.6909174724,4658.6909174724
2013-07-01,2013,"Q3","2013/14","Q1","July",82771.2275766591,40143.6610055457,43256.5454613481,69510.1217793208,3581.26130753054,10166.4044006707,20579.6224969182,915.998128067588,19776.2022278629,15408.4007808867,0,5135.3979846854,1682.37135265319,148.710112752831,1688.62810633,1678.39648396039,0,3.97486869279688,10796.5656253927,0,10796.5656253927,6524.09196736482,0,4272.47365802785,2670.74935385379,0,2670.74935385379,2670.74935385379,0,0,12.1678181916762,12.1678181916762,0,12.1678181916762,0,0,3405.69641136172,736.296844820364,2786.63369950003,2647.19116168388,0,758.505249677836,1976.24820411911,0,1976.24820411911,1875.8039958322,0,100.444208286911,20729.4101001444,11597.9448561922,9030.59821229102,19391.9268506507,0,1485.19667937078,613.916068787358,322.037417292249,316.800228920647,613.916068787358,0,0,12940.3401821392,6398.00484566257,6608.20896990098,12090.1443400359,0,850.195842103252,1011.62398285765,1011.62398285765,0,1011.62398285765,0,0,1814.63197041022,235.196398778755,1581.20761151768,1179.6311331427,0,635.000837267528,4496.6113258271,3428.63884309719,1064.16150107826,4496.6113258271,0,0,36075.8147368802,22250.2279428184,13970.4573350242,29330.3040693159,3581.26130753054,3545.80973661452,8150.20659895944,4073.57084802413,4115.69407858969,8150.20659895944,0,0,2551.16031667779,867.697761887824,1697.66157179848,2551.16031667779,0,0,2255.33177429581,599.933002011109,1511.93778716819,2255.33177429581,0,0,1811.59944110606,1825.58045074086,0,1811.59944110606,0,0,1870.83430950481,1870.83430950481,0,1870.83430950481,0,0,4831.24381649854,3066.67340371769,2027.14738699208,2535.29868204329,0,2295.94513445525,3059.3546312114,2859.53556242453,278.809894051113,2454.90147521606,0,604.453155995337,1498.91266868537,1211.82365000218,296.914567024826,1498.91266868537,0,0,1191.86853578109,1191.86853578109,0,0,1191.86853578109,0,3766.31297349719,3743.51607158442,0,2763.9389051872,1002.37406830999,0,2656.37291915014,1394.58484925184,1162.12778456652,1271.66973281026,1384.70318633988,0,116.066396611726,12.3191283761356,75.8172695605407,113.750879512139,2.31551709958714,0,1963.84777486395,17.06223681704,1924.20449738973,1318.43632870002,0,645.41144616393,734.262956617624,0,734.262956617624,734.262956617624,0,0,5379.49007846742,5379.49007846742,5379.49007846742
2014-07-01,2014,"Q3","2014/15","Q1","July",91582.1077340647,44856.4227944517,47495.7346541464,77878.4034572392,4488.0861136471,11022.6007087863,21556.4252904714,954.551311993455,20725.1452820694,16142.6963260526,0,5353.79457431605,1819.50240628817,246.849097773867,1782.12420739812,1815.20354376901,0,4.29886251915652,11275.931645814,0,11275.931645814,6813.7607483245,0,4462.17089748954,2829.71535356868,0,2829.71535356868,2829.71535356868,0,0,16.8345196374211,16.8345196374211,0,16.8345196374211,0,0,3519.74985552979,730.410375846408,2980.29904026347,2735.84300638562,0,783.906849144165,2034.75711953058,0,2034.75711953058,1931.33915436739,0,103.417965163189,24068.6073806138,13019.998371869,11043.3538740213,23053.4381468313,0,1774.36582730028,855.667046247087,918.423440374523,412.417720878697,855.667046247087,0,0,16126.279103703,7681.62320016573,8831.31252162611,15066.7632602564,0,1059.51584344658,1129.98099160602,1129.98099160602,0,1129.98099160602,0,0,2042.8156289212,256.941472448746,1784.42272359391,1327.9656450675,0,714.849983853701,4673.06120365423,3514.92362633869,1156.6302313088,4673.06120365423,0,0,39626.9658879876,24386.8638371115,15423.0269574188,32187.2597108775,4488.0861136471,3894.44030716993,8672.93677423662,4366.33466930388,4343.02399100213,8672.93677423662,0,0,2897.00778685712,975.076630130255,1946.74934768484,2897.00778685712,0,0,2234.78994241747,503.037279773579,1688.25696033159,2234.78994241747,0,0,1748.4371628073,1755.19852902387,0,1748.4371628073,0,0,2300.66138813387,2300.66138813387,0,2300.66138813387,0,0,5480.44902688388,3995.71119911925,2292.34831151296,2875.98302271863,0,2604.46600416526,2726.24361237818,2542.85753747816,299.400312788431,2187.60499274826,0,538.638619629922,2360.68992994189,1923.26580712587,405.458818587952,2360.68992994189,0,0,1837.07908015755,1837.07908015755,0,0,1837.07908015755,0,4167.38678376947,4135.04433879599,0,3058.27012934829,1109.11665442118,0,2952.98823715154,1547.53411682009,1324.59308635257,1413.66663372391,1539.32160342762,0,128.761101517816,13.7424346063585,75.1801532195997,126.192325877063,2.56877564075301,0,2286.15237418122,19.9483178855394,2220.66447063582,1534.81669080646,0,751.335683374756,776.20293126062,0,776.20293126062,776.20293126062,0,0,6495.00927347775,6495.00927347775,6495.00927347775
2015-07-01,2015,"Q3","2015/16","Q1","July",100548.527459632,50104.5746222204,50443.9528374114,83654.7224673289,5096.47567630888,11797.329315994,22784.6208797692,1136.52321367632,21648.0976660929,17229.9913646734,0,5554.62951509578,2119.87012845207,223.413373995579,1896.4567544565,2114.86159963167,0,5.00852882040037,11563.2989963147,0,11563.2989963147,6987.40958149369,0,4575.88941482097,2989.16309286913,0,2989.16309286913,2989.16309286913,0,0,15.3196332602532,15.3196332602532,0,15.3196332602532,0,0,3862.03516579658,897.790206420492,2964.24495937609,3001.89568362651,0,860.139482170066,2234.93386307649,0,2234.93386307649,2121.34177379215,0,113.592089284346,26309.9906092898,14211.8803061852,12098.1103031046,24430.1777800615,0,1879.81282922831,1081.49193470989,519.668009306048,561.823925403839,1081.49193470989,0,0,16318.7722188753,8153.58513588546,8165.18708298985,15246.6093473097,0,1072.16287156558,1221.73514302792,1221.73514302792,0,1221.73514302792,0,0,2308.00866402289,294.045061640786,2013.96360238211,1500.35870636017,0,807.649957662725,5379.98264865375,4022.84695632496,1357.13569232879,5379.98264865375,0,0,44676.1404060254,27978.3955378115,16697.7448682139,35216.7777580467,5096.47567630888,4362.88697166987,9286.93114211078,5015.57154701829,4271.35959509249,9286.93114211078,0,0,3388.73234796861,1175.537059735,2213.1952882336,3388.73234796861,0,0,2497.82115566812,524.803395677047,1973.01775999108,2497.82115566812,0,0,2275.07162084767,2275.07162084767,0,2275.07162084767,0,0,2763.94361511829,2763.94361511829,0,2763.94361511829,0,0,6167.660381031,3574.73779522985,2592.92258580115,3236.61190145675,0,2931.04847957425,2708.62672753135,2541.28775777639,167.338969754966,2173.46877063201,0,535.157956899347,1751.63306415089,1419.58725507689,332.045809073998,1751.63306415089,0,0,2159.12249123987,2159.12249123987,0,0,2159.12249123987,0,4847.04237812613,4847.04237812614,0,3557.04082434612,1290.00155378002,0,3155.78604350695,1646.01390780501,1509.77213570194,1510.75083088739,1645.03521261956,0,116.11158822966,12.1106882351761,104.000899994484,113.79516956022,2.31641866943973,0,2728.40539825468,23.5660259258865,2704.8393723288,1831.7248630584,0,896.680535196278,829.25245224142,0,829.25245224142,829.25245224142,0,0,6777.77556454736,6777.77556454736,6777.77556454736
2016-07-01,2016,"Q3","2016/17","Q1","July",108518.040921473,53045.8530441233,55472.1878773498,89986.1348509603,5676.78350687047,12855.1225636424,25457.06858012,1213.70920896488,24243.3593711551,19147.9777189696,0,6309.09086115044,2551.94969993382,253.639845880485,2298.30985405334,2545.92031471405,0,6.02938521977461,13394.9450153456,0,13394.9450153456,8094.22701718922,0,5300.7179981564,3309.09024957081,0,3309.09024957081,3309.09024957081,0,0,16.4724397745471,16.4724397745471,0,16.4724397745471,0,0,4002.57447302378,943.596923309845,3058.97754971393,3111.13454905206,0,891.439923971716,2182.03670247145,0,2182.03670247145,2071.13314866889,0,110.903553802555,28248.3256049946,15677.3436249912,12570.9819800034,26239.4550504666,0,2008.87055452801,1337.11734025727,570.246349242265,766.870991015002,1337.11734025727,0,0,16845.2512467182,8776.63667922223,8068.614567496,15738.4980727242,0,1106.75317399399,1379.47635890604,1379.47635890604,0,1379.47635890604,0,0,2577.96674225498,351.948140377552,2226.01860187743,1675.84936172096,0,902.11738053402,6108.5139168581,4599.03609724312,1509.47781961499,6108.5139168581,0,0,47182.0157764178,28524.1692502266,18657.8465261912,36968.0711215834,5676.78350687047,4537.16114796396,9832.00312403541,5176.61839022284,4655.38473381257,9832.00312403541,0,0,3620.67029153693,1219.16117013638,2401.50912140054,3620.67029153693,0,0,3211.52601045807,668.307480701427,2543.21852975665,3211.52601045807,0,0,2129.85767348725,2129.85767348725,0,2129.85767348725,0,0,2871.45185495595,2871.45185495595,0,2871.45185495595,0,0,6515.19687706655,3829.11989314234,2686.07698392421,3418.98912227759,0,3096.20775478896,2330.37484998699,2014.29726269551,316.077587291488,1869.95015179859,0,460.424698188402,1901.04397274419,1528.95883545578,372.085137288408,1901.04397274419,0,0,2677.63962659212,2677.63962659212,0,0,2677.63962659212,0,4776.50353939137,4776.50353939137,0,3505.27533324709,1271.22820614429,0,3309.76419642342,1595.9920520378,1713.77214438562,1584.46388343596,1725.30031298746,0,131.09622216955,7.50569477274909,123.590527396801,128.480861022944,2.61536114660598,0,2983.53725717872,28.755776635037,2954.78148054369,2003.00856219213,0,980.528694986598,891.350280391267,0,891.350280391267,891.350280391267,0,0,7630.6309599407,7630.6309599407,7630.6309599407
2017-07-01,2017,"Q3","2017/18","Q1","July",120484.777455384,58310.4001161921,62174.3773391916,99632.6658006235,6538.16807255507,14313.9435822051,28013.0644321621,1391.23583643987,26621.8285957222,20971.3109686142,0,7041.75346354795,2704.74462553731,238.003131457028,2466.74149408028,2698.35423811356,0,6.39038742374207,14968.5888468706,0,14968.5888468706,9045.14024617001,0,5923.44860070056,3875.56719383876,0,3875.56719383876,3875.56719383876,0,0,14.4693310081298,14.4693310081298,0,14.4693310081298,0,0,4561.63802149692,1138.76337397471,3422.87464752221,3545.68534441963,0,1015.95267707728,1888.05641341041,0,1888.05641341041,1792.09461506405,0,95.9617983463601,31610.4002484878,17275.4969572407,14334.9032912472,29351.5084027952,0,2258.89184569263,1536.4564713401,708.344568555251,828.111902784851,1536.4564713401,0,0,19011.721501458,9649.23431616924,9362.48718528876,17762.6286380359,0,1249.09286342212,1546.37672365999,1546.37672365999,0,1546.37672365999,0,0,2885.68677295109,384.807174078141,2500.87959887295,1875.88779068058,0,1009.79898227051,6630.15877907864,4986.73417477803,1643.4246043006,6630.15877907864,0,0,52216.7687885338,30999.1233363116,21217.6454522222,40665.3024430142,6538.16807255507,5013.29827296456,10924.9779283937,5782.23333816736,5142.74459022634,10924.9779283937,0,0,4111.32223452392,1310.68526384787,2800.63697067605,4111.32223452392,0,0,3669.31094128686,767.522986393273,2901.78795489358,3669.31094128686,0,0,1965.05259472322,1965.05259472322,0,1965.05259472322,0,0,3066.07551756803,3066.07551756803,0,3066.07551756803,0,0,7423.74103161199,4076.21580292273,3347.52522868927,3895.76712916084,0,3527.97390245115,2595.82772845793,2172.0887492724,423.738979185526,2082.95607674447,0,512.871651713456,2011.53609750515,1524.03391514457,487.502182360576,2011.53609750515,0,0,3048.55724188034,3048.55724188034,0,0,3048.55724188034,0,5290.14622701711,5290.1462270171,0,3882.21612857761,1407.9300984395,0,3985.26095790817,1956.16211476085,2029.09884314732,1907.84046207777,2077.42049583041,0,213.546377312402,13.2831436964465,200.263233615956,209.28614090758,4.26023640482174,0,2958.96380413839,27.0664409174275,2931.89736322096,1986.51108533844,0,972.45271879995,952.450106206581,0,952.450106206581,952.450106206581,0,0,8644.5439862,8644.5439862,8644.5439862
