"Date","Year","Quarter","FY","QFY","Month","CORENS","CORESA","CPTOTNSXN","CPTOTSAXN","CPTOTSAXNZGY","DMGSRMRCHNSCD","DMGSRMRCHNSKD","DMGSRMRCHNSXD","DMGSRMRCHSACD","DMGSRMRCHSAKD","DMGSRMRCHSAXD","DPANUSLCU","DPANUSSPB","DPANUSSPF","DSTKMKTXD","DSTKMKTXN","DXGSRMRCHNSCD","DXGSRMRCHNSKD","DXGSRMRCHNSXD","DXGSRMRCHSACD","DXGSRMRCHSAKD","DXGSRMRCHSAXD","IMPCOV","IPTOTNSKD","IPTOTSAKD","NEER","REER","TOT","TOTRESV"
1987-01-01,1987,"Q1","1986/87","Q3","January",,,,,,,,,,,,13.98552235445,13.98552235445,13.98552235445,,,,,,,,,,,,4099.23,775.88607777751,,
1987-02-01,1987,"Q1","1986/87","Q3","February",,,,,,,,,,,,13.98552235445,13.98552235445,13.98552235445,,,,,,,,,,,,4127.74,828.78649216431,,
1987-03-01,1987,"Q1","1986/87","Q3","March",,,,,,,,,,,,13.98552235445,13.98552235445,13.98552235445,,,,,,,,,,,,4163.21,856.84671196948,,
1987-04-01,1987,"Q2","1986/87","Q4","April",,,,,,,,,,,,13.98552235445,13.98552235445,13.98552235445,,,,,,,,,,,,4165.96,985.45771942291,,
1987-05-01,1987,"Q2","1986/87","Q4","May",,,,,,,,,,,,38.06060012176,38.06060012176,38.06060012176,,,,,,,,,,,,1554.2,448.60351406273,,
1987-06-01,1987,"Q2","1986/87","Q4","June",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1023.22,245.79192537111,,
1987-07-01,1987,"Q3","1987/88","Q1","July",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1047.42,275.95216162642,,
1987-08-01,1987,"Q3","1987/88","Q1","August",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1057.11,281.84220776514,,
1987-09-01,1987,"Q3","1987/88","Q1","September",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1047.2,350.09274239461,,
1987-10-01,1987,"Q4","1987/88","Q2","October",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1052.05,352.13275837474,,
1987-11-01,1987,"Q4","1987/88","Q2","November",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1022.23,371.71291175269,,
1987-12-01,1987,"Q4","1987/88","Q2","December",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1017.27,422.233307496,,
1988-01-01,1988,"Q1","1987/88","Q3","January",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1039.12,452.56354508299,,
1988-02-01,1988,"Q1","1987/88","Q3","February",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1073.29,494.19387118738,,
1988-03-01,1988,"Q1","1987/88","Q3","March",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1077.12,495.59388215414,,
1988-04-01,1988,"Q2","1987/88","Q4","April",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1087.17,530.66415687144,,
1988-05-01,1988,"Q2","1987/88","Q4","May",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1111.96,637.67499512345,,
1988-06-01,1988,"Q2","1987/88","Q4","June",,,,,,,,,,,,59.93795294765,59.93795294765,59.93795294765,,,,,,,,,,,,1161.69,777.97609414931,,
1988-07-01,1988,"Q3","1988/89","Q1","July",,,,,,,,,,,,149.84488236913,149.84488236913,149.84488236913,,,,,,,,,,,,488.1,393.91308565415,,
1988-08-01,1988,"Q3","1988/89","Q1","August",,,,,,,,,,,,149.84488236913,149.84488236913,149.84488236913,,,,,,,,,,,,503.68,398.47312137444,,
1988-09-01,1988,"Q3","1988/89","Q1","September",,,,,,,,,,,,149.84488236913,149.84488236913,149.84488236913,,,,,,,,,,,,512.02,387.82303794875,,
1988-10-01,1988,"Q4","1988/89","Q2","October",,,,,,,,,,,,149.84488236913,149.84488236913,149.84488236913,,,,,,,,,,,,514.09,380.49298052993,,
1988-11-01,1988,"Q4","1988/89","Q2","November",,,,,,,,,,,,149.84488236913,149.84488236913,149.84488236913,,,,,,,,,,,,512.28,362.92284289712,,
1988-12-01,1988,"Q4","1988/89","Q2","December",,,,,,,,,,,,163.46078734707,163.46078734707,163.46078734707,,,,,,,,,,,,480.14,336.90263907208,,
1989-01-01,1989,"Q1","1988/89","Q3","January",,,,,,,,,,,,164.81938094722,164.81938094722,164.81938094722,,,,,,,,,,,,501.71,341.83267769073,,
