"Date","Year","Quarter","FY","QFY","Month","GFDD_AI_01","GFDD_AI_02","GFDD_AI_03","GFDD_AI_04","GFDD_AI_05","GFDD_AI_06","GFDD_AI_07","GFDD_AI_08","GFDD_AI_10","GFDD_AI_11","GFDD_AI_12","GFDD_AI_13","GFDD_AI_14","GFDD_AI_15","GFDD_AI_17","GFDD_AI_18","GFDD_AI_20","GFDD_AI_21","GFDD_AI_22","GFDD_AI_23","GFDD_AI_24","GFDD_AI_25","GFDD_AI_26","GFDD_AI_27","GFDD_AI_28","GFDD_AI_29","GFDD_AI_30","GFDD_AI_31","GFDD_AI_32","GFDD_AI_34","GFDD_AI_35","GFDD_AI_36","GFDD_DI_01","GFDD_DI_02","GFDD_DI_03","GFDD_DI_04","GFDD_DI_05","GFDD_DI_06","GFDD_DI_07","GFDD_DI_08","GFDD_DI_09","GFDD_DI_10","GFDD_DI_11","GFDD_DI_12","GFDD_DI_13","GFDD_DI_14","GFDD_DM_08","GFDD_DM_09","GFDD_DM_10","GFDD_DM_11","GFDD_DM_12","GFDD_DM_16","GFDD_EI_01","GFDD_EI_02","GFDD_EI_03","GFDD_EI_04","GFDD_EI_05","GFDD_EI_06","GFDD_EI_07","GFDD_EI_08","GFDD_EI_09","GFDD_EI_10","GFDD_OI_01","GFDD_OI_02","GFDD_OI_06","GFDD_OI_07","GFDD_OI_10","GFDD_OI_11","GFDD_OI_12","GFDD_OI_13","GFDD_OI_14","GFDD_OI_15","GFDD_OI_16","GFDD_OI_16A","GFDD_OI_19","GFDD_OI_20A","GFDD_SI_01","GFDD_SI_02","GFDD_SI_03","GFDD_SI_04","GFDD_SI_05","GFDD_SI_06","GFDD_SI_07"
1960-01-01,1960,"Q1","1959/60","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4676,6.864081,,,,,,6.294139,,,,6.4676,,,,,,,,,,,,,,,,,,,,6.294139,,,,,,,,,,,,,,,,102.7559,,,
1961-01-01,1961,"Q1","1960/61","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.410043,7.074789,,,,,,6.766157,,,,6.410043,,,,,,,,,,,,,,,,,,,,6.766157,,,,,,,,,,,,,,,,94.73685,,,
1962-01-01,1962,"Q1","1961/62","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.423697,8.264115,,,,,,6.840073,,,,7.423697,,,,,,,,,,,,,,,,,,,,6.840073,,,,,,,,,,,,,,,,108.5324,,,
1963-01-01,1963,"Q1","1962/63","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.087662,9.605914,,,,,,6.742417,,,,7.087662,,,,,,,,,,,,,,,,,,,,6.742417,,,,,,,,,,,,,,,,105.1205,,,
1964-01-01,1964,"Q1","1963/64","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65179,11.47768,,,,,,6.939996,,,,7.65179,,,,,,,,,,,,,,,,,,,,6.939996,,,,,,,,,,,,,,,,110.2564,,,
1965-01-01,1965,"Q1","1964/65","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.993036,11.79171,,,,,,7.565685,,,,7.993036,,,,,,,,,,,,,,,,,,,,7.565685,,,,,,,,,,,,,,,,105.6485,,,
1966-01-01,1966,"Q1","1965/66","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81997,9.531013,,76.73569,15.27988,2.889561,,10.03026,,,,8.81997,,,,,,,,,,,,,,,,,,,,10.03026,,941.9841,,,,,,,,,,,,,,87.93364,,,
1967-01-01,1967,"Q1","1966/67","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.690114,9.119988,,73.08897,15.09046,3.357939,,9.77855,,,,8.690114,,,,,,,,,,,,,,,,,,,,9.77855,,943.7048,,,,,,,,,,,,,,88.86915,,,
1968-01-01,1968,"Q1","1967/68","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.029609,10.62961,,79.45235,16.88398,2.748988,,11.1026,,,,9.029609,,,,,,,,,,,,,,,,,,,,11.1026,,1081.391,,,,,,,,,,,,,,81.32874,,,
1969-01-01,1969,"Q1","1968/69","Q3","January",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.907344,12.12092,,80.74917,16.72577,2.889661,,10.52354,,,,9.907344,,,,,,,,,,,,,,,,,,,,10.52354,,1136.301,,,,,,,,,,,,,,94.14458,,,
