"dsid","ok","rows","cols","file","error"
"MOF_POE",TRUE,450,168,"data/raw/mofped_bulk/datasets/MOF_POE.csv",""
"MOF_TOT_14",TRUE,344,36,"data/raw/mofped_bulk/datasets/MOF_TOT_14.csv",""
"MOF_REV_14",TRUE,344,40,"data/raw/mofped_bulk/datasets/MOF_REV_14.csv",""
"MOF_REV_DOM_14",TRUE,344,79,"data/raw/mofped_bulk/datasets/MOF_REV_DOM_14.csv",""
"MOF_OUT_14",TRUE,344,31,"data/raw/mofped_bulk/datasets/MOF_OUT_14.csv",""
"MOF_KES",TRUE,15,105,"data/raw/mofped_bulk/datasets/MOF_KES.csv",""
"MOF_MHD",TRUE,66,156,"data/raw/mofped_bulk/datasets/MOF_MHD.csv",""
"MOF_TOT",TRUE,344,45,"data/raw/mofped_bulk/datasets/MOF_TOT.csv",""
"MOF_REV_DOM",TRUE,344,39,"data/raw/mofped_bulk/datasets/MOF_REV_DOM.csv",""
"MOF_BSD_USD",TRUE,240,44,"data/raw/mofped_bulk/datasets/MOF_BSD_USD.csv",""
"MOF_EXP",TRUE,272,32,"data/raw/mofped_bulk/datasets/MOF_EXP.csv",""
"MOF_EXP_NDPD",TRUE,272,34,"data/raw/mofped_bulk/datasets/MOF_EXP_NDPD.csv",""
"MOF_EXP_W",TRUE,344,34,"data/raw/mofped_bulk/datasets/MOF_EXP_W.csv",""
"MOF_EXP_NWR",TRUE,272,34,"data/raw/mofped_bulk/datasets/MOF_EXP_NWR.csv",""
"MOF_EXP_DDEV",TRUE,344,34,"data/raw/mofped_bulk/datasets/MOF_EXP_DDEV.csv",""
"MOF_DPD",TRUE,272,34,"data/raw/mofped_bulk/datasets/MOF_DPD.csv",""
"MOF_DPD_P",TRUE,272,34,"data/raw/mofped_bulk/datasets/MOF_DPD_P.csv",""
"MOF_IDPD",TRUE,272,34,"data/raw/mofped_bulk/datasets/MOF_IDPD.csv",""
"MOF_AMI_CY",TRUE,38,58,"data/raw/mofped_bulk/datasets/MOF_AMI_CY.csv",""
"MOF_AMI_FY",TRUE,37,42,"data/raw/mofped_bulk/datasets/MOF_AMI_FY.csv",""
"MOF_EXP_OLD",TRUE,300,32,"data/raw/mofped_bulk/datasets/MOF_EXP_OLD.csv",""
"MOF_EXP_NDPD_OLD",TRUE,300,32,"data/raw/mofped_bulk/datasets/MOF_EXP_NDPD_OLD.csv",""
"MOF_EXP_W_OLD",TRUE,300,32,"data/raw/mofped_bulk/datasets/MOF_EXP_W_OLD.csv",""
"MOF_EXP_NWR_OLD",TRUE,300,32,"data/raw/mofped_bulk/datasets/MOF_EXP_NWR_OLD.csv",""
"MOF_EXP_DDEV_OLD",TRUE,300,32,"data/raw/mofped_bulk/datasets/MOF_EXP_DDEV_OLD.csv",""
"MOF_DPD_OLD",TRUE,300,32,"data/raw/mofped_bulk/datasets/MOF_DPD_OLD.csv",""
"MOF_DPD_P_OLD",TRUE,168,32,"data/raw/mofped_bulk/datasets/MOF_DPD_P_OLD.csv",""
"MOF_IDPD_OLD",TRUE,300,32,"data/raw/mofped_bulk/datasets/MOF_IDPD_OLD.csv",""
"UBOS_GDP_CP",TRUE,71,36,"data/raw/mofped_bulk/datasets/UBOS_GDP_CP.csv",""
"UBOS_GDP_FY_CP",TRUE,18,183,"data/raw/mofped_bulk/datasets/UBOS_GDP_FY_CP.csv",""
