,to_others,from_others,net,SIMI
CEM,152.79093201776203,29.5025480362997,123.28838398146233,14.0
CLAY,45.935549963649095,15.056740478819606,30.87880948482949,13.0
DIESEL,51.33597268225189,32.40702569209577,18.92894699015612,12.0
BRICK,40.91244175841351,27.33559702442416,13.576844733989347,11.0
PIPES,19.75459151000659,19.30516881783703,0.44942269216956277,10.0
AGG,50.10566296547143,52.85769620436847,-2.7520332388970417,9.0
IRON,30.76366259548901,39.83304182446807,-9.06937922897906,8.0
LABOUR,29.007378395428624,39.972874453538886,-10.965496058110261,7.0
PAINT,47.195684507768796,64.58647743798807,-17.39079293021927,6.0
STEEL,34.62042091655972,56.81649648384115,-22.196075567281426,5.0
TIMBER,19.41590007663475,43.694448055543,-24.27854797890825,4.0
TILES,20.878080518209856,49.714163053580734,-28.836082535370878,3.0
SAND,23.921502626505813,58.21942271170131,-34.2979200851955,2.0
LIME,31.130198926531463,68.4662791861767,-37.33608025964524,1.0
